station,station_coor,distance,near
1,"[25.0408578889, 121.567904444]",5522.520873222897,False
2,"[25.041254, 121.55742]",4625.879758147392,False
3,"[25.0377972222, 121.565169444]",5481.417949931696,False
4,"[25.0360361111, 121.562325]",5373.943938630569,False
5,"[25.0365638889, 121.5686639]",5847.81519056391,False
6,"[25.034047, 121.565973]",5798.704291754535,False
7,"[25.0330388889, 121.565619444]",5842.125003236558,False
8,"[25.0352138889, 121.563688889]",5538.189919440368,False
9,"[25.031785, 121.57448]",6633.269224521908,False
10,"[25.0286611111, 121.566116667]",6201.807864491963,False
11,"[25.034937, 121.55762]",5100.313240578926,False
12,"[25.026679, 121.561747]",6047.659381989826,False
13,"[25.03809, 121.58367]",7061.606727107106,False
14,"[25.06424, 121.54037]",1962.2490639764542,False
16,"[25.036084, 121.579135]",6766.300289232071,False
17,"[25.05862, 121.55514]",3546.3291166029476,False
18,"[25.049408, 121.55261]",3712.091586272801,False
19,"[25.02863, 121.56981]",6481.23300023142,False
21,"[25.057985, 121.548982]",2972.614664114941,False
22,"[25.048824, 121.57845]",6110.934563764046,False
23,"[25.055074, 121.602798]",8332.204542148129,False
24,"[25.03293, 121.53747]",4100.522172908453,False
25,"[25.04543, 121.57205]",5652.420309283747,False
26,"[25.050142, 121.592375]",7413.661381205923,False
27,"[25.05469, 121.61669]",9722.803155395262,False
28,"[25.04814, 121.57467]",5778.889221190558,False
29,"[25.03164, 121.52655]",3935.5262295127313,False
30,"[25.017054, 121.544352]",5996.1063362356135,False
31,"[25.022413, 121.53456]",5106.676351883748,False
32,"[25.023884, 121.553161]",5752.96372522543,False
33,"[25.04878, 121.56087]",4475.5759137627465,False
34,"[25.058369, 121.532934]",1510.434489359169,False
35,"[25.059978, 121.533302]",1439.612791713402,False
36,"[25.02101, 121.54153]",5480.792938399258,False
37,"[25.0337, 121.528988]",3753.242002286759,False
38,"[25.026603, 121.52944]",4535.738163731088,False
39,"[25.058, 121.61422]",9431.538215225779,False
40,"[25.04287, 121.5864]",7093.012230264772,False
41,"[25.047425, 121.613706]",9573.203917161927,False
42,"[25.04431, 121.58174]",6597.783547256338,False
43,"[25.035639, 121.614154]",9991.466672021572,False
44,"[25.05973, 121.616187]",9611.192824651234,False
45,"[25.01476, 121.534538]",5930.8166495011665,False
46,"[25.056504, 121.611389]",9167.035400338442,False
47,"[25.042275, 121.533939]",3007.564470700766,False
48,"[25.05247, 121.608202]",8917.195031022799,False
49,"[25.040901, 121.548252]",3963.985958875326,False
50,"[25.062002, 121.560186]",3973.556796036158,False
51,"[25.065031, 121.536775]",1591.882083094203,False
52,"[25.054761, 121.536925]",2075.1350724908452,False
53,"[25.044781, 121.536609]",2894.777029308723,False
54,"[25.028798, 121.538073]",4547.387345313446,False
55,"[25.049505, 121.549408]",3434.14252237397,False
56,"[25.038954, 121.522334]",3086.026711375731,False
57,"[25.026217, 121.53519]",4719.002667115728,False
58,"[25.045267, 121.5222]",2384.140076232005,False
59,"[25.052227, 121.525805]",1676.6210589522375,False
60,"[25.064317, 121.533487]",1277.4687772394395,False
61,"[25.0131, 121.539723]",6247.386807588032,False
62,"[25.026827, 121.520258]",4432.651280742394,False
63,"[25.037569, 121.545632]",4074.275122514588,False
64,"[25.037773, 121.517029]",3240.4924458961136,False
65,"[25.022725, 121.502708]",5226.529133760876,False
66,"[25.007528, 121.537188]",6775.157124671738,False
67,"[25.042973, 121.516428]",2677.7830192101037,False
68,"[25.025865, 121.506536]",4769.350238778552,False
69,"[24.999837, 121.547778]",7904.885956041138,False
70,"[25.032752, 121.561645]",5562.145552324809,False
71,"[25.032985, 121.554204]",5017.749224709644,False
72,"[25.048611, 121.529346]",2175.426089188311,False
73,"[25.072228, 121.510195]",1257.430490431596,False
74,"[25.033817, 121.530547]",3777.110380691207,False
75,"[25.0300508, 121.557635]",5491.448467445067,False
76,"[25.056387, 121.527522]",1316.2423947704585,False
77,"[25.059147, 121.56297]",4302.186838638002,False
78,"[25.071824, 121.519287]",599.2864292071057,True
79,"[25.061285, 121.520205]",606.7082713040035,True
80,"[25.02751, 121.495869]",5042.056574944903,False
81,"[25.020547, 121.528552]",5185.175584481568,False
82,"[25.041778, 121.508693]",3037.3644030428977,False
83,"[25.033344, 121.534236]",3937.12399571997,False
84,"[25.029705, 121.502899]",4501.156637471861,False
85,"[25.033362, 121.54911]",4658.730390700152,False
86,"[25.062344, 121.545138]",2471.184020083518,False
87,"[25.033078, 121.543057]",4343.579906636644,False
88,"[25.032922, 121.57087]",6265.322594969549,False
89,"[25.027323, 121.516385]",4402.171257890856,False
90,"[25.037783, 121.501708]",3759.5131160145443,False
