station,station_coor,distance
1,"[25.0408578889, 121.567904444]",5004.786271861643
2,"[25.041254, 121.55742]",5457.6521709949175
3,"[25.0377972222, 121.565169444]",5425.872439359874
4,"[25.0360361111, 121.562325]",5723.369265999278
5,"[25.0365638889, 121.5686639]",5422.971851792848
6,"[25.034047, 121.565973]",5780.155355884272
7,"[25.0330388889, 121.565619444]",5897.536433066752
8,"[25.0352138889, 121.563688889]",5748.899651873103
9,"[25.031785, 121.57448]",5771.833916518244
10,"[25.0286611111, 121.566116667]",6337.01105995184
11,"[25.034937, 121.55762]",6049.730774505753
12,"[25.026679, 121.561747]",6698.900818768885
13,"[25.03809, 121.58367]",4945.1855459540275
14,"[25.06424, 121.54037]",5100.459643464364
16,"[25.036084, 121.579135]",5215.989421037341
17,"[25.05862, 121.55514]",4150.586587320764
18,"[25.049408, 121.55261]",5040.111435314753
19,"[25.02863, 121.56981]",6227.702204641409
21,"[25.057985, 121.548982]",4685.314246649527
22,"[25.048824, 121.57845]",3835.5568127245797
23,"[25.055074, 121.602798]",3444.3322911410446
24,"[25.03293, 121.53747]",7421.331504186436
25,"[25.04543, 121.57205]",4379.836666160038
26,"[25.050142, 121.592375]",3637.711859173971
27,"[25.05469, 121.61669]",4310.568384194563
28,"[25.04814, 121.57467]",4009.347028781378
29,"[25.03164, 121.52655]",8296.248102611284
30,"[25.017054, 121.544352]",8439.772487367754
31,"[25.022413, 121.53456]",8504.790361786772
32,"[25.023884, 121.553161]",7344.9702629930325
33,"[25.04878, 121.56087]",4569.067486534424
34,"[25.058369, 121.532934]",6054.7788896329685
35,"[25.059978, 121.533302]",5944.066103879776
36,"[25.02101, 121.54153]",8218.115689823222
37,"[25.0337, 121.528988]",7960.387268932547
38,"[25.026603, 121.52944]",8486.638523610993
39,"[25.058, 121.61422]",3874.0655360561377
40,"[25.04287, 121.5864]",4403.575785419101
41,"[25.047425, 121.613706]",4744.2585196313685
42,"[25.04431, 121.58174]",4274.216973154918
43,"[25.035639, 121.614154]",5889.52430111377
44,"[25.05973, 121.616187]",3889.7722272473347
45,"[25.01476, 121.534538]",9189.47382927869
46,"[25.056504, 121.611389]",3801.3249672672337
47,"[25.042275, 121.533939]",6954.82770756399
48,"[25.05247, 121.608202]",3969.559508061113
49,"[25.040901, 121.548252]",6039.307077864522
50,"[25.062002, 121.560186]",3519.4995618061807
51,"[25.065031, 121.536775]",5402.410547168015
52,"[25.054761, 121.536925]",5896.530148503063
53,"[25.044781, 121.536609]",6569.787427380647
54,"[25.028798, 121.538073]",7729.786747576649
55,"[25.049505, 121.549408]",5258.464079392898
56,"[25.038954, 121.522334]",8101.341065823645
57,"[25.026217, 121.53519]",8136.072656004241
58,"[25.045267, 121.5222]",7713.91498706955
59,"[25.052227, 121.525805]",7007.260469452715
60,"[25.064317, 121.533487]",5740.184036634522
61,"[25.0131, 121.539723]",9056.992888222472
62,"[25.026827, 121.520258]",9124.991846666258
63,"[25.037569, 121.545632]",6492.861398487394
64,"[25.037773, 121.517029]",8611.030550759559
65,"[25.022725, 121.502708]",10768.43729933896
66,"[25.007528, 121.537188]",9719.153829542007
67,"[25.042973, 121.516428]",8342.033316381288
68,"[25.025865, 121.506536]",10249.538861462612
69,"[24.999837, 121.547778]",9995.648649120192
70,"[25.032752, 121.561645]",6083.128089709216
71,"[25.032985, 121.554204]",6409.750164226105
72,"[25.048611, 121.529346]",6907.297363159058
73,"[25.072228, 121.510195]",7802.764447630927
74,"[25.033817, 121.530547]",7837.169436311008
75,"[25.0300508, 121.557635]",6529.111251572703
76,"[25.056387, 121.527522]",6641.302559303698
77,"[25.059147, 121.56297]",3536.382066424931
78,"[25.071824, 121.519287]",6905.750592679956
79,"[25.061285, 121.520205]",7112.782227931594
80,"[25.02751, 121.495869]",11014.594941571597
81,"[25.020547, 121.528552]",9049.149290037074
82,"[25.041778, 121.508693]",9079.28064517295
83,"[25.033344, 121.534236]",7610.332163954853
84,"[25.029705, 121.502899]",10291.716762837976
85,"[25.033362, 121.54911]",6652.986642065558
86,"[25.062344, 121.545138]",4759.160518652848
87,"[25.033078, 121.543057]",7043.749200069545
88,"[25.032922, 121.57087]",5739.569313210641
89,"[25.027323, 121.516385]",9379.300287248632
90,"[25.037783, 121.501708]",9910.819045917046
91,"[25.070629, 121.523268]",6536.6039268484865
92,"[25.046618, 121.507169]",8960.486079142935
93,"[25.023877, 121.569836]",6736.680149658847
94,"[24.993254, 121.541059]",10940.172571564946
95,"[25.023393, 121.497679]",11127.474091427443
96,"[25.061567, 121.566558]",3094.4363029326782
97,"[25.082825, 121.524721]",6256.092935553591
98,"[24.999378, 121.540197]",10365.70589108126
99,"[25.057866, 121.520711]",7200.495255953491
100,"[25.045753, 121.530697]",6974.808836528761
101,"[25.043668, 121.528487]",7291.2664653490765
102,"[25.02043, 121.525322]",9273.256133352828
103,"[25.033639, 121.503028]",10037.718361744095
104,"[25.004023, 121.54074]",9882.22403934994
105,"[25.044412, 121.505409]",9229.522399341853
106,"[25.032932, 121.497674]",10536.269922240801
107,"[25.036402, 121.509422]",9330.189300979844
108,"[25.073306, 121.515843]",7222.588067765692
109,"[25.071606, 121.530805]",5771.364434088412
110,"[25.086376, 121.560888]",2649.4277247800787
111,"[25.040184, 121.543497]",6416.336430592821
112,"[25.137456, 121.503124]",10413.081470836843
113,"[25.037724, 121.561178]",5606.952310945709
114,"[25.109908, 121.530386]",6451.775595296164
115,"[25.048222, 121.520526]",7688.749487409723
116,"[25.096122, 121.530215]",5900.95566241669
117,"[25.132581, 121.498618]",10485.938409173506
118,"[25.136929, 121.499152]",10706.140444981334
119,"[25.08418, 121.555116]",3200.55400410224
120,"[25.035479, 121.50026]",10166.619435247036
121,"[25.05298, 121.540568]",5698.611934120684
122,"[25.079666, 121.57584]",1150.8908993132613
123,"[25.116325, 121.534136]",6506.627758699352
124,"[25.115863, 121.518163]",7849.268864708336
125,"[25.038609, 121.498495]",10147.64429132907
126,"[25.022073, 121.548336]",7755.4612632507
127,"[25.073277, 121.619521]",3446.460157207479
128,"[25.026808, 121.546726]",7391.633410059604
129,"[25.078424, 121.58456]",505.1481816505182
130,"[25.031445, 121.519411]",8850.134962821134
131,"[25.079322, 121.568688]",1861.3418483048001
132,"[25.01603085, 121.5331757]",9154.40592722801
133,"[25.111839, 121.525888]",6952.40963909677
134,"[25.10336, 121.522629]",6870.669560592924
135,"[25.114513, 121.515677]",8002.768521209894
136,"[25.117457, 121.51668]",8065.093653148106
137,"[25.137976, 121.493066]",11280.080566923903
138,"[25.040558, 121.575372]",4801.4632348769865
139,"[25.054501, 121.510549]",8289.62194068106
140,"[25.063404, 121.512909]",7742.068089544745
141,"[24.989902, 121.569984]",10432.276459685543
142,"[24.997996, 121.57444]",9475.82273662456
143,"[24.997659, 121.578752]",9465.724137010418
144,"[24.988363, 121.576536]",10515.623741076668
145,"[25.066688, 121.516149]",7332.8066253695815
146,"[25.092546, 121.526556]",6173.440818403905
147,"[25.089175, 121.521814]",6590.860782711718
148,"[25.110331, 121.518316]",7563.771121666081
149,"[25.116665, 121.509621]",8655.474374105946
150,"[25.036568, 121.57343]",5279.820585447377
151,"[24.987507, 121.549827]",11198.540039574196
152,"[25.08521, 121.519175]",6821.240084745057
153,"[25.059885, 121.516299]",7535.597721119598
154,"[25.093396, 121.519867]",6853.06274802982
155,"[25.076193, 121.57505]",1377.3806586010448
156,"[25.06853, 121.61538]",3265.698624601939
157,"[25.082703, 121.571467]",1548.4456760520852
158,"[25.067026, 121.61355]",3191.510616590937
159,"[25.082866, 121.566695]",2029.288471890407
161,"[25.131143, 121.503768]",9962.721250648086
162,"[25.062924, 121.52772]",6338.696679237486
163,"[25.018097, 121.559279]",7677.574520131944
164,"[25.126286, 121.500801]",9939.390025255321
165,"[25.120788, 121.505693]",9215.14702468068
166,"[24.980602, 121.556177]",11740.972852494866
167,"[25.095714, 121.518046]",7082.6235503275
168,"[25.02288, 121.522855]",9243.90476734784
169,"[25.030015, 121.509813]",9706.87151596142
170,"[25.059245, 121.568883]",3152.8795247776097
171,"[24.996842, 121.559651]",9907.608583805273
172,"[25.051562, 121.562891]",4198.892641383744
173,"[25.052181, 121.533211]",6365.618041039242
174,"[25.051702, 121.553057]",4825.308457623323
175,"[25.051618, 121.544847]",5446.007526445045
176,"[25.055997, 121.542318]",5364.154984099114
177,"[25.082538, 121.507495]",7990.793609965671
178,"[25.078908, 121.510306]",7717.98266202505
179,"[25.041355, 121.59073]",4588.569974948523
180,"[25.06877, 121.592654]",1632.0536158903146
181,"[25.02585, 121.537383]",8028.5777494547565
182,"[25.0253, 121.523537]",9004.133143089415
183,"[25.05379, 121.514179]",7983.167751593278
184,"[25.084759, 121.537892]",4936.057160478222
185,"[25.042342, 121.54605]",6065.5438566354105
186,"[25.035414, 121.514218]",8993.851454345604
187,"[25.037465, 121.555769]",5902.447192794194
188,"[25.090293, 121.50189]",8599.101073223068
189,"[25.087987, 121.58781]",621.1535866046562
190,"[25.079278, 121.546683]",4059.8055672151377
191,"[25.083873, 121.60206]",1540.6687264440243
192,"[25.072485, 121.607955]",2398.942143892736
193,"[25.041277, 121.61935]",5630.601881408143
194,"[25.047958, 121.524388]",7368.598876107438
195,"[25.035851, 121.523987]",8182.600493060196
196,"[25.068744, 121.589233]",1545.201479005121
197,"[25.049845, 121.571885]",3928.0714247668884
201,"[25.057164, 121.597924]",3027.2825327636892
202,"[25.124646, 121.467336]",12914.675704436348
203,"[25.024487, 121.51057]",10029.805674043992
204,"[25.113625, 121.53742]",6063.492375100819
205,"[24.988241, 121.55561]",10940.03861130933
206,"[25.005386, 121.55716]",9077.929438326608
207,"[25.103242, 121.487477]",10269.056963198067
208,"[25.035555, 121.495342]",10590.458437816267
209,"[25.137837, 121.486071]",11867.835472754216
210,"[25.079766, 121.558135]",2906.5134725103885
211,"[25.080915, 121.597339]",1071.3714557066742
212,"[25.084223, 121.549452]",3770.3548119541247
213,"[25.107782, 121.523107]",7007.888331169637
214,"[25.055935, 121.578645]",3063.8735807753515
215,"[25.04993, 121.510367]",8510.10783401483
216,"[25.082553, 121.544601]",4253.88964690062
217,"[25.062645, 121.574267]",2542.3094896833973
218,"[25.043299, 121.564108]",4920.821170151688
219,"[25.031147, 121.49074]",11237.209481242719
220,"[25.059162, 121.510512]",8112.813224949129
221,"[25.019276, 121.57107]",7204.223797301402
222,"[25.064108, 121.522065]",6835.996678154911
223,"[25.1274, 121.507267]",9442.257728691942
224,"[25.088243, 121.510535]",7711.218118922249
225,"[25.0186, 121.554839]",7799.433014197889
226,"[25.054365, 121.594228]",3212.5290715707392
227,"[25.084244, 121.57668]",1042.0613837025578
228,"[24.998811, 121.56789]",9496.370322368637
229,"[25.049394, 121.514611]",8151.967255600006
230,"[25.075366, 121.580811]",996.3733168033932
231,"[25.047805, 121.545022]",5709.605063468238
232,"[25.118843, 121.529738]",7029.836866809393
233,"[25.131411, 121.474155]",12583.73194089802
234,"[25.124162, 121.526071]",7676.816180645761
235,"[25.04846, 121.565928]",4328.801225882244
236,"[25.119292, 121.469138]",12539.20599840209
237,"[25.001149, 121.551418]",9721.188615687512
238,"[25.073119, 121.575965]",1510.253350112747
239,"[25.056641, 121.583403]",2892.877722173803
240,"[25.052141, 121.536802]",6064.1951669382415
241,"[25.038943, 121.579146]",4901.67380323258
242,"[25.117472, 121.463161]",13047.837086357931
243,"[25.090202, 121.506219]",8164.431944011722
244,"[25.045908, 121.543736]",5947.982271477961
245,"[25.060632, 121.544028]",4948.715229458665
246,"[25.098743, 121.548086]",4301.715966820681
247,"[24.987144, 121.560627]",10923.843850845635
248,"[25.027123, 121.555566]",6913.7825109255655
249,"[25.037706, 121.506624]",9490.116347818293
250,"[25.04184, 121.539873]",6541.552552733257
251,"[25.083023, 121.520692]",6662.0029972985285
252,"[25.020544, 121.545608]",8041.5909952740585
253,"[25.101423, 121.52799]",6289.861773400104
254,"[25.125377, 121.471482]",12557.24743686048
255,"[25.046914, 121.557674]",4925.635962939777
256,"[25.096507, 121.527526]",6173.702471626707
257,"[25.023316, 121.492637]",11546.195954184457
258,"[25.052096, 121.507979]",8631.284928277517
259,"[25.051761, 121.542168]",5648.498513860278
260,"[25.068616, 121.583991]",1567.0277498404869
261,"[25.054095, 121.560928]",4094.732108271418
262,"[24.984144, 121.569064]",11079.099029533916
263,"[25.097103, 121.542153]",4785.261463744602
264,"[25.145936, 121.493009]",11792.029767517342
265,"[25.135394, 121.478]",12438.950584719496
266,"[25.080258, 121.564806]",2232.667590059485
267,"[25.05062, 121.580194]",3604.3041711708684
268,"[25.056655, 121.607055]",3519.277762614353
269,"[25.070723, 121.590304]",1352.0187309689584
270,"[25.105429, 121.529217]",6339.396207659554
271,"[25.048334, 121.534693]",6480.438481311868
272,"[24.984707, 121.563125]",11130.259191675448
273,"[25.110437, 121.535954]",5993.934754678195
274,"[25.066997, 121.579833]",1859.670517894619
275,"[25.040988, 121.507688]",9210.879686377517
276,"[25.028679, 121.55932]",6592.496882060363
277,"[25.044091, 121.51025]",8816.263835453245
278,"[25.062557, 121.586065]",2215.6343633161737
279,"[25.053432, 121.606331]",3778.852103602004
280,"[25.089034, 121.51732]",7039.077524782925
281,"[25.050245, 121.532725]",6522.97601755776
282,"[25.041935, 121.571999]",4748.753528529183
283,"[25.127959, 121.4677]",13019.032850836127
284,"[25.096166, 121.522096]",6695.465959317125
285,"[25.025966, 121.51377]",9677.475319058525
286,"[25.086372, 121.565713]",2171.4591812645504
287,"[25.066424, 121.537354]",5293.8009090119285
288,"[25.041928, 121.524591]",7722.512222608395
289,"[25.023377, 121.518835]",9492.3348916252
290,"[25.068387, 121.530188]",5916.7284759168515
291,"[25.049616, 121.577459]",3773.453717794615
292,"[25.046361, 121.582848]",4035.2569290674696
293,"[25.013284, 121.530037]",9587.942157104986
294,"[25.047617, 121.540431]",6072.113111038726
295,"[25.023473, 121.541083]",8017.589424815208
296,"[25.001545, 121.536446]",10331.843502662707
297,"[25.041702, 121.499922]",9858.94326852667
298,"[25.056458, 121.516976]",7607.993686239724
299,"[25.029264, 121.499358]",10613.985639517445
300,"[25.033209, 121.558731]",6166.131372454227
301,"[25.055062, 121.525383]",6899.591752412636
302,"[25.060746, 121.550711]",4367.683929587852
303,"[25.076691, 121.617085]",3113.039356127906
304,"[25.029902, 121.531235]",8095.730879922899
305,"[25.087413, 121.592253]",774.0765000605228
306,"[25.027781, 121.52198]",8925.637939590813
307,"[25.03757, 121.552076]",6098.275919344265
308,"[25.055672, 121.567127]",3580.744127642945
309,"[25.05447, 121.556098]",4391.06073993186
310,"[25.057923, 121.542732]",5214.079756932924
311,"[25.042392, 121.532229]",7079.45733163075
312,"[25.033323, 121.552787]",6452.2471627027535
313,"[25.04515, 121.532738]",6849.619314394101
314,"[25.053614, 121.54872]",5003.743398049866
315,"[25.001447, 121.539037]",10215.72454074644
316,"[25.060911, 121.54763]",4619.848983736403
317,"[25.026823, 121.491675]",11409.757758967764
318,"[25.084135, 121.59484]",826.6288362733347
319,"[25.068507, 121.525322]",6387.38704726445
320,"[25.051287, 121.564262]",4146.649110524608
321,"[25.031334, 121.505085]",10007.52430961337
322,"[25.058835, 121.52504]",6756.541101647848
323,"[25.061568, 121.524392]",6705.349547472547
324,"[25.08221, 121.5108]",7658.0116091639475
325,"[25.05827, 121.58707]",2691.050032489899
326,"[25.04525, 121.56709]",4591.989687761096
327,"[25.03158, 121.51464]",9214.882892508364
328,"[25.05316, 121.53146]",6460.32612942237
329,"[25.07983, 121.55236]",3484.905594612291
330,"[25.07491, 121.5115]",7634.114905517446
331,"[25.06859, 121.51974]",6931.99875035677
332,"[25.05225, 121.52193]",7350.888952520703
333,"[25.047428, 121.561182]",4675.682261748435
334,"[25.028973, 121.549024]",7063.764307893943
335,"[24.986301, 121.567855]",10863.256558976771
336,"[25.06382, 121.51815]",7222.402598974809
337,"[25.05301, 121.57592]",3455.5597711488413
338,"[25.04573, 121.58794]",4086.8363016227
339,"[25.07581, 121.51816]",6956.452530561171
340,"[25.05143, 121.55716]",4566.164239124903
341,"[25.10094, 121.52243]",6803.586577288177
342,"[25.10779, 121.51468]",7792.806617916871
343,"[25.04904, 121.58755]",3717.9669987636016
344,"[25.04264, 121.54401]",6182.788138796552
345,"[25.03806, 121.51943]",8395.876130531351
346,"[25.09157, 121.51669]",7136.6040958395715
347,"[25.04134, 121.51135]",8873.276519355728
