station,station_coor,distance,near
1,"[25.0408578889, 121.567904444]",4659.261188650111,False
2,"[25.041254, 121.55742]",4598.816059415164,False
3,"[25.0377972222, 121.565169444]",4272.980721966774,False
4,"[25.0360361111, 121.562325]",4040.1083627035587,False
5,"[25.0365638889, 121.5686639]",4212.3829015947385,False
6,"[25.034047, 121.565973]",3878.030048205498,False
7,"[25.0330388889, 121.565619444]",3761.048751801945,False
8,"[25.0352138889, 121.563688889]",3966.221478566524,False
9,"[25.031785, 121.57448]",3909.006065035266,False
10,"[25.0286611111, 121.566116667]",3297.4402045928937,False
11,"[25.034937, 121.55762]",3896.1777848669394,False
12,"[25.026679, 121.561747]",2999.679042100735,False
13,"[25.03809, 121.58367]",4964.8290706737935,False
14,"[25.06424, 121.54037]",7374.785301957325,False
16,"[25.036084, 121.579135]",4545.6366329548155,False
17,"[25.05862, 121.55514]",6536.247369414118,False
18,"[25.049408, 121.55261]",5533.053208165649,False
19,"[25.02863, 121.56981]",3404.080039492558,False
21,"[25.057985, 121.548982]",6524.222461380556,False
22,"[25.048824, 121.57845]",5812.152781073844,False
23,"[25.055074, 121.602798]",7608.09185322401,False
24,"[25.03293, 121.53747]",4222.129539955086,False
25,"[25.04543, 121.57205]",5253.017219324942,False
26,"[25.050142, 121.592375]",6565.65151103113,False
27,"[25.05469, 121.61669]",8480.320810435293,False
28,"[25.04814, 121.57467]",5616.556567857011,False
29,"[25.03164, 121.52655]",4752.650647791606,False
30,"[25.017054, 121.544352]",2359.7391250880573,False
31,"[25.022413, 121.53456]",3451.3723146035886,False
32,"[25.023884, 121.553161]",2713.5732974204466,False
33,"[25.04878, 121.56087]",5442.052815959422,False
34,"[25.058369, 121.532934]",6979.752307517229,False
35,"[25.059978, 121.533302]",7133.601465732949,False
36,"[25.02101, 121.54153]",2882.860875521448,False
37,"[25.0337, 121.528988]",4770.034255339495,False
38,"[25.026603, 121.52944]",4144.789474124807,False
39,"[25.058, 121.61422]",8582.585641395948,False
40,"[25.04287, 121.5864]",5562.07454722272,False
41,"[25.047425, 121.613706]",7698.731137059888,False
42,"[25.04431, 121.58174]",5480.7685760382865,False
43,"[25.035639, 121.614154]",6902.722680537303,False
44,"[25.05973, 121.616187]",8857.856416710165,False
45,"[25.01476, 121.534538]",2895.9742762649657,False
46,"[25.056504, 121.611389]",8270.28341224455,False
47,"[25.042275, 121.533939]",5305.374912922455,False
48,"[25.05247, 121.608202]",7720.805980484067,False
49,"[25.040901, 121.548252]",4666.589012272661,False
50,"[25.062002, 121.560186]",6908.39225987716,False
51,"[25.065031, 121.536775]",7555.247008438738,False
52,"[25.054761, 121.536925]",6463.806941762621,False
53,"[25.044781, 121.536609]",5441.5812013466675,False
54,"[25.028798, 121.538073]",3796.491611644518,False
55,"[25.049505, 121.549408]",5585.4409345013855,False
56,"[25.038954, 121.522334]",5645.689231308551,False
57,"[25.026217, 121.53519]",3729.70730670544,False
58,"[25.045267, 121.5222]",6209.681265584219,False
59,"[25.052227, 121.525805]",6668.410652453644,False
60,"[25.064317, 121.533487]",7581.161136920938,False
61,"[25.0131, 121.539723]",2366.0997653569843,False
62,"[25.026827, 121.520258]",4851.324937552139,False
63,"[25.037569, 121.545632]",4373.999300270642,False
64,"[25.037773, 121.517029]",5907.069647403362,False
65,"[25.022725, 121.502708]",6135.272385478005,False
66,"[25.007528, 121.537188]",2275.3697923061013,False
67,"[25.042973, 121.516428]",6371.996987676236,False
68,"[25.025865, 121.506536]",5947.650017695092,False
69,"[24.999837, 121.547778]",1044.2748525383108,False
70,"[25.032752, 121.561645]",3669.898156063088,False
71,"[25.032985, 121.554204]",3700.0899394198814,False
72,"[25.048611, 121.529346]",6144.37054602089,False
73,"[25.072228, 121.510195]",9381.480019171351,False
74,"[25.033817, 121.530547]",4685.399768141827,False
75,"[25.0300508, 121.557635]",3352.890965131108,False
76,"[25.056387, 121.527522]",6997.6342973369765,False
77,"[25.059147, 121.56297]",6605.803674714598,False
78,"[25.071824, 121.519287]",8904.022253562152,False
79,"[25.061285, 121.520205]",7822.817813250996,False
80,"[25.02751, 121.495869]",6985.525354587703,False
81,"[25.020547, 121.528552]",3762.969409225676,False
82,"[25.041778, 121.508693]",6819.535207487764,False
83,"[25.033344, 121.534236]",4430.601757337847,False
84,"[25.029705, 121.502899]",6478.202798312545,False
85,"[25.033362, 121.54911]",3830.3344833254837,False
86,"[25.062344, 121.545138]",7065.837074318691,False
87,"[25.033078, 121.543057]",3989.9114871647544,False
88,"[25.032922, 121.57087]",3889.375559967821,False
89,"[25.027323, 121.516385]",5196.185864469934,False
90,"[25.037783, 121.501708]",7076.427868770365,False
91,"[25.070629, 121.523268]",8613.651163324665,False
92,"[25.046618, 121.507169]",7304.826235433172,False
93,"[25.023877, 121.569836]",2914.8993478716675,False
94,"[24.993254, 121.541059]",1873.3829902905204,False
95,"[25.023393, 121.497679]",6628.874498533285,False
96,"[25.061567, 121.566558]",6909.199123104173,False
97,"[25.082825, 121.524721]",9816.143261371159,False
98,"[24.999378, 121.540197]",1809.178846047325,False
99,"[25.057866, 121.520711]",7467.5610971843025,False
100,"[25.045753, 121.530697]",5800.052067181956,False
101,"[25.043668, 121.528487]",5710.6427214281675,False
102,"[25.02043, 121.525322]",4018.35741799081,False
103,"[25.033639, 121.503028]",6701.667071103623,False
104,"[25.004023, 121.54074]",1812.4027053918608,False
105,"[25.044412, 121.505409]",7261.240160630745,False
106,"[25.032932, 121.497674]",7114.1924113701225,False
107,"[25.036402, 121.509422]",6369.51728838549,False
108,"[25.073306, 121.515843]",9207.665710482082,False
109,"[25.071606, 121.530805]",8435.435634901374,False
110,"[25.086376, 121.560888]",9619.565599019676,False
111,"[25.040184, 121.543497]",4716.007124569595,False
112,"[25.137456, 121.503124]",16268.222898303658,False
113,"[25.037724, 121.561178]",4216.851192895339,False
114,"[25.109908, 121.530386]",12547.637151783822,False
115,"[25.048222, 121.520526]",6575.167887603394,False
116,"[25.096122, 121.530215]",11062.92132512084,False
