station,station_coor,distance,near
1,"[25.0408578889, 121.567904444]",14168.903593551142,False
2,"[25.041254, 121.55742]",13432.419114991902,False
3,"[25.0377972222, 121.565169444]",14234.04817322154,False
4,"[25.0360361111, 121.562325]",14194.530831996382,False
5,"[25.0365638889, 121.5686639]",14571.290809676608,False
6,"[25.034047, 121.565973]",14601.316211356525,False
7,"[25.0330388889, 121.565619444]",14663.362644203571,False
8,"[25.0352138889, 121.563688889]",14353.118706296369,False
9,"[25.031785, 121.57448]",15358.81181110377,False
10,"[25.0286611111, 121.566116667]",15069.380068360631,False
11,"[25.034937, 121.55762]",13988.94544543068,False
12,"[25.026679, 121.561747]",14968.904560050714,False
13,"[25.03809, 121.58367]",15511.291351780774,False
14,"[25.06424, 121.54037]",10377.001694588422,False
16,"[25.036084, 121.579135]",15338.222805218558,False
17,"[25.05862, 121.55514]",11857.290338357516,False
18,"[25.049408, 121.55261]",12428.915278285001,False
19,"[25.02863, 121.56981]",15310.339361493208,False
21,"[25.057985, 121.548982]",11475.845821644276,False
22,"[25.048824, 121.57845]",14320.07220015919,False
23,"[25.055074, 121.602798]",15854.217861773353,False
24,"[25.03293, 121.53747]",13018.607564569244,False
25,"[25.04543, 121.57205]",14100.701890928973,False
26,"[25.050142, 121.592375]",15314.785763063697,False
27,"[25.05469, 121.61669]",17061.64599811203,False
28,"[25.04814, 121.57467]",14086.739919113084,False
29,"[25.03164, 121.52655]",12620.36337338209,False
30,"[25.017054, 121.544352]",14893.404218874462,False
31,"[25.022413, 121.53456]",13899.608066025303,False
32,"[25.023884, 121.553161]",14715.679320152398,False
33,"[25.04878, 121.56087]",13042.14708252619,False
34,"[25.058369, 121.532934]",10407.651549120472,False
35,"[25.059978, 121.533302]",10286.956249795649,False
36,"[25.02101, 121.54153]",14370.517965403562,False
37,"[25.0337, 121.528988]",12527.024573777391,False
38,"[25.026603, 121.52944]",13251.454787924653,False
39,"[25.058, 121.61422]",16660.047787518735,False
40,"[25.04287, 121.5864]",15358.803991547187,False
41,"[25.047425, 121.613706]",17240.103662647867,False
42,"[25.04431, 121.58174]",14900.77769627037,False
43,"[25.035639, 121.614154]",18037.41711678383,False
44,"[25.05973, 121.616187]",16736.169503766385,False
45,"[25.01476, 121.534538]",14660.334732095642,False
46,"[25.056504, 121.611389]",16500.269469128612,False
47,"[25.042275, 121.533939]",11945.867543830851,False
48,"[25.05247, 121.608202]",16468.158351687976,False
49,"[25.040901, 121.548252]",12887.243766718895,False
50,"[25.062002, 121.560186]",11970.988505497118,False
51,"[25.065031, 121.536775]",10071.360635294452,False
52,"[25.054761, 121.536925]",10969.704949194036,False
53,"[25.044781, 121.536609]",11857.002439426398,False
54,"[25.028798, 121.538073]",13445.747765425853,False
55,"[25.049505, 121.549408]",12210.727806396144,False
56,"[25.038954, 121.522334]",11703.159517925647,False
57,"[25.026217, 121.53519]",13554.952421970032,False
58,"[25.045267, 121.5222]",11070.374462618222,False
59,"[25.052227, 121.525805]",10574.085646109683,False
60,"[25.064317, 121.533487]",9919.387272871043,False
61,"[25.0131, 121.539723]",15058.443591716894,False
62,"[25.026827, 121.520258]",12846.839407186764,False
63,"[25.037569, 121.545632]",13032.025421290427,False
64,"[25.037773, 121.517029]",11599.170652469957,False
65,"[25.022725, 121.502708]",12719.229163406228,False
66,"[25.007528, 121.537188]",15501.086291429308,False
67,"[25.042973, 121.516428]",11045.728218718426,False
68,"[25.025865, 121.506536]",12485.27427356254,False
69,"[24.999837, 121.547778]",16741.24057223502,False
70,"[25.032752, 121.561645]",14432.157294288278,False
71,"[25.032985, 121.554204]",13951.241888855278,False
72,"[25.048611, 121.529346]",11103.275222106295,False
73,"[25.072228, 121.510195]",7859.419143032222,False
74,"[25.033817, 121.530547]",12589.105132738729,False
75,"[25.0300508, 121.557635]",14419.688289997117,False
76,"[25.056387, 121.527522]",10275.587464230432,False
77,"[25.059147, 121.56297]",12391.611397168275,False
78,"[25.071824, 121.519287]",8389.759983168771,False
79,"[25.061285, 121.520205]",9420.458189359362,False
80,"[25.02751, 121.495869]",12044.602938242137,False
81,"[25.020547, 121.528552]",13821.352219663051,False
82,"[25.041778, 121.508693]",10873.52842193498,False
83,"[25.033344, 121.534236]",12814.980343332585,False
84,"[25.029705, 121.502899]",11974.044473323362,False
85,"[25.033362, 121.54911]",13616.224282352761,False
86,"[25.062344, 121.545138]",10857.338961367266,False
87,"[25.033078, 121.543057]",13301.4319009831,False
88,"[25.032922, 121.57087]",15020.86923938611,False
89,"[25.027323, 121.516385]",12650.842375035914,False
90,"[25.037783, 121.501708]",11076.856201058523,False
91,"[25.070629, 121.523268]",8732.767407739866,False
92,"[25.046618, 121.507169]",10315.5462843417,False
93,"[25.023877, 121.569836]",15718.475865854934,False
94,"[24.993254, 121.541059]",17105.755769835556,False
95,"[25.023393, 121.497679]",12530.347020139348,False
96,"[25.061567, 121.566558]",12488.79964536461,False
97,"[25.082825, 121.524721]",7789.744462678552,False
98,"[24.999378, 121.540197]",16450.34029222286,False
99,"[25.057866, 121.520711]",9772.517130547423,False
100,"[25.045753, 121.530697]",11445.259164958625,False
101,"[25.043668, 121.528487]",11530.929065715754,False
102,"[25.02043, 121.525322]",13700.851652961075,False
103,"[25.033639, 121.503028]",11556.45412160605,False
104,"[25.004023, 121.54074]",16007.234071075789,False
105,"[25.044412, 121.505409]",10486.370306174971,False
106,"[25.032932, 121.497674]",11495.768101072792,False
107,"[25.036402, 121.509422]",11460.647400642945,False
108,"[25.073306, 121.515843]",8057.6044760247905,False
109,"[25.071606, 121.530805]",9125.06496713393,False
110,"[25.086376, 121.560888]",10430.440921010108,False
111,"[25.040184, 121.543497]",12670.465128254777,False
112,"[25.137456, 121.503124]",3230.039841239187,False
113,"[25.037724, 121.561178]",13976.624007931587,False
114,"[25.109908, 121.530386]",6499.521516810965,False
115,"[25.048222, 121.520526]",10701.054444265304,False
116,"[25.096122, 121.530215]",7241.866518189064,False
117,"[25.132581, 121.498618]",2748.798366564465,False
118,"[25.136929, 121.499152]",2825.9536694322596,False
119,"[25.08418, 121.555116]",10063.419669904895,False
120,"[25.035479, 121.50026]",11284.792908344994,False
121,"[25.05298, 121.540568]",11350.067498060678,False
122,"[25.079666, 121.57584]",12107.7025295915,False
123,"[25.116325, 121.534136]",6605.666426404106,False
