station,station_coor,distance,near
1,"[25.0408578889, 121.567904444]",2426.6536902974613,False
2,"[25.041254, 121.55742]",1792.2496022153257,False
3,"[25.0377972222, 121.565169444]",2508.338334137358,False
4,"[25.0360361111, 121.562325]",2526.538149212596,False
5,"[25.0365638889, 121.5686639]",2831.3385753128064,False
6,"[25.034047, 121.565973]",2900.7443809846704,False
7,"[25.0330388889, 121.565619444]",2978.525537020733,False
8,"[25.0352138889, 121.563688889]",2672.140520815668,False
9,"[25.031785, 121.57448]",3615.9040002732227,False
10,"[25.0286611111, 121.566116667]",3430.616780016923,False
11,"[25.034937, 121.55762]",2463.5172256713868,False
12,"[25.026679, 121.561747]",3464.3308354546034,False
13,"[25.03809, 121.58367]",3877.5567210223894,False
14,"[25.06424, 121.54037]",1377.4983298506634,False
16,"[25.036084, 121.579135]",3628.448136871256,False
17,"[25.05862, 121.55514]",514.4476534228072,True
18,"[25.049408, 121.55261]",778.2426031770628,True
19,"[25.02863, 121.56981]",3616.4058179459535,False
21,"[25.057985, 121.548982]",268.1464655650032,True
22,"[25.048824, 121.57845]",2905.556766871716,False
23,"[25.055074, 121.602798]",5241.1787200512645,False
24,"[25.03293, 121.53747]",2915.166181604243,False
25,"[25.04543, 121.57205]",2454.889909249142,False
26,"[25.050142, 121.592375]",4243.773094594606,False
27,"[25.05469, 121.61669]",6641.174514469266,False
28,"[25.04814, 121.57467]",2568.1574071155696,False
29,"[25.03164, 121.52655]",3663.613171967595,False
30,"[25.017054, 121.544352]",4401.66288137317,False
31,"[25.022413, 121.53456]",4097.823279157283,False
32,"[25.023884, 121.553161]",3602.2597885810883,False
33,"[25.04878, 121.56087]",1309.5606954809766,False
34,"[25.058369, 121.532934]",1813.7811784534147,False
35,"[25.059978, 121.533302]",1809.9283316880653,False
36,"[25.02101, 121.54153]",4023.302854100218,False
37,"[25.0337, 121.528988]",3329.285479916817,False
38,"[25.026603, 121.52944]",3931.8506550499633,False
39,"[25.058, 121.61422]",6393.241872194095,False
40,"[25.04287, 121.5864]",3882.4965819906843,False
41,"[25.047425, 121.613706]",6413.431618373581,False
42,"[25.04431, 121.58174]",3387.6288091050096,False
43,"[25.035639, 121.614154]",6781.411595159541,False
44,"[25.05973, 121.616187]",6599.854515023361,False
45,"[25.01476, 121.534538]",4890.7453608234155,False
46,"[25.056504, 121.611389]",6105.095692675379,False
47,"[25.042275, 121.533939]",2297.6072187943164,False
