station,station_coor,distance
1,"[25.0408578889, 121.567904444]",4659.261188650111
2,"[25.041254, 121.55742]",4598.816059415164
3,"[25.0377972222, 121.565169444]",4272.980721966774
4,"[25.0360361111, 121.562325]",4040.1083627035587
5,"[25.0365638889, 121.5686639]",4212.3829015947385
6,"[25.034047, 121.565973]",3878.030048205498
7,"[25.0330388889, 121.565619444]",3761.048751801945
8,"[25.0352138889, 121.563688889]",3966.221478566524
9,"[25.031785, 121.57448]",3909.006065035266
10,"[25.0286611111, 121.566116667]",3297.4402045928937
11,"[25.034937, 121.55762]",3896.1777848669394
12,"[25.026679, 121.561747]",2999.679042100735
13,"[25.03809, 121.58367]",4964.8290706737935
14,"[25.06424, 121.54037]",7374.785301957325
16,"[25.036084, 121.579135]",4545.6366329548155
17,"[25.05862, 121.55514]",6536.247369414118
18,"[25.049408, 121.55261]",5533.053208165649
19,"[25.02863, 121.56981]",3404.080039492558
21,"[25.057985, 121.548982]",6524.222461380556
22,"[25.048824, 121.57845]",5812.152781073844
23,"[25.055074, 121.602798]",7608.09185322401
24,"[25.03293, 121.53747]",4222.129539955086
25,"[25.04543, 121.57205]",5253.017219324942
26,"[25.050142, 121.592375]",6565.65151103113
27,"[25.05469, 121.61669]",8480.320810435293
28,"[25.04814, 121.57467]",5616.556567857011
29,"[25.03164, 121.52655]",4752.650647791606
30,"[25.017054, 121.544352]",2359.7391250880573
31,"[25.022413, 121.53456]",3451.3723146035886
32,"[25.023884, 121.553161]",2713.5732974204466
33,"[25.04878, 121.56087]",5442.052815959422
34,"[25.058369, 121.532934]",6979.752307517229
35,"[25.059978, 121.533302]",7133.601465732949
36,"[25.02101, 121.54153]",2882.860875521448
37,"[25.0337, 121.528988]",4770.034255339495
38,"[25.026603, 121.52944]",4144.789474124807
39,"[25.058, 121.61422]",8582.585641395948
40,"[25.04287, 121.5864]",5562.07454722272
41,"[25.047425, 121.613706]",7698.731137059888
42,"[25.04431, 121.58174]",5480.7685760382865
