,category,name,address,latitude,longtitude
11,hospital,b'\xe5\x8d\x9a\xe4\xbb\x81\xe7\xb6\x9c\xe5\x90\x88\xe9\x86\xab\xe9\x99\xa2',b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe6\x9d\xbe\xe5\xb1\xb1\xe5\x8d\x80\xe5\x85\x89\xe5\xbe\xa9\xe5\x8c\x97\xe8\xb7\xaf66\xe8\x99\x9f',25.0499703,121.5575603
12,hospital,b'\xe5\x9f\xb9\xe9\x9d\x88\xe9\x86\xab\xe9\x99\xa2',b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe6\x9d\xbe\xe5\xb1\xb1\xe5\x8d\x80\xe5\x85\xab\xe5\xbe\xb7\xe8\xb7\xaf\xe5\x9b\x9b\xe6\xae\xb5355\xe8\x99\x9f',25.0494027,121.5681918
13,hospital,b'\xe4\xb8\x89\xe8\xbb\x8d\xe7\xb8\xbd\xe9\x86\xab\xe9\x99\xa2\xe6\x9d\xbe\xe5\xb1\xb1\xe5\x88\x86\xe9\x99\xa2\xe9\x99\x84\xe8\xa8\xad\xe6\xb0\x91\xe7\x9c\xbe\xe8\xa8\xba\xe7\x99\x82\xe6\x9c\x8d\xe5\x8b\x99\xe8\x99\x95',b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe6\x9d\xbe\xe5\xb1\xb1\xe5\x8d\x80\xe5\x81\xa5\xe5\xba\xb7\xe8\xb7\xaf131\xe8\x99\x9f',25.0543001,121.5576271
14,hospital,b'\xe4\xb8\xad\xe5\xb1\xb1\xe9\x86\xab\xe7\x99\x82\xe7\xa4\xbe\xe5\x9c\x98\xe6\xb3\x95\xe4\xba\xba\xe4\xb8\xad\xe5\xb1\xb1\xe9\x86\xab\xe9\x99\xa2',b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe5\xa4\xa7\xe5\xae\x89\xe5\x8d\x80\xe4\xbb\x81\xe6\x84\x9b\xe8\xb7\xaf\xe5\x9b\x9b\xe6\xae\xb5112\xe5\xb7\xb711\xe8\x99\x9f',25.0365128,121.5499646
15,hospital,b'\xe5\x9c\x8b\xe7\xab\x8b\xe8\x87\xba\xe7\x81\xa3\xe5\xa4\xa7\xe5\xad\xb8\xe9\x86\xab\xe5\xad\xb8\xe9\x99\xa2\xe9\x99\x84\xe8\xa8\xad\xe7\x99\x8c\xe9\x86\xab\xe4\xb8\xad\xe5\xbf\x83\xe9\x86\xab\xe9\x99\xa2',b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe5\xa4\xa7\xe5\xae\x89\xe5\x8d\x80\xe5\x9f\xba\xe9\x9a\x86\xe8\xb7\xaf3\xe6\xae\xb5155\xe5\xb7\xb757\xe8\x99\x9f',25.01459,121.5446717
16,hospital,b'\xe7\xa7\x80\xe5\x82\xb3\xe9\x86\xab\xe9\x99\xa2',b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe5\xa4\xa7\xe5\xae\x89\xe5\x8d\x80\xe5\x85\x89\xe5\xbe\xa9\xe5\x8d\x97\xe8\xb7\xaf116\xe5\xb7\xb71\xe8\x99\x9f',25.0431043,121.5568078
17,hospital,b'\xe5\xae\x8f\xe6\x81\xa9\xe9\x86\xab\xe7\x99\x82\xe8\xb2\xa1\xe5\x9c\x98\xe6\xb3\x95\xe4\xba\xba\xe5\xae\x8f\xe6\x81\xa9\xe7\xb6\x9c\xe5\x90\x88\xe9\x86\xab\xe9\x99\xa2',b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe5\xa4\xa7\xe5\xae\x89\xe5\x8d\x80\xe4\xbb\x81\xe6\x84\x9b\xe8\xb7\xaf\xe5\x9b\x9b\xe6\xae\xb571\xe5\xb7\xb71\xe8\x99\x9f',25.0381916,121.5466881
18,hospital,b'\xe4\xb8\xad\xe5\xbf\x83\xe8\xa8\xba\xe6\x89\x80\xe9\x86\xab\xe7\x99\x82\xe8\xb2\xa1\xe5\x9c\x98\xe6\xb3\x95\xe4\xba\xba\xe4\xb8\xad\xe5\xbf\x83\xe7\xb6\x9c\xe5\x90\x88\xe9\x86\xab\xe9\x99\xa2',b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe5\xa4\xa7\xe5\xae\x89\xe5\x8d\x80\xe5\xbf\xa0\xe5\xad\x9d\xe6\x9d\xb1\xe8\xb7\xaf\xe5\x9b\x9b\xe6\xae\xb577\xe8\x99\x9f',25.0418516,121.5474838
19,hospital,b'\xe5\x9c\x8b\xe6\xb3\xb0\xe9\x86\xab\xe7\x99\x82\xe8\xb2\xa1\xe5\x9c\x98\xe6\xb3\x95\xe4\xba\xba\xe5\x9c\x8b\xe6\xb3\xb0\xe7\xb6\x9c\xe5\x90\x88\xe9\x86\xab\xe9\x99\xa2',b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe5\xa4\xa7\xe5\xae\x89\xe5\x8d\x80\xe4\xbb\x81\xe6\x84\x9b\xe8\xb7\xaf\xe5\x9b\x9b\xe6\xae\xb5280\xe8\x99\x9f',25.0368778,121.5538588
20,hospital,b'\xe5\x9c\x8b\xe6\xb3\xb0\xe9\x86\xab\xe7\x99\x82\xe8\xb2\xa1\xe5\x9c\x98\xe6\xb3\x95\xe4\xba\xba\xe5\x9c\x8b\xe6\xb3\xb0\xe7\xb6\x9c\xe5\x90\x88\xe9\x86\xab\xe9\x99\xa2_1',b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe5\xa4\xa7\xe5\xae\x89\xe5\x8d\x80\xe4\xbb\x81\xe6\x84\x9b\xe8\xb7\xaf\xe5\x9b\x9b\xe6\xae\xb5266\xe5\xb7\xb76\xe8\x99\x9f',25.0371818,121.5527439
21,hospital,b'\xe5\x90\x8c\xe4\xbb\x81\xe9\x99\xa2\xe9\x86\xab\xe7\x99\x82\xe8\xb2\xa1\xe5\x9c\x98\xe6\xb3\x95\xe4\xba\xba\xe8\x90\xac\xe8\x8f\xaf\xe9\x86\xab\xe9\x99\xa2',b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe8\x90\xac\xe8\x8f\xaf\xe5\x8d\x80\xe4\xb8\xad\xe8\x8f\xaf\xe8\xb7\xaf\xe4\xba\x8c\xe6\xae\xb5606\xe5\xb7\xb76\xe8\x99\x9f',25.0239991,121.50981
22,hospital,b'\xe8\xb2\xa1\xe5\x9c\x98\xe6\xb3\x95\xe4\xba\xba\xe5\x8f\xb0\xe7\x81\xa3\xe7\x9c\x81\xe7\xa7\x81\xe7\xab\x8b\xe5\x8f\xb0\xe5\x8c\x97\xe4\xbb\x81\xe6\xbf\x9f\xe9\x99\xa2\xe9\x99\x84\xe8\xa8\xad\xe4\xbb\x81\xe6\xbf\x9f\xe9\x86\xab\xe9\x99\xa2',b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe8\x90\xac\xe8\x8f\xaf\xe5\x8d\x80\xe5\xbb\xa3\xe5\xb7\x9e\xe8\xa1\x97200\xe8\x99\x9f',25.0366809,121.4980941
23,hospital,b'\xe8\xa5\xbf\xe5\x9c\x92\xe9\x86\xab\xe7\x99\x82\xe7\xa4\xbe\xe5\x9c\x98\xe6\xb3\x95\xe4\xba\xba\xe8\xa5\xbf\xe5\x9c\x92\xe9\x86\xab\xe9\x99\xa2',b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe8\x90\xac\xe8\x8f\xaf\xe5\x8d\x80\xe8\xa5\xbf\xe5\x9c\x92\xe8\xb7\xaf\xe4\xba\x8c\xe6\xae\xb5270\xe8\x99\x9f',25.0277351,121.4944414
24,hospital,b'\xe5\x9c\x8b\xe7\xab\x8b\xe8\x87\xba\xe7\x81\xa3\xe5\xa4\xa7\xe5\xad\xb8\xe9\x86\xab\xe5\xad\xb8\xe9\x99\xa2\xe9\x99\x84\xe8\xa8\xad\xe9\x86\xab\xe9\x99\xa2\xe5\x8c\x97\xe8\xad\xb7\xe5\x88\x86\xe9\x99\xa2',b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe8\x90\xac\xe8\x8f\xaf\xe5\x8d\x80\xe5\xba\xb7\xe5\xae\x9a\xe8\xb7\xaf37\xe8\x99\x9f',25.0421536,121.5026196
