,0
small,"[39, 130, 205, 262, 280, 297, 320, 327, 334, 347, 354, 383, 395, 403]"
mid,"[2, 18, 32, 44, 55, 66, 77, 90, 100, 111, 124, 137, 150, 161, 175, 187, 201, 214, 225, 236, 247, 257, 269, 281, 293, 307, 317, 332, 346, 361, 371, 382, 397]"
big,"[1, 6, 21, 36, 83, 115, 132, 148, 163, 186, 215]"
