,Lasso ,Ridge ,Random Forest 
1,0.062110087050456377,0.06307594163686325,0.06309799132687492
2,0.12266765847664202,0.12338571312005799,0.12665312438121265
3,0.12084086529869506,0.12128234390140662,0.12321196673553199
4,0.06158879600622231,0.0616122395950135,0.06314518866288918
5,0.11718866141959944,0.11670120175658094,0.11819597486522505
6,0.11764154902400906,0.12031637753179134,0.11819532485516657
7,0.08103454907105527,0.08253879709918485,0.08364139118847361
8,0.06290967607138317,0.06234454844615881,0.06440546516969424
9,0.09211705014503732,0.0925965020132004,0.09683079555284867
10,0.09920007440418754,0.0989752904123575,0.10082389323734091
11,0.09286575870243043,0.09420797077271084,0.09903787025732726
12,0.1170004591384019,0.1171270712666232,0.1198867360415893
13,0.07869157048372478,0.08085888636471762,0.08374501056204509
14,0.13264899738542932,0.13102813735816404,0.12859291190327887
16,0.08067711691533984,0.08040247388519416,0.08224562249488039
17,0.11428064253025878,0.11403750326543798,0.11165208755865486
18,0.08778037068780138,0.08984546755252387,0.08999739535177016
19,0.12141774919198728,0.12168741446598937,0.12206054691230657
21,0.09340814592139844,0.09332187465143016,0.09311354585120134
22,0.11429024550428842,0.11527959534265103,0.11527720057349922
23,0.1052994725526505,0.10693890879188771,0.1074696310464811
24,0.12021324943887066,0.12029031160465084,0.12371842436141818
25,0.13421846377889288,0.1346455649469852,0.13258985317231717
26,0.07672961536110086,0.0764530574721386,0.0757353836378286
27,0.12979588089957184,0.13128373379374186,0.1310099057772445
29,0.08348214483657934,0.08379529507301806,0.08608694162317103
30,0.07943121407526503,0.0789421686309361,0.07937844886890642
32,0.11535351514476187,0.11525644100967075,0.11654499134944807
33,0.08404264763663793,0.08400715415882583,0.08409683359334327
34,0.10734448357066144,0.10793082628355972,0.11164911271916586
35,0.1319010577597776,0.1323528425149142,0.13417135625455096
36,0.10926031333205477,0.11283661319160017,0.11403009553403508
37,0.11395422594011398,0.11407863064167825,0.11571885184391703
38,0.1339147903538244,0.1360643076965442,0.13938391367893838
39,0.11101582284006153,0.11134616918503457,0.1127132250380763
40,0.12190502841144722,0.12210514878682162,0.12221525321438212
41,0.1022231661460428,0.10235262407664254,0.10382012969259455
42,0.11616231575409691,0.11896791774877169,0.12152053913263235
43,0.07509213395417695,0.07565330225675086,0.07771759249253973
44,0.08925506171129403,0.08918681310941962,0.0893906428619787
45,0.1559188412963731,0.15649070289374775,0.15855703269014604
46,0.08589644194939233,0.08656190742690459,0.08506075094835683
48,0.09795209811704049,0.09792172677061865,0.09959622457827093
49,0.12387010291427293,0.12333487340759783,0.1264551358327972
50,0.05739849232901496,0.05787166206751963,0.058817922482939794
51,0.06116421165906844,0.060867479555646906,0.06282834643202784
52,0.1093018274921456,0.10953808217726403,0.10938351338365515
53,0.1049820909704219,0.10496549215268677,0.10361084860358259
