,count,mean,std,min,25%,50%,75%,max
187,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
188,9438.0,24.419294342021566,5.63388848097333,7.0,20.3,24.8,28.9,36.7
189,9438.0,24.309726636999372,5.8256595912699645,7.2,20.0,24.5,28.875,38.0
191,9438.0,24.309726636999372,5.8256595912699645,7.2,20.0,24.5,28.875,38.0
192,9438.0,24.309726636999372,5.8256595912699645,7.2,20.0,24.5,28.875,38.0
193,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
194,9438.0,24.420952532316196,5.634013090585358,7.5,20.2,24.7,28.7,37.7
195,9438.0,24.478152150879477,5.804573501775419,7.0,20.2,24.7,28.7,39.0
196,9438.0,24.309726636999372,5.8256595912699645,7.2,20.0,24.5,28.875,38.0
197,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
201,9438.0,24.309726636999372,5.8256595912699645,7.2,20.0,24.5,28.875,38.0
202,9438.0,24.19664653528289,5.7946854577503615,5.9,20.0,24.5,28.5,38.0
203,9438.0,24.478152150879477,5.804573501775419,7.0,20.2,24.7,28.7,39.0
204,9438.0,24.514166136893508,5.611081208539436,7.0,20.6,24.9,28.7,37.2
205,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
206,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
207,9438.0,24.419294342021566,5.63388848097333,7.0,20.3,24.8,28.9,36.7
208,9438.0,24.478152150879477,5.804573501775419,7.0,20.2,24.7,28.7,39.0
209,9438.0,24.721916719643982,5.516413507089968,7.4,20.6,25.2,29.2,36.6
210,9438.0,24.309726636999372,5.8256595912699645,7.2,20.0,24.5,28.875,38.0
211,9438.0,24.309726636999372,5.8256595912699645,7.2,20.0,24.5,28.875,38.0
212,9438.0,24.309726636999372,5.8256595912699645,7.2,20.0,24.5,28.875,38.0
213,9438.0,24.514166136893508,5.611081208539436,7.0,20.6,24.9,28.7,37.2
214,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
215,9438.0,24.478152150879477,5.804573501775419,7.0,20.2,24.7,28.7,39.0
216,9438.0,24.309726636999372,5.8256595912699645,7.2,20.0,24.5,28.875,38.0
217,9438.0,24.309726636999372,5.8256595912699645,7.2,20.0,24.5,28.875,38.0
218,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
219,9438.0,24.478152150879477,5.804573501775419,7.0,20.2,24.7,28.7,39.0
220,9438.0,24.478152150879477,5.804573501775419,7.0,20.2,24.7,28.7,39.0
221,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
222,9438.0,24.420952532316196,5.634013090585358,7.5,20.2,24.7,28.7,37.7
223,9438.0,24.721916719643982,5.516413507089968,7.4,20.6,25.2,29.2,36.6
224,9438.0,24.419294342021566,5.63388848097333,7.0,20.3,24.8,28.9,36.7
225,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
226,9438.0,24.309726636999372,5.8256595912699645,7.2,20.0,24.5,28.875,38.0
227,9438.0,24.309726636999372,5.8256595912699645,7.2,20.0,24.5,28.875,38.0
228,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
229,5469.0,26.622526970195683,4.984952571044747,14.5,23.2,26.9,30.1,39.0
230,9438.0,24.309726636999372,5.8256595912699645,7.2,20.0,24.5,28.875,38.0
231,9438.0,24.420952532316196,5.634013090585358,7.5,20.2,24.7,28.7,37.7
232,9438.0,24.514166136893508,5.611081208539436,7.0,20.6,24.9,28.7,37.2
233,9438.0,24.19664653528289,5.7946854577503615,5.9,20.0,24.5,28.5,38.0
234,9438.0,24.514166136893508,5.611081208539436,7.0,20.6,24.9,28.7,37.2
235,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
236,9438.0,24.19664653528289,5.7946854577503615,5.9,20.0,24.5,28.5,38.0
237,7676.0,23.592150859822972,5.924536673859797,6.9,19.1,23.7,28.0,37.3
238,9438.0,24.309726636999372,5.8256595912699645,7.2,20.0,24.5,28.875,38.0
241,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
