,count,mean,std,min,25%,50%,75%,max
222,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
223,9438.0,69.4169845306209,11.011387056308944,32.0,62.0,69.0,76.0,97.0
224,9438.0,71.86829836829837,11.710126169272687,30.0,64.0,72.0,80.0,98.0
225,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
226,9438.0,78.33121424030514,15.39894416907998,26.0,67.0,79.0,92.0,100.0
227,9438.0,78.33121424030514,15.39894416907998,26.0,67.0,79.0,92.0,100.0
228,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
229,5469.0,74.85993783141342,17.13658453998953,25.0,64.0,77.0,88.0,100.0
230,9438.0,78.33121424030514,15.39894416907998,26.0,67.0,79.0,92.0,100.0
231,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
232,9438.0,75.32549268912905,11.448990123705457,32.0,67.0,76.0,83.0,97.0
233,9438.0,74.00874125874125,15.091033417628939,26.0,63.0,74.0,86.0,99.0
234,9438.0,75.32549268912905,11.448990123705457,32.0,67.0,76.0,83.0,97.0
235,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
236,9438.0,74.00874125874125,15.091033417628939,26.0,63.0,74.0,86.0,99.0
237,7676.0,76.28348097967691,14.174485705016677,21.0,66.0,79.0,88.0,100.0
238,9438.0,78.33121424030514,15.39894416907998,26.0,67.0,79.0,92.0,100.0
241,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
242,9438.0,74.00874125874125,15.091033417628939,26.0,63.0,74.0,86.0,99.0
243,9438.0,71.86829836829837,11.710126169272687,30.0,64.0,72.0,80.0,98.0
244,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
245,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
246,9438.0,78.33121424030514,15.39894416907998,26.0,67.0,79.0,92.0,100.0
247,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
248,9463.0,76.40483990277924,14.115727328565892,21.0,67.0,79.0,88.0,100.0
249,9438.0,75.68743377834286,15.906676313590923,25.0,65.0,78.0,88.0,100.0
250,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
251,9438.0,71.86829836829837,11.710126169272687,30.0,64.0,72.0,80.0,98.0
252,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
253,9438.0,75.32549268912905,11.448990123705457,32.0,67.0,76.0,83.0,97.0
254,9438.0,74.00874125874125,15.091033417628939,26.0,63.0,74.0,86.0,99.0
255,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
256,9438.0,75.32549268912905,11.448990123705457,32.0,67.0,76.0,83.0,97.0
257,9438.0,75.68743377834286,15.906676313590923,25.0,65.0,78.0,88.0,100.0
258,9438.0,75.68743377834286,15.906676313590923,25.0,65.0,78.0,88.0,100.0
259,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
260,9438.0,78.33121424030514,15.39894416907998,26.0,67.0,79.0,92.0,100.0
261,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
262,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
263,9438.0,75.32549268912905,11.448990123705457,32.0,67.0,76.0,83.0,97.0
265,9438.0,74.00874125874125,15.091033417628939,26.0,63.0,74.0,86.0,99.0
266,9438.0,78.33121424030514,15.39894416907998,26.0,67.0,79.0,92.0,100.0
267,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
268,9438.0,78.33121424030514,15.39894416907998,26.0,67.0,79.0,92.0,100.0
269,9438.0,78.33121424030514,15.39894416907998,26.0,67.0,79.0,92.0,100.0
270,9438.0,75.32549268912905,11.448990123705457,32.0,67.0,76.0,83.0,97.0
271,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
272,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
273,9438.0,75.32549268912905,11.448990123705457,32.0,67.0,76.0,83.0,97.0
274,9438.0,78.33121424030514,15.39894416907998,26.0,67.0,79.0,92.0,100.0
275,9438.0,75.68743377834286,15.906676313590923,25.0,65.0,78.0,88.0,100.0
276,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
277,9438.0,75.68743377834286,15.906676313590923,25.0,65.0,78.0,88.0,100.0
278,9438.0,78.33121424030514,15.39894416907998,26.0,67.0,79.0,92.0,100.0
279,9438.0,78.33121424030514,15.39894416907998,26.0,67.0,79.0,92.0,100.0
280,9438.0,71.86829836829837,11.710126169272687,30.0,64.0,72.0,80.0,98.0
281,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
282,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
283,9438.0,74.00874125874125,15.091033417628939,26.0,63.0,74.0,86.0,99.0
284,9438.0,75.32549268912905,11.448990123705457,32.0,67.0,76.0,83.0,97.0
285,9438.0,75.68743377834286,15.906676313590923,25.0,65.0,78.0,88.0,100.0
286,9438.0,78.33121424030514,15.39894416907998,26.0,67.0,79.0,92.0,100.0
287,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
288,9438.0,75.68743377834286,15.906676313590923,25.0,65.0,78.0,88.0,100.0
289,9438.0,75.68743377834286,15.906676313590923,25.0,65.0,78.0,88.0,100.0
290,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
291,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
292,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
293,9438.0,75.68743377834286,15.906676313590923,25.0,65.0,78.0,88.0,100.0
294,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
295,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
296,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
297,9438.0,75.68743377834286,15.906676313590923,25.0,65.0,78.0,88.0,100.0
298,9438.0,75.68743377834286,15.906676313590923,25.0,65.0,78.0,88.0,100.0
299,9438.0,75.68743377834286,15.906676313590923,25.0,65.0,78.0,88.0,100.0
300,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
301,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
302,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
303,9438.0,78.33121424030514,15.39894416907998,26.0,67.0,79.0,92.0,100.0
304,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
305,9438.0,78.33121424030514,15.39894416907998,26.0,67.0,79.0,92.0,100.0
307,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
308,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
309,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
310,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
312,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
314,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
315,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
316,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
317,9438.0,75.68743377834286,15.906676313590923,25.0,65.0,78.0,88.0,100.0
318,9438.0,78.33121424030514,15.39894416907998,26.0,67.0,79.0,92.0,100.0
319,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
320,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
321,9438.0,75.68743377834286,15.906676313590923,25.0,65.0,78.0,88.0,100.0
322,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
323,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
324,9438.0,71.86829836829837,11.710126169272687,30.0,64.0,72.0,80.0,98.0
325,9438.0,78.33121424030514,15.39894416907998,26.0,67.0,79.0,92.0,100.0
326,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
327,9438.0,75.68743377834286,15.906676313590923,25.0,65.0,78.0,88.0,100.0
328,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
329,9438.0,78.33121424030514,15.39894416907998,26.0,67.0,79.0,92.0,100.0
330,8684.0,71.64860663288808,11.65561481006215,30.0,64.0,72.0,80.0,98.0
331,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
332,9438.0,75.68743377834286,15.906676313590923,25.0,65.0,78.0,88.0,100.0
333,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
334,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
335,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
336,9438.0,75.68743377834286,15.906676313590923,25.0,65.0,78.0,88.0,100.0
337,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
338,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
339,9438.0,71.86829836829837,11.710126169272687,30.0,64.0,72.0,80.0,98.0
340,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
341,9438.0,75.32549268912905,11.448990123705457,32.0,67.0,76.0,83.0,97.0
342,9438.0,69.4169845306209,11.011387056308944,32.0,62.0,69.0,76.0,97.0
343,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
344,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
345,9438.0,75.68743377834286,15.906676313590923,25.0,65.0,78.0,88.0,100.0
347,9438.0,75.68743377834286,15.906676313590923,25.0,65.0,78.0,88.0,100.0
348,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
349,9438.0,71.86829836829837,11.710126169272687,30.0,64.0,72.0,80.0,98.0
350,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
351,9438.0,75.68743377834286,15.906676313590923,25.0,65.0,78.0,88.0,100.0
352,9438.0,75.68743377834286,15.906676313590923,25.0,65.0,78.0,88.0,100.0
353,9438.0,75.68743377834286,15.906676313590923,25.0,65.0,78.0,88.0,100.0
354,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
355,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
356,9438.0,78.33121424030514,15.39894416907998,26.0,67.0,79.0,92.0,100.0
357,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
358,9438.0,78.33121424030514,15.39894416907998,26.0,67.0,79.0,92.0,100.0
359,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
360,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
361,9438.0,75.32549268912905,11.448990123705457,32.0,67.0,76.0,83.0,97.0
362,9438.0,75.68743377834286,15.906676313590923,25.0,65.0,78.0,88.0,100.0
363,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
364,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
365,9438.0,69.4169845306209,11.011387056308944,32.0,62.0,69.0,76.0,97.0
366,9438.0,78.33121424030514,15.39894416907998,26.0,67.0,79.0,92.0,100.0
367,9438.0,69.4169845306209,11.011387056308944,32.0,62.0,69.0,76.0,97.0
368,9438.0,75.32549268912905,11.448990123705457,32.0,67.0,76.0,83.0,97.0
369,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
370,9438.0,75.68743377834286,15.906676313590923,25.0,65.0,78.0,88.0,100.0
371,9438.0,75.68743377834286,15.906676313590923,25.0,65.0,78.0,88.0,100.0
372,9438.0,75.68743377834286,15.906676313590923,25.0,65.0,78.0,88.0,100.0
373,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
374,9438.0,78.33121424030514,15.39894416907998,26.0,67.0,79.0,92.0,100.0
375,9438.0,75.32549268912905,11.448990123705457,32.0,67.0,76.0,83.0,97.0
376,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
377,9438.0,78.33121424030514,15.39894416907998,26.0,67.0,79.0,92.0,100.0
379,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
380,9438.0,78.33121424030514,15.39894416907998,26.0,67.0,79.0,92.0,100.0
381,9438.0,78.33121424030514,15.39894416907998,26.0,67.0,79.0,92.0,100.0
384,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
385,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
386,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
388,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
389,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
390,9438.0,69.4169845306209,11.011387056308944,32.0,62.0,69.0,76.0,97.0
391,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
392,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
393,9438.0,78.33121424030514,15.39894416907998,26.0,67.0,79.0,92.0,100.0
394,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
395,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
396,9438.0,78.33121424030514,15.39894416907998,26.0,67.0,79.0,92.0,100.0
397,9438.0,71.86829836829837,11.710126169272687,30.0,64.0,72.0,80.0,98.0
398,9438.0,75.32549268912905,11.448990123705457,32.0,67.0,76.0,83.0,97.0
399,9438.0,75.68743377834286,15.906676313590923,25.0,65.0,78.0,88.0,100.0
400,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
401,9439.0,66.72094501536179,11.55604917951545,22.0,58.0,69.0,76.0,89.0
402,9438.0,78.33121424030514,15.39894416907998,26.0,67.0,79.0,92.0,100.0
403,9438.0,78.33121424030514,15.39894416907998,26.0,67.0,79.0,92.0,100.0
404,9438.0,71.86829836829837,11.710126169272687,30.0,64.0,72.0,80.0,98.0
