,time,sbi,station_id,tot,PrecpHour,UVI,td,HUMD,H_24R,PRES,TEMP,WDSE,comfort,WD_E,WD_ENE,WD_ESE,WD_N,WD_NE,WD_NNE,WD_NNW,WD_NW,WD_S,WD_SE,WD_SSE,WD_SSW,WD_SW,WD_W,WD_WNW,WD_WSW,wkdy_0,wkdy_1,wkdy_2,wkdy_3,wkdy_4,wkdy_5,wkdy_6,hrs_0,hrs_1,hrs_10,hrs_11,hrs_12,hrs_13,hrs_14,hrs_15,hrs_16,hrs_17,hrs_18,hrs_19,hrs_2,hrs_20,hrs_21,hrs_22,hrs_23,hrs_3,hrs_4,hrs_5,hrs_6,hrs_7,hrs_8,hrs_9,holiday,lat,lng,cat_hospital_500,cat_college_500,cat_train_500,cat_hospital_1000,cat_college_1000,cat_train_1000,sbi_1h,sbi_2h,sbi_3h,sbi_4h,sbi_5h,sbi_6h,sbi_7h,sbi_8h,sbi_9h,sbi_10h,sbi_11h,sbi_12h,sbi_1d,sbi_2d,sbi_3d,sbi_4d,sbi_5d,sbi_6d,sbi_7d,y_sbi,percet
12,2020-05-15 01:00:00,2,2,48,0.0,0,22.8,81.0,0.0,1002.4,25.6,0.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,25.041254,121.55742,True,False,False,True,False,False,7.0,3.0,1.0,4.0,6.0,9.0,21.0,6.0,4.0,2.0,6.0,8.0,,,,,,,,13.0,4.17
13,2020-05-15 02:00:00,13,2,48,0.0,0,22.7,84.0,0.0,1002.0,24.9,0.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,25.041254,121.55742,True,False,False,True,False,False,2.0,7.0,3.0,1.0,4.0,6.0,9.0,21.0,6.0,4.0,2.0,6.0,,,,,,,,12.0,27.08
14,2020-05-15 03:00:00,12,2,48,0.0,0,22.6,83.0,0.0,1002.1,24.9,0.2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,25.041254,121.55742,True,False,False,True,False,False,13.0,2.0,7.0,3.0,1.0,4.0,6.0,9.0,21.0,6.0,4.0,2.0,,,,,,,,23.0,25.0
15,2020-05-15 04:00:00,23,2,48,0.0,0,22.6,85.0,0.0,1002.4,24.4,0.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,25.041254,121.55742,True,False,False,True,False,False,12.0,13.0,2.0,7.0,3.0,1.0,4.0,6.0,9.0,21.0,6.0,4.0,,,,,,,,22.0,47.92
16,2020-05-15 05:00:00,22,2,48,0.0,5,22.2,83.0,0.0,1002.3,24.6,0.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False,25.041254,121.55742,True,False,False,True,False,False,23.0,12.0,13.0,2.0,7.0,3.0,1.0,4.0,6.0,9.0,21.0,6.0,,,,,,,,23.0,45.83
17,2020-05-15 06:00:00,23,2,48,0.0,5,21.8,76.0,0.0,1002.5,26.4,0.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,False,25.041254,121.55742,True,False,False,True,False,False,22.0,23.0,12.0,13.0,2.0,7.0,3.0,1.0,4.0,6.0,9.0,21.0,,,,,,,,20.0,47.92
18,2020-05-15 07:00:00,20,2,48,0.0,5,18.2,67.0,0.0,1002.4,28.6,0.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False,25.041254,121.55742,True,False,False,True,False,False,23.0,22.0,23.0,12.0,13.0,2.0,7.0,3.0,1.0,4.0,6.0,9.0,,,,,,,,8.0,41.67
19,2020-05-15 08:00:00,8,2,48,0.0,5,17.9,60.0,0.0,1002.2,30.5,0.3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,25.041254,121.55742,True,False,False,True,False,False,20.0,23.0,22.0,23.0,12.0,13.0,2.0,7.0,3.0,1.0,4.0,6.0,,,,,,,,4.0,16.67
20,2020-05-15 09:00:00,4,2,48,0.0,5,19.4,48.0,0.0,1002.1,32.5,0.2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,25.041254,121.55742,True,False,False,True,False,False,8.0,20.0,23.0,22.0,23.0,12.0,13.0,2.0,7.0,3.0,1.0,4.0,,,,,,,,12.0,8.33
21,2020-05-15 10:00:00,12,2,48,0.0,5,19.2,46.0,0.0,1001.7,33.3,0.3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,25.041254,121.55742,True,False,False,True,False,False,4.0,8.0,20.0,23.0,22.0,23.0,12.0,13.0,2.0,7.0,3.0,1.0,,,,,,,,11.0,25.0
