,Unnamed: 0,parameters,aic,type
0,0,"(3, 0, 0, 1, 0, 1)",24181.595506777256,15
1,1,"(4, 0, 0, 1, 0, 1)",24181.8447551827,27
2,2,"(3, 0, 1, 1, 0, 1)",24182.8439803366,19
3,3,"(4, 0, 1, 1, 0, 1)",24183.90563532632,31
4,4,"(2, 0, 2, 1, 0, 1)",24184.273929140898,11
5,5,"(3, 0, 2, 1, 0, 1)",24184.39656623017,23
6,6,"(2, 0, 1, 1, 0, 1)",24184.437136864115,7
7,7,"(4, 0, 2, 1, 0, 1)",24185.503967525277,35
8,8,"(2, 0, 0, 1, 0, 1)",24191.29285130485,3
9,9,"(4, 0, 0, 1, 0, 0)",25174.361972229715,26
10,10,"(3, 0, 1, 1, 0, 0)",25174.9380331634,18
11,11,"(3, 0, 0, 1, 0, 0)",25175.28881174458,14
12,12,"(4, 0, 1, 1, 0, 0)",25175.77613538812,30
13,13,"(3, 0, 2, 1, 0, 0)",25175.892522182887,22
14,14,"(4, 0, 2, 1, 0, 0)",25177.729477962464,34
15,15,"(2, 0, 1, 1, 0, 0)",25184.415229197108,6
16,16,"(2, 0, 2, 1, 0, 0)",25189.10946331397,10
17,17,"(2, 0, 0, 1, 0, 0)",25203.871665889747,2
18,18,"(3, 0, 0, 0, 0, 1)",25251.879111821734,13
19,19,"(4, 0, 0, 0, 0, 1)",25251.993606958134,25
20,20,"(3, 0, 2, 0, 0, 1)",25252.477480426543,21
21,21,"(3, 0, 1, 0, 0, 1)",25252.6227384438,17
22,22,"(4, 0, 1, 0, 0, 1)",25252.992690815576,29
23,23,"(4, 0, 2, 0, 0, 1)",25254.63789123161,33
24,24,"(2, 0, 1, 0, 0, 1)",25258.69048744141,5
25,25,"(2, 0, 2, 0, 0, 1)",25260.743935064624,9
26,26,"(2, 0, 0, 0, 0, 1)",25276.861696578715,1
27,27,"(3, 0, 0, 0, 0, 0)",25466.364279200614,12
28,28,"(3, 0, 2, 0, 0, 0)",25466.602404885958,20
29,29,"(4, 0, 1, 0, 0, 0)",25467.52436669386,28
30,30,"(4, 0, 0, 0, 0, 0)",25467.742065097238,24
31,31,"(3, 0, 1, 0, 0, 0)",25468.038861652843,16
32,32,"(2, 0, 2, 0, 0, 0)",25468.575079919512,8
33,33,"(4, 0, 2, 0, 0, 0)",25468.758952358432,32
34,34,"(2, 0, 1, 0, 0, 0)",25470.31757187789,4
35,35,"(2, 0, 0, 0, 0, 0)",25486.839979587945,0
