,Unnamed: 0,parameters,aic,type
0,0,"(2, 0, 1, 1, 0, 1)",31674.561918401738,7
1,1,"(2, 0, 2, 1, 0, 1)",31675.078170251665,11
2,2,"(3, 0, 2, 1, 0, 1)",31677.572022741602,23
3,3,"(3, 0, 0, 1, 0, 1)",31679.204959019455,15
4,4,"(4, 0, 0, 1, 0, 1)",31679.23185328369,27
5,5,"(4, 0, 2, 1, 0, 1)",31680.620937798878,35
6,6,"(4, 0, 1, 1, 0, 1)",31683.252351038398,31
7,7,"(3, 0, 1, 1, 0, 1)",31686.130245416884,19
8,8,"(2, 0, 0, 1, 0, 1)",31689.16167404477,3
9,9,"(4, 0, 2, 1, 0, 0)",32457.582450613034,34
10,10,"(3, 0, 1, 1, 0, 0)",32460.631784858822,18
11,11,"(2, 0, 2, 1, 0, 0)",32469.50595466998,10
12,12,"(4, 0, 1, 1, 0, 0)",32486.221796432128,30
13,13,"(4, 0, 1, 0, 0, 1)",32555.077617458974,29
14,14,"(4, 0, 2, 0, 0, 1)",32556.583643330592,33
15,15,"(3, 0, 1, 0, 0, 1)",32557.07163179722,17
16,16,"(2, 0, 2, 0, 0, 1)",32567.07395819681,9
17,17,"(3, 0, 2, 0, 0, 1)",32588.13848058895,21
18,18,"(3, 0, 2, 1, 0, 0)",32693.81031244479,22
19,19,"(4, 0, 2, 0, 0, 0)",32809.126988004435,32
20,20,"(4, 0, 1, 0, 0, 0)",32810.78482468433,28
21,21,"(3, 0, 1, 0, 0, 0)",32811.409792622835,16
22,22,"(2, 0, 2, 0, 0, 0)",32848.883220086165,8
23,23,"(4, 0, 0, 1, 0, 0)",32905.70997943575,26
24,24,"(3, 0, 2, 0, 0, 0)",32913.417707640154,20
25,25,"(3, 0, 0, 1, 0, 0)",32914.738510159776,14
26,26,"(2, 0, 1, 1, 0, 0)",32935.778988034675,6
27,27,"(2, 0, 0, 1, 0, 0)",32966.4031416591,2
28,28,"(4, 0, 0, 0, 0, 1)",33059.366534522305,25
29,29,"(3, 0, 0, 0, 0, 1)",33071.6826073645,13
30,30,"(2, 0, 1, 0, 0, 1)",33091.49641340663,5
31,31,"(2, 0, 0, 0, 0, 1)",33123.349899323664,1
32,32,"(4, 0, 0, 0, 0, 0)",33368.9842114583,24
33,33,"(3, 0, 0, 0, 0, 0)",33383.837368380315,12
34,34,"(2, 0, 1, 0, 0, 0)",33401.46860189188,4
35,35,"(2, 0, 0, 0, 0, 0)",33434.88551434143,0
