,Unnamed: 0,parameters,aic,type
0,0,"(3, 0, 2, 1, 0, 1)",28102.47920877316,23
1,1,"(2, 0, 2, 1, 0, 1)",28105.251918351045,11
2,2,"(4, 0, 0, 1, 0, 1)",28108.38215665206,27
3,3,"(3, 0, 1, 1, 0, 1)",28108.46550525306,19
4,4,"(2, 0, 1, 1, 0, 1)",28108.576433164195,7
5,5,"(3, 0, 0, 1, 0, 1)",28108.77016472326,15
6,6,"(4, 0, 1, 1, 0, 1)",28110.270897044746,31
7,7,"(4, 0, 2, 1, 0, 1)",28110.30213072541,35
8,8,"(2, 0, 0, 1, 0, 1)",28135.280757163608,3
9,9,"(3, 0, 2, 1, 0, 0)",28632.259483107002,22
10,10,"(2, 0, 2, 1, 0, 0)",28635.151854518717,10
11,11,"(4, 0, 1, 1, 0, 0)",28644.884422234965,30
12,12,"(2, 0, 2, 0, 0, 1)",28660.664136540712,9
13,13,"(3, 0, 1, 1, 0, 0)",28661.9628233363,18
14,14,"(3, 0, 2, 0, 0, 1)",28662.191284892047,21
15,15,"(4, 0, 2, 1, 0, 0)",28665.005291016114,34
16,16,"(4, 0, 1, 0, 0, 1)",28669.59456502597,29
17,17,"(3, 0, 1, 0, 0, 1)",28690.632283609277,17
18,18,"(4, 0, 2, 0, 0, 1)",28695.00779324238,33
19,19,"(3, 0, 2, 0, 0, 0)",28764.028723190386,20
20,20,"(2, 0, 2, 0, 0, 0)",28765.99245132855,8
21,21,"(4, 0, 1, 0, 0, 0)",28768.983256662832,28
22,22,"(3, 0, 1, 0, 0, 0)",28798.805962525643,16
23,23,"(4, 0, 2, 0, 0, 0)",28802.729788785968,32
24,24,"(4, 0, 0, 1, 0, 0)",28995.952142132726,26
25,25,"(3, 0, 0, 1, 0, 0)",29005.15027250692,14
26,26,"(4, 0, 0, 0, 0, 1)",29031.022497922106,25
27,27,"(3, 0, 0, 0, 0, 1)",29041.05873550097,13
28,28,"(2, 0, 1, 1, 0, 0)",29074.067497307584,6
29,29,"(2, 0, 1, 0, 0, 1)",29114.711443341977,5
30,30,"(2, 0, 0, 1, 0, 0)",29133.098698161783,2
31,31,"(4, 0, 0, 0, 0, 0)",29152.377402414688,24
32,32,"(3, 0, 0, 0, 0, 0)",29163.48221125015,12
33,33,"(2, 0, 0, 0, 0, 1)",29177.432275647065,1
34,34,"(2, 0, 1, 0, 0, 0)",29245.38644547377,4
35,35,"(2, 0, 0, 0, 0, 0)",29318.252051488984,0
