,Unnamed: 0,parameters,aic,type
0,0,"(2, 0, 1, 1, 0, 1)",26772.589786374585,7
1,1,"(2, 0, 2, 1, 0, 1)",26774.105712673296,11
2,2,"(4, 0, 0, 1, 0, 1)",26775.02439238948,27
3,3,"(3, 0, 1, 1, 0, 1)",26775.232228264453,19
4,4,"(3, 0, 0, 1, 0, 1)",26775.59690375998,15
5,5,"(3, 0, 2, 1, 0, 1)",26776.66083520499,23
6,6,"(4, 0, 1, 1, 0, 1)",26777.06672853921,31
7,7,"(4, 0, 2, 1, 0, 1)",26779.498103567807,35
8,8,"(2, 0, 0, 1, 0, 1)",26796.60593760977,3
9,9,"(2, 0, 2, 1, 0, 0)",27262.122919670404,10
10,10,"(2, 0, 2, 0, 0, 1)",27300.371810564007,9
11,11,"(4, 0, 2, 0, 0, 1)",27329.25364858132,33
12,12,"(3, 0, 0, 1, 0, 0)",27402.80020715593,14
13,13,"(3, 0, 1, 1, 0, 0)",27404.358243193856,18
14,14,"(4, 0, 0, 1, 0, 0)",27404.454356171915,26
15,15,"(2, 0, 1, 1, 0, 0)",27404.69376929125,6
16,16,"(3, 0, 2, 1, 0, 0)",27405.822951690592,22
17,17,"(4, 0, 1, 1, 0, 0)",27406.137097857867,30
18,18,"(4, 0, 2, 1, 0, 0)",27407.764998964263,34
19,19,"(2, 0, 0, 1, 0, 0)",27439.128931216324,2
20,20,"(3, 0, 0, 0, 0, 1)",27448.77374336441,13
21,21,"(3, 0, 1, 0, 0, 1)",27450.46738920856,17
22,22,"(4, 0, 0, 0, 0, 1)",27450.523694881933,25
23,23,"(2, 0, 1, 0, 0, 1)",27451.19945374485,5
24,24,"(3, 0, 2, 0, 0, 1)",27452.093931463256,21
25,25,"(4, 0, 1, 0, 0, 1)",27452.256374076784,29
26,26,"(2, 0, 2, 0, 0, 0)",27457.500224981795,8
27,27,"(2, 0, 0, 0, 0, 1)",27486.314940564487,1
28,28,"(3, 0, 0, 0, 0, 0)",27614.193558817515,12
29,29,"(3, 0, 1, 0, 0, 0)",27615.926846707618,16
30,30,"(4, 0, 0, 0, 0, 0)",27615.948320186704,24
31,31,"(2, 0, 1, 0, 0, 0)",27616.83105326772,4
32,32,"(4, 0, 1, 0, 0, 0)",27617.766319760558,28
33,33,"(3, 0, 2, 0, 0, 0)",27617.862935581783,20
34,34,"(4, 0, 2, 0, 0, 0)",27619.593612988992,32
35,35,"(2, 0, 0, 0, 0, 0)",27653.144086161916,0
