,Unnamed: 0,parameters,aic,type
0,0,"(2, 0, 2, 1, 0, 1)",23400.984591194272,11
1,1,"(3, 0, 2, 1, 0, 1)",23405.117474030143,23
2,2,"(3, 0, 1, 1, 0, 1)",23406.878549058514,19
3,3,"(4, 0, 1, 1, 0, 1)",23407.501514784035,31
4,4,"(4, 0, 0, 1, 0, 1)",23414.674023422147,27
5,5,"(3, 0, 0, 1, 0, 1)",23416.85766718414,15
6,6,"(4, 0, 2, 1, 0, 1)",23417.647098134217,35
7,7,"(2, 0, 1, 1, 0, 1)",23433.418188840962,7
8,8,"(4, 0, 1, 1, 0, 0)",23440.062537366826,30
9,9,"(4, 0, 1, 0, 0, 1)",23440.712734302062,29
10,10,"(4, 0, 1, 0, 0, 0)",23441.331085780697,28
11,11,"(2, 0, 0, 1, 0, 1)",23452.925680310498,3
12,12,"(3, 0, 2, 1, 0, 0)",23453.96350325043,22
13,13,"(2, 0, 2, 1, 0, 0)",23454.326160128327,10
14,14,"(2, 0, 2, 0, 0, 1)",23454.592047833463,9
15,15,"(3, 0, 2, 0, 0, 0)",23454.76590358032,20
16,16,"(3, 0, 2, 0, 0, 1)",23455.160394632894,21
17,17,"(2, 0, 2, 0, 0, 0)",23456.55538973219,8
18,18,"(3, 0, 1, 1, 0, 0)",23471.02685983369,18
19,19,"(3, 0, 1, 0, 0, 1)",23471.40464710859,17
20,20,"(3, 0, 1, 0, 0, 0)",23474.206635111266,16
21,21,"(4, 0, 2, 1, 0, 0)",23474.75528353364,34
22,22,"(4, 0, 2, 0, 0, 1)",23475.94686342881,33
23,23,"(4, 0, 2, 0, 0, 0)",23477.91750639127,32
24,24,"(4, 0, 0, 1, 0, 0)",23526.466924623608,26
25,25,"(4, 0, 0, 0, 0, 0)",23526.553768969,24
26,26,"(4, 0, 0, 0, 0, 1)",23526.632169675897,25
27,27,"(3, 0, 0, 1, 0, 0)",23545.94873115493,14
28,28,"(3, 0, 0, 0, 0, 1)",23546.07619064561,13
29,29,"(3, 0, 0, 0, 0, 0)",23546.346631629942,12
30,30,"(2, 0, 1, 1, 0, 0)",23580.11542213161,6
31,31,"(2, 0, 1, 0, 0, 1)",23580.387597248115,5
32,32,"(2, 0, 1, 0, 0, 0)",23581.55127575892,4
33,33,"(2, 0, 0, 1, 0, 0)",23608.611407092245,2
34,34,"(2, 0, 0, 0, 0, 1)",23608.9993601385,1
35,35,"(2, 0, 0, 0, 0, 0)",23611.28846452382,0
