,Unnamed: 0,parameters,aic,type
0,0,"(4, 0, 0, 1, 0, 1)",26190.404019512138,27
1,1,"(4, 0, 1, 1, 0, 1)",26192.194757331537,31
2,2,"(2, 0, 1, 1, 0, 1)",26192.40862144655,7
3,3,"(3, 0, 0, 1, 0, 1)",26194.330977637524,15
4,4,"(3, 0, 2, 1, 0, 1)",26195.245091089386,23
5,5,"(3, 0, 1, 1, 0, 1)",26195.9220852179,19
6,6,"(4, 0, 2, 1, 0, 1)",26198.855941568658,35
7,7,"(2, 0, 2, 1, 0, 1)",26199.620629151523,11
8,8,"(2, 0, 0, 1, 0, 1)",26212.242313673643,3
9,9,"(3, 0, 2, 0, 0, 1)",26886.963826066283,21
10,10,"(3, 0, 2, 0, 0, 0)",26914.844204576508,20
11,11,"(3, 0, 2, 1, 0, 0)",26972.75878678688,22
12,12,"(2, 0, 2, 1, 0, 0)",27089.83566031892,10
13,13,"(2, 0, 2, 0, 0, 1)",27160.48976659391,9
14,14,"(4, 0, 2, 1, 0, 0)",27281.137444968776,34
15,15,"(4, 0, 1, 1, 0, 0)",27283.146584647402,30
16,16,"(4, 0, 0, 1, 0, 0)",27285.44030917641,26
17,17,"(3, 0, 1, 1, 0, 0)",27309.252181286738,18
18,18,"(2, 0, 1, 1, 0, 0)",27310.14281364109,6
19,19,"(3, 0, 0, 1, 0, 0)",27316.237927225495,14
20,20,"(2, 0, 0, 1, 0, 0)",27319.079009605368,2
21,21,"(4, 0, 2, 0, 0, 1)",27337.969606281284,33
22,22,"(4, 0, 1, 0, 0, 1)",27341.20847816767,29
23,23,"(4, 0, 0, 0, 0, 1)",27345.221950616167,25
24,24,"(3, 0, 1, 0, 0, 1)",27380.142095268617,17
25,25,"(2, 0, 2, 0, 0, 0)",27381.296355325958,8
26,26,"(2, 0, 1, 0, 0, 1)",27383.6699911446,5
27,27,"(3, 0, 0, 0, 0, 1)",27387.400348079467,13
28,28,"(2, 0, 0, 0, 0, 1)",27387.414078817,1
29,29,"(4, 0, 2, 0, 0, 0)",27510.49228305877,32
30,30,"(4, 0, 1, 0, 0, 0)",27518.146696057218,28
31,31,"(4, 0, 0, 0, 0, 0)",27525.20328443427,24
32,32,"(3, 0, 1, 0, 0, 0)",27579.594283994007,16
33,33,"(2, 0, 0, 0, 0, 0)",27583.132309076092,0
34,34,"(2, 0, 1, 0, 0, 0)",27585.115047524916,4
35,35,"(3, 0, 0, 0, 0, 0)",27585.128083414853,12
