,Unnamed: 0,parameters,aic,type
0,0,"(4, 0, 1, 1, 0, 1)",20974.28531341022,31
1,1,"(4, 0, 0, 1, 0, 1)",20974.546191339574,27
2,2,"(2, 0, 1, 1, 0, 1)",20976.62957613625,7
3,3,"(2, 0, 2, 1, 0, 1)",20977.438357898904,11
4,4,"(3, 0, 0, 1, 0, 1)",20978.204353905257,15
5,5,"(2, 0, 0, 1, 0, 1)",20979.8293449642,3
6,6,"(3, 0, 2, 1, 0, 1)",20983.08677488695,23
7,7,"(3, 0, 1, 1, 0, 1)",20984.22480549843,19
8,8,"(4, 0, 2, 1, 0, 1)",20987.505343066485,35
9,9,"(4, 0, 0, 1, 0, 0)",21879.41664707991,26
10,10,"(3, 0, 2, 1, 0, 0)",21880.41615490369,22
11,11,"(3, 0, 1, 1, 0, 0)",21880.57205993244,18
12,12,"(4, 0, 1, 1, 0, 0)",21880.99629843665,30
13,13,"(4, 0, 2, 1, 0, 0)",21882.394079447233,34
14,14,"(2, 0, 0, 1, 0, 0)",21883.685933112618,2
15,15,"(2, 0, 1, 1, 0, 0)",21883.694764566,6
16,16,"(2, 0, 2, 1, 0, 0)",21884.09215282923,10
17,17,"(3, 0, 0, 1, 0, 0)",21884.527312950577,14
18,18,"(4, 0, 0, 0, 0, 1)",21937.62509134636,25
19,19,"(3, 0, 2, 0, 0, 1)",21938.87416164872,21
20,20,"(4, 0, 1, 0, 0, 1)",21939.077930707783,29
21,21,"(4, 0, 2, 0, 0, 1)",21940.548084472077,33
22,22,"(3, 0, 1, 0, 0, 1)",21943.48938504416,17
23,23,"(2, 0, 2, 0, 0, 1)",21944.80663134554,9
24,24,"(2, 0, 0, 0, 0, 1)",21945.15963269621,1
25,25,"(2, 0, 1, 0, 0, 1)",21947.13635194649,5
26,26,"(3, 0, 0, 0, 0, 1)",21947.147662367857,13
27,27,"(4, 0, 0, 0, 0, 0)",22103.86337263584,24
28,28,"(4, 0, 1, 0, 0, 0)",22104.239040313783,28
29,29,"(4, 0, 2, 0, 0, 0)",22105.621775726242,32
30,30,"(3, 0, 2, 0, 0, 0)",22105.74304232575,20
31,31,"(2, 0, 2, 0, 0, 0)",22117.04609914889,8
32,32,"(2, 0, 1, 0, 0, 0)",22122.224578016525,4
33,33,"(3, 0, 1, 0, 0, 0)",22123.390894230284,16
34,34,"(2, 0, 0, 0, 0, 0)",22124.130698458124,0
35,35,"(3, 0, 0, 0, 0, 0)",22124.261903010494,12
