,Unnamed: 0,parameters,aic,type
0,0,"(3, 0, 1, 1, 0, 1)",26437.79100325024,19
1,1,"(3, 0, 2, 1, 0, 1)",26438.039915155932,23
2,2,"(4, 0, 1, 1, 0, 1)",26438.796006836652,31
3,3,"(4, 0, 0, 1, 0, 1)",26444.468305096558,27
4,4,"(3, 0, 0, 1, 0, 1)",26446.205695513974,15
5,5,"(4, 0, 2, 1, 0, 1)",26457.777358530435,35
6,6,"(2, 0, 1, 1, 0, 1)",26464.312520833893,7
7,7,"(2, 0, 0, 1, 0, 1)",26484.79290474443,3
8,8,"(2, 0, 2, 1, 0, 1)",26915.081936798288,11
9,9,"(4, 0, 1, 1, 0, 0)",27157.967994975428,30
10,10,"(3, 0, 1, 1, 0, 0)",27175.92121273707,18
11,11,"(4, 0, 2, 1, 0, 0)",27183.591302710993,34
12,12,"(4, 0, 1, 0, 0, 1)",27228.457866149947,29
13,13,"(2, 0, 2, 1, 0, 0)",27231.675902765226,10
14,14,"(3, 0, 1, 0, 0, 1)",27247.068425429574,17
15,15,"(4, 0, 2, 0, 0, 1)",27251.662239373414,33
16,16,"(3, 0, 2, 0, 0, 1)",27261.163396929765,21
17,17,"(3, 0, 2, 1, 0, 0)",27261.224447566103,22
18,18,"(4, 0, 0, 1, 0, 0)",27428.19236414589,26
19,19,"(3, 0, 0, 1, 0, 0)",27450.73750437868,14
20,20,"(4, 0, 1, 0, 0, 0)",27456.48069720184,28
21,21,"(3, 0, 1, 0, 0, 0)",27472.194830568,16
22,22,"(4, 0, 2, 0, 0, 0)",27476.25809114731,32
23,23,"(3, 0, 2, 0, 0, 0)",27501.69604494746,20
24,24,"(2, 0, 1, 1, 0, 0)",27518.619830444146,6
25,25,"(4, 0, 0, 0, 0, 1)",27526.414941450752,25
26,26,"(2, 0, 0, 1, 0, 0)",27550.965490797793,2
27,27,"(3, 0, 0, 0, 0, 1)",27553.69799710676,13
28,28,"(2, 0, 1, 0, 0, 1)",27620.6430455148,5
29,29,"(2, 0, 0, 0, 0, 1)",27657.41269362147,1
30,30,"(4, 0, 0, 0, 0, 0)",27782.104404428417,24
31,31,"(3, 0, 0, 0, 0, 0)",27818.24556681848,12
32,32,"(2, 0, 1, 0, 0, 0)",27879.88819196247,4
33,33,"(2, 0, 2, 0, 0, 1)",27893.041853070292,9
34,34,"(2, 0, 0, 0, 0, 0)",27920.930855984647,0
35,35,"(2, 0, 2, 0, 0, 0)",28116.171555698067,8
