,Unnamed: 0,parameters,aic,type
0,0,"(3, 0, 2, 1, 0, 1)",16731.57345757727,23
1,1,"(2, 0, 2, 1, 0, 1)",16735.30957989821,11
2,2,"(3, 0, 0, 1, 0, 1)",16738.158008857492,15
3,3,"(2, 0, 1, 1, 0, 1)",16738.834282822543,7
4,4,"(4, 0, 0, 1, 0, 1)",16740.031596756453,27
5,5,"(4, 0, 2, 1, 0, 1)",16742.907788110108,35
6,6,"(4, 0, 1, 1, 0, 1)",16744.216774604713,31
7,7,"(3, 0, 1, 1, 0, 1)",16748.18189886022,19
8,8,"(2, 0, 0, 1, 0, 1)",16753.881390416132,3
9,9,"(2, 0, 2, 1, 0, 0)",17023.405457076944,10
10,10,"(2, 0, 2, 0, 0, 1)",17030.281684517373,9
11,11,"(3, 0, 2, 0, 0, 1)",17038.234817137938,21
12,12,"(3, 0, 2, 1, 0, 0)",17051.339282497356,22
13,13,"(3, 0, 2, 0, 0, 0)",17082.61039191656,20
14,14,"(2, 0, 2, 0, 0, 0)",17093.050677287567,8
15,15,"(3, 0, 0, 1, 0, 0)",17286.5770104751,14
16,16,"(3, 0, 1, 1, 0, 0)",17288.573929777256,18
17,17,"(4, 0, 0, 1, 0, 0)",17288.57532477492,26
18,18,"(2, 0, 1, 1, 0, 0)",17288.792821352992,6
19,19,"(4, 0, 1, 1, 0, 0)",17290.542202425742,30
20,20,"(4, 0, 2, 1, 0, 0)",17292.284712256424,34
21,21,"(3, 0, 0, 0, 0, 1)",17295.218411600457,13
22,22,"(2, 0, 1, 0, 0, 1)",17297.02827891089,5
23,23,"(3, 0, 1, 0, 0, 1)",17297.193411747925,17
24,24,"(4, 0, 0, 0, 0, 1)",17297.203520242932,25
25,25,"(4, 0, 1, 0, 0, 1)",17299.165503997163,29
26,26,"(4, 0, 2, 0, 0, 1)",17300.655734728116,33
27,27,"(2, 0, 0, 1, 0, 0)",17309.85932349479,2
28,28,"(2, 0, 0, 0, 0, 1)",17317.422813609755,1
29,29,"(3, 0, 0, 0, 0, 0)",17361.405672130248,12
30,30,"(2, 0, 1, 0, 0, 0)",17361.795412485917,4
31,31,"(3, 0, 1, 0, 0, 0)",17363.143941802227,16
32,32,"(4, 0, 0, 0, 0, 0)",17363.231240043333,24
33,33,"(4, 0, 1, 0, 0, 0)",17365.242800866195,28
34,34,"(4, 0, 2, 0, 0, 0)",17366.30424931271,32
35,35,"(2, 0, 0, 0, 0, 0)",17379.317906562454,0
