,Unnamed: 0,parameters,aic,type
0,0,"(2, 0, 1, 1, 0, 1)",25792.70685591513,7
1,1,"(4, 0, 0, 1, 0, 1)",25794.06685439762,27
2,2,"(2, 0, 2, 1, 0, 1)",25794.374247757085,11
3,3,"(2, 0, 0, 1, 0, 1)",25794.638902917548,3
4,4,"(4, 0, 1, 1, 0, 1)",25796.16559716879,31
5,5,"(4, 0, 2, 1, 0, 1)",25796.247990765318,35
6,6,"(3, 0, 1, 1, 0, 1)",25796.620611355374,19
7,7,"(3, 0, 2, 1, 0, 1)",25799.417540699742,23
8,8,"(3, 0, 0, 1, 0, 1)",26091.321165795518,15
9,9,"(2, 0, 2, 1, 0, 0)",26629.22018159174,10
10,10,"(3, 0, 1, 1, 0, 0)",26634.74853067788,18
11,11,"(4, 0, 2, 1, 0, 0)",26641.432663812524,34
12,12,"(4, 0, 1, 1, 0, 0)",26658.045413619562,30
13,13,"(3, 0, 2, 1, 0, 0)",26738.705300005804,22
14,14,"(3, 0, 1, 0, 0, 1)",26768.173479260924,17
15,15,"(2, 0, 2, 0, 0, 1)",26768.967225715278,9
16,16,"(4, 0, 2, 0, 0, 1)",26779.23119371181,33
17,17,"(4, 0, 0, 1, 0, 0)",26982.79360769397,26
18,18,"(3, 0, 0, 1, 0, 0)",27001.411798102432,14
19,19,"(2, 0, 1, 1, 0, 0)",27025.63067709976,6
20,20,"(2, 0, 0, 1, 0, 0)",27039.165696633198,2
21,21,"(2, 0, 2, 0, 0, 0)",27057.009682082662,8
22,22,"(4, 0, 0, 0, 0, 1)",27142.91785404501,25
23,23,"(3, 0, 2, 0, 0, 1)",27143.696867200342,21
24,24,"(4, 0, 1, 0, 0, 1)",27144.467253096827,29
25,25,"(3, 0, 0, 0, 0, 1)",27156.707825044385,13
26,26,"(2, 0, 1, 0, 0, 1)",27176.91930934566,5
27,27,"(2, 0, 0, 0, 0, 1)",27193.42645506706,1
28,28,"(4, 0, 2, 0, 0, 0)",27397.04829038051,32
29,29,"(4, 0, 0, 0, 0, 0)",27448.033915305245,24
30,30,"(3, 0, 2, 0, 0, 0)",27448.428624831628,20
31,31,"(3, 0, 1, 0, 0, 0)",27449.000120092787,16
32,32,"(4, 0, 1, 0, 0, 0)",27450.016481025214,28
33,33,"(3, 0, 0, 0, 0, 0)",27453.366560331793,12
34,34,"(2, 0, 1, 0, 0, 0)",27466.90917712206,4
35,35,"(2, 0, 0, 0, 0, 0)",27487.784720467094,0
