,Unnamed: 0,parameters,aic,type
0,0,"(3, 0, 2, 1, 0, 1)",25600.098524183155,23
1,1,"(2, 0, 1, 1, 0, 1)",25603.996849896794,7
2,2,"(3, 0, 0, 1, 0, 1)",25604.090377755736,15
3,3,"(2, 0, 0, 1, 0, 1)",25604.27520379135,3
4,4,"(4, 0, 0, 1, 0, 1)",25605.90493613814,27
5,5,"(3, 0, 1, 1, 0, 1)",25607.387500157965,19
6,6,"(4, 0, 1, 1, 0, 1)",25607.69864135689,31
7,7,"(2, 0, 2, 1, 0, 1)",25607.815952873447,11
8,8,"(4, 0, 2, 1, 0, 1)",25609.788568141856,35
9,9,"(3, 0, 1, 1, 0, 0)",25841.830094136898,18
10,10,"(3, 0, 2, 1, 0, 0)",25847.014870840143,22
11,11,"(4, 0, 1, 1, 0, 0)",25855.72067914861,30
12,12,"(3, 0, 1, 0, 0, 1)",25866.949707691474,17
13,13,"(4, 0, 1, 0, 0, 1)",25877.57796199125,29
14,14,"(3, 0, 2, 0, 0, 1)",25879.553843300342,21
15,15,"(3, 0, 2, 0, 0, 0)",26007.57966799688,20
16,16,"(3, 0, 1, 0, 0, 0)",26009.54710956982,16
17,17,"(4, 0, 1, 0, 0, 0)",26016.95395621268,28
18,18,"(4, 0, 0, 1, 0, 0)",26120.421020643636,26
19,19,"(3, 0, 0, 1, 0, 0)",26120.87083385488,14
20,20,"(2, 0, 1, 1, 0, 0)",26124.156727892303,6
21,21,"(2, 0, 2, 1, 0, 0)",26126.821169786206,10
22,22,"(4, 0, 2, 1, 0, 0)",26128.069002161723,34
23,23,"(2, 0, 0, 1, 0, 0)",26133.643367054843,2
24,24,"(4, 0, 0, 0, 0, 1)",26162.103796229585,25
25,25,"(3, 0, 0, 0, 0, 1)",26162.35874627684,13
26,26,"(2, 0, 1, 0, 0, 1)",26165.52120042578,5
27,27,"(2, 0, 2, 0, 0, 1)",26168.066114545352,9
28,28,"(4, 0, 2, 0, 0, 1)",26169.388566597867,33
29,29,"(2, 0, 0, 0, 0, 1)",26175.198343610307,1
30,30,"(3, 0, 0, 0, 0, 0)",26323.038185112167,12
31,31,"(4, 0, 0, 0, 0, 0)",26323.29908861965,24
32,32,"(2, 0, 1, 0, 0, 0)",26325.73649874157,4
33,33,"(4, 0, 2, 0, 0, 0)",26327.65469068665,32
34,34,"(2, 0, 2, 0, 0, 0)",26327.849597025517,8
35,35,"(2, 0, 0, 0, 0, 0)",26335.73295707433,0
