,Unnamed: 0,parameters,aic,type
0,0,"(4, 0, 2, 1, 0, 1)",26676.139102600293,35
1,1,"(2, 0, 2, 1, 0, 1)",26682.204694902608,11
2,2,"(3, 0, 1, 1, 0, 1)",26699.10730902065,19
3,3,"(3, 0, 0, 1, 0, 1)",26701.331896421983,15
4,4,"(2, 0, 0, 1, 0, 1)",26702.229035209228,3
5,5,"(4, 0, 0, 1, 0, 1)",26703.3221179993,27
6,6,"(2, 0, 1, 1, 0, 1)",26703.77707365207,7
7,7,"(4, 0, 1, 1, 0, 1)",26707.665280422807,31
8,8,"(3, 0, 2, 1, 0, 1)",26709.83738665802,23
9,9,"(4, 0, 2, 1, 0, 0)",27146.57544323753,34
10,10,"(3, 0, 1, 1, 0, 0)",27148.365282584284,18
11,11,"(2, 0, 2, 1, 0, 0)",27149.31360979478,10
12,12,"(4, 0, 1, 1, 0, 0)",27150.725015120533,30
13,13,"(4, 0, 2, 0, 0, 1)",27169.54718571573,33
14,14,"(3, 0, 1, 0, 0, 1)",27172.848817981416,17
15,15,"(4, 0, 1, 0, 0, 1)",27174.329979554623,29
16,16,"(2, 0, 2, 0, 0, 1)",27180.310371466803,9
17,17,"(3, 0, 2, 1, 0, 0)",27208.20817917444,22
18,18,"(2, 0, 1, 1, 0, 0)",27214.848760689154,6
19,19,"(3, 0, 2, 0, 0, 1)",27235.223970026796,21
20,20,"(2, 0, 1, 0, 0, 1)",27237.706923529677,5
21,21,"(4, 0, 2, 0, 0, 0)",27282.767165719044,32
22,22,"(3, 0, 1, 0, 0, 0)",27290.54004449354,16
23,23,"(4, 0, 1, 0, 0, 0)",27291.87702510756,28
24,24,"(2, 0, 2, 0, 0, 0)",27296.013753149044,8
25,25,"(3, 0, 2, 0, 0, 0)",27364.853202284576,20
26,26,"(2, 0, 1, 0, 0, 0)",27369.177220945967,4
27,27,"(4, 0, 0, 1, 0, 0)",27791.388015203658,26
28,28,"(4, 0, 0, 0, 0, 1)",27824.660601166004,25
29,29,"(3, 0, 0, 1, 0, 0)",27946.31175768262,14
30,30,"(4, 0, 0, 0, 0, 0)",27947.369573834345,24
31,31,"(3, 0, 0, 0, 0, 1)",27995.389961953853,13
32,32,"(2, 0, 0, 1, 0, 0)",28124.47774918516,2
33,33,"(3, 0, 0, 0, 0, 0)",28153.341367493715,12
34,34,"(2, 0, 0, 0, 0, 1)",28191.040090547514,1
35,35,"(2, 0, 0, 0, 0, 0)",28377.614594834293,0
