,Unnamed: 0,parameters,aic,type
0,0,"(4, 0, 1, 1, 0, 1)",30074.781100290416,31
1,1,"(3, 0, 0, 1, 0, 1)",30077.600072400084,15
2,2,"(4, 0, 0, 1, 0, 1)",30077.761049389843,27
3,3,"(3, 0, 1, 1, 0, 1)",30078.83997428705,19
4,4,"(2, 0, 1, 1, 0, 1)",30079.35465743955,7
5,5,"(4, 0, 2, 1, 0, 1)",30082.790210134688,35
6,6,"(3, 0, 2, 1, 0, 1)",30083.552241026835,23
7,7,"(2, 0, 2, 1, 0, 1)",30086.0701110043,11
8,8,"(2, 0, 0, 1, 0, 1)",30092.60078275041,3
9,9,"(3, 0, 1, 1, 0, 0)",31025.939599343412,18
10,10,"(4, 0, 2, 1, 0, 0)",31028.670840461913,34
11,11,"(2, 0, 2, 1, 0, 0)",31032.67964748288,10
12,12,"(4, 0, 1, 1, 0, 0)",31036.126580640987,30
13,13,"(3, 0, 2, 1, 0, 0)",31050.212629920505,22
14,14,"(3, 0, 1, 0, 0, 1)",31170.895418966884,17
15,15,"(4, 0, 1, 0, 0, 1)",31173.150676312685,29
16,16,"(4, 0, 2, 0, 0, 1)",31175.20156219089,33
17,17,"(2, 0, 2, 0, 0, 1)",31191.96761613429,9
18,18,"(3, 0, 2, 0, 0, 1)",31211.78299372618,21
19,19,"(4, 0, 0, 1, 0, 0)",31401.269568078937,26
20,20,"(3, 0, 0, 1, 0, 0)",31411.490911502948,14
21,21,"(2, 0, 1, 1, 0, 0)",31434.103956293813,6
22,22,"(2, 0, 0, 1, 0, 0)",31458.323214865566,2
23,23,"(4, 0, 2, 0, 0, 0)",31535.935797611568,32
24,24,"(3, 0, 1, 0, 0, 0)",31538.66862214412,16
25,25,"(4, 0, 1, 0, 0, 0)",31539.664831137008,28
26,26,"(2, 0, 2, 0, 0, 0)",31575.98914673333,8
27,27,"(4, 0, 0, 0, 0, 1)",31639.403584019834,25
28,28,"(3, 0, 0, 0, 0, 1)",31657.920776640516,13
29,29,"(2, 0, 1, 0, 0, 1)",31681.60781242973,5
30,30,"(2, 0, 0, 0, 0, 1)",31713.1605983508,1
31,31,"(4, 0, 0, 0, 0, 0)",32104.662484346176,24
32,32,"(3, 0, 0, 0, 0, 0)",32126.677341774088,12
33,33,"(2, 0, 1, 0, 0, 0)",32144.641778310226,4
34,34,"(3, 0, 2, 0, 0, 0)",32148.592068141224,20
35,35,"(2, 0, 0, 0, 0, 0)",32188.92766861292,0
