,Unnamed: 0,parameters,aic,type
0,0,"(4, 0, 1, 1, 0, 1)",26964.57156660936,31
1,1,"(4, 0, 0, 1, 0, 1)",26966.79033859313,27
2,2,"(2, 0, 1, 1, 0, 1)",26967.000949192352,7
3,3,"(3, 0, 1, 1, 0, 1)",26968.187026643198,19
4,4,"(4, 0, 2, 1, 0, 1)",26968.31676417688,35
5,5,"(3, 0, 0, 1, 0, 1)",26968.862782094882,15
6,6,"(3, 0, 2, 1, 0, 1)",26969.92966639685,23
7,7,"(2, 0, 2, 1, 0, 1)",26971.0152950921,11
8,8,"(2, 0, 0, 1, 0, 1)",26983.211062046845,3
9,9,"(2, 0, 2, 1, 0, 0)",27417.026187219468,10
10,10,"(3, 0, 1, 1, 0, 0)",27428.539842328842,18
11,11,"(4, 0, 2, 1, 0, 0)",27436.2628342946,34
12,12,"(4, 0, 1, 1, 0, 0)",27442.113623211168,30
13,13,"(4, 0, 2, 0, 0, 1)",27461.52814989421,33
14,14,"(2, 0, 2, 0, 0, 1)",27463.535130616605,9
15,15,"(3, 0, 1, 0, 0, 1)",27474.63531896481,17
16,16,"(4, 0, 1, 0, 0, 1)",27487.51513823587,29
17,17,"(3, 0, 2, 1, 0, 0)",27538.49590445288,22
18,18,"(3, 0, 2, 0, 0, 1)",27540.971240576502,21
19,19,"(4, 0, 2, 0, 0, 0)",27650.208055273746,32
20,20,"(2, 0, 2, 0, 0, 0)",27658.714469503666,8
21,21,"(4, 0, 1, 0, 0, 0)",27663.68321524208,28
22,22,"(3, 0, 1, 0, 0, 0)",27669.889763495616,16
23,23,"(3, 0, 2, 0, 0, 0)",27692.30959976167,20
24,24,"(4, 0, 0, 1, 0, 0)",27719.66940770248,26
25,25,"(3, 0, 0, 1, 0, 0)",27724.17915485461,14
26,26,"(2, 0, 1, 1, 0, 0)",27754.41197253657,6
27,27,"(2, 0, 0, 1, 0, 0)",27787.298818830357,2
28,28,"(4, 0, 0, 0, 0, 1)",27788.54499633602,25
29,29,"(3, 0, 0, 0, 0, 1)",27795.582221761582,13
30,30,"(2, 0, 1, 0, 0, 1)",27829.30929903304,5
31,31,"(2, 0, 0, 0, 0, 1)",27864.438513560966,1
32,32,"(4, 0, 0, 0, 0, 0)",28019.32300283041,24
33,33,"(3, 0, 0, 0, 0, 0)",28029.624862844586,12
34,34,"(2, 0, 1, 0, 0, 0)",28068.967568675766,4
35,35,"(2, 0, 0, 0, 0, 0)",28109.265935332416,0
