,Unnamed: 0,parameters,aic,type
0,0,"(4, 0, 2, 1, 0, 1)",25511.077248270565,35
1,1,"(3, 0, 2, 1, 0, 1)",25516.641419455435,23
2,2,"(3, 0, 1, 1, 0, 1)",25518.104428486324,19
3,3,"(2, 0, 2, 1, 0, 1)",25519.41195881492,11
4,4,"(4, 0, 1, 1, 0, 1)",25519.65787095276,31
5,5,"(4, 0, 0, 1, 0, 1)",25520.06481065712,27
6,6,"(2, 0, 1, 1, 0, 1)",25520.32619990049,7
7,7,"(3, 0, 0, 1, 0, 1)",25521.337048889272,15
8,8,"(2, 0, 0, 1, 0, 1)",25523.970103899326,3
9,9,"(3, 0, 2, 1, 0, 0)",25852.23869022016,22
10,10,"(2, 0, 2, 1, 0, 0)",25858.803911786854,10
11,11,"(4, 0, 2, 1, 0, 0)",25868.36990361277,34
12,12,"(3, 0, 1, 1, 0, 0)",25872.96251202419,18
13,13,"(4, 0, 1, 1, 0, 0)",25875.948562717567,30
14,14,"(3, 0, 2, 0, 0, 1)",25877.54508579937,21
15,15,"(3, 0, 1, 0, 0, 1)",25881.118973232733,17
16,16,"(2, 0, 2, 0, 0, 1)",25883.470736535262,9
17,17,"(4, 0, 2, 0, 0, 1)",25883.95174313441,33
18,18,"(4, 0, 1, 0, 0, 1)",25884.949816407167,29
19,19,"(3, 0, 2, 0, 0, 0)",26006.53000469895,20
20,20,"(4, 0, 2, 0, 0, 0)",26017.8126343238,32
21,21,"(2, 0, 2, 0, 0, 0)",26018.04191496249,8
22,22,"(3, 0, 0, 1, 0, 0)",26102.671581761813,14
23,23,"(4, 0, 0, 1, 0, 0)",26103.015425045767,26
24,24,"(2, 0, 1, 1, 0, 0)",26108.014773314164,6
25,25,"(3, 0, 0, 0, 0, 1)",26136.191255069185,13
26,26,"(4, 0, 0, 0, 0, 1)",26136.50557859264,25
27,27,"(2, 0, 0, 1, 0, 0)",26136.526928728174,2
28,28,"(2, 0, 1, 0, 0, 1)",26142.237195099777,5
29,29,"(2, 0, 0, 0, 0, 1)",26174.51391809056,1
30,30,"(3, 0, 0, 0, 0, 0)",26283.152221841206,12
31,31,"(3, 0, 1, 0, 0, 0)",26283.985404678137,16
32,32,"(4, 0, 0, 0, 0, 0)",26284.445603038468,24
33,33,"(4, 0, 1, 0, 0, 0)",26284.573219137197,28
34,34,"(2, 0, 1, 0, 0, 0)",26288.581764676568,4
35,35,"(2, 0, 0, 0, 0, 0)",26330.16222777504,0
