,Unnamed: 0,parameters,aic,type
0,0,"(3, 0, 1, 1, 0, 1)",19897.60115647609,19
1,1,"(4, 0, 1, 1, 0, 1)",19898.40649141292,31
2,2,"(2, 0, 2, 1, 0, 1)",19903.621210181936,11
3,3,"(4, 0, 2, 1, 0, 1)",19909.742781305915,35
4,4,"(3, 0, 2, 1, 0, 1)",19916.557602746947,23
5,5,"(3, 0, 0, 1, 0, 1)",19916.58515034811,15
6,6,"(2, 0, 1, 1, 0, 1)",19917.74786826046,7
7,7,"(4, 0, 0, 1, 0, 1)",19918.512770921974,27
8,8,"(2, 0, 0, 1, 0, 1)",19928.152352713485,3
9,9,"(3, 0, 1, 1, 0, 0)",20097.764970452587,18
10,10,"(4, 0, 1, 1, 0, 0)",20105.092295974933,30
11,11,"(4, 0, 2, 1, 0, 0)",20107.63873461841,34
12,12,"(3, 0, 1, 0, 0, 1)",20129.3891367376,17
13,13,"(4, 0, 2, 0, 0, 1)",20137.013536982868,33
14,14,"(4, 0, 1, 0, 0, 1)",20137.848988748483,29
15,15,"(4, 0, 0, 1, 0, 0)",20264.41174932445,26
16,16,"(3, 0, 0, 1, 0, 0)",20267.114028462613,14
17,17,"(3, 0, 2, 1, 0, 0)",20272.711970786502,22
18,18,"(2, 0, 1, 1, 0, 0)",20273.45534164917,6
19,19,"(2, 0, 2, 1, 0, 0)",20276.663222784828,10
20,20,"(2, 0, 0, 1, 0, 0)",20289.90258890589,2
21,21,"(4, 0, 0, 0, 0, 1)",20300.74430106485,25
22,22,"(4, 0, 1, 0, 0, 0)",20303.70382730109,28
23,23,"(3, 0, 0, 0, 0, 1)",20303.93515926224,13
24,24,"(3, 0, 1, 0, 0, 0)",20306.25614056383,16
25,25,"(3, 0, 2, 0, 0, 1)",20310.121664092287,21
26,26,"(2, 0, 1, 0, 0, 1)",20310.450301599405,5
27,27,"(2, 0, 2, 0, 0, 1)",20313.246671738536,9
28,28,"(2, 0, 0, 0, 0, 1)",20327.620570662628,1
29,29,"(4, 0, 0, 0, 0, 0)",20477.21518644104,24
30,30,"(3, 0, 2, 0, 0, 0)",20481.877639904065,20
31,31,"(3, 0, 0, 0, 0, 0)",20482.25791016298,12
32,32,"(2, 0, 1, 0, 0, 0)",20488.551831624085,4
33,33,"(2, 0, 2, 0, 0, 0)",20490.488340514818,8
34,34,"(2, 0, 0, 0, 0, 0)",20506.235215220047,0
