,Unnamed: 0,parameters,aic,type
0,0,"(2, 0, 2, 1, 0, 1)",25543.476180698188,11
1,1,"(2, 0, 1, 1, 0, 1)",25547.570091574824,7
2,2,"(3, 0, 0, 1, 0, 1)",25549.109804980213,15
3,3,"(4, 0, 0, 1, 0, 1)",25550.179651653125,27
4,4,"(3, 0, 2, 1, 0, 1)",25550.626800824044,23
5,5,"(4, 0, 1, 1, 0, 1)",25552.605988644395,31
6,6,"(3, 0, 1, 1, 0, 1)",25554.033981186625,19
7,7,"(2, 0, 0, 1, 0, 1)",25557.108434913946,3
8,8,"(4, 0, 2, 1, 0, 1)",25562.210716093392,35
9,9,"(2, 0, 2, 1, 0, 0)",25902.018951744736,10
10,10,"(4, 0, 1, 1, 0, 0)",25905.649903865255,30
11,11,"(3, 0, 1, 1, 0, 0)",25907.70845287448,18
12,12,"(4, 0, 2, 1, 0, 0)",25914.404458576366,34
13,13,"(2, 0, 2, 0, 0, 1)",25915.92942075753,9
14,14,"(4, 0, 1, 0, 0, 1)",25917.45105901275,29
15,15,"(4, 0, 2, 0, 0, 1)",25918.435348941846,33
16,16,"(3, 0, 1, 0, 0, 1)",25920.78371873608,17
17,17,"(3, 0, 2, 1, 0, 0)",25967.444221055,22
18,18,"(3, 0, 2, 0, 0, 1)",25977.254510588522,21
19,19,"(4, 0, 2, 0, 0, 0)",25984.04458584981,32
20,20,"(2, 0, 2, 0, 0, 0)",25986.368216018185,8
21,21,"(4, 0, 1, 0, 0, 0)",25987.647860256628,28
22,22,"(3, 0, 1, 0, 0, 0)",25992.93138072879,16
23,23,"(3, 0, 2, 0, 0, 0)",26052.710036758413,20
24,24,"(4, 0, 0, 1, 0, 0)",26388.05367424345,26
25,25,"(4, 0, 0, 0, 0, 1)",26408.521177602714,25
26,26,"(3, 0, 0, 1, 0, 0)",26412.282668336058,14
27,27,"(3, 0, 0, 0, 0, 1)",26434.36592915796,13
28,28,"(4, 0, 0, 0, 0, 0)",26495.3574578268,24
29,29,"(2, 0, 1, 1, 0, 0)",26514.906236772127,6
30,30,"(3, 0, 0, 0, 0, 0)",26527.003933382104,12
31,31,"(2, 0, 0, 1, 0, 0)",26527.300268470655,2
32,32,"(2, 0, 1, 0, 0, 1)",26542.419055967384,5
33,33,"(2, 0, 0, 0, 0, 1)",26554.5660645053,1
34,34,"(2, 0, 1, 0, 0, 0)",26647.704211318265,4
35,35,"(2, 0, 0, 0, 0, 0)",26658.49074830238,0
