,Unnamed: 0,parameters,aic,type
0,0,"(4, 0, 2, 1, 0, 1)",25704.197092839066,35
1,1,"(2, 0, 2, 1, 0, 1)",25704.54247726751,11
2,2,"(4, 0, 1, 1, 0, 1)",25710.42740234621,31
3,3,"(3, 0, 1, 1, 0, 1)",25712.70274031337,19
4,4,"(4, 0, 0, 1, 0, 1)",25715.265237918036,27
5,5,"(3, 0, 0, 1, 0, 1)",25716.18389388961,15
6,6,"(2, 0, 1, 1, 0, 1)",25724.500191640556,7
7,7,"(2, 0, 0, 1, 0, 1)",25752.7284062082,3
8,8,"(4, 0, 1, 1, 0, 0)",26006.856627624904,30
9,9,"(2, 0, 2, 1, 0, 0)",26009.871696145656,10
10,10,"(4, 0, 1, 0, 0, 1)",26022.382844899726,29
11,11,"(2, 0, 2, 0, 0, 1)",26026.540517016245,9
12,12,"(3, 0, 1, 1, 0, 0)",26032.28866134376,18
13,13,"(4, 0, 2, 1, 0, 0)",26039.630200785014,34
14,14,"(3, 0, 1, 0, 0, 1)",26049.932538574547,17
15,15,"(4, 0, 2, 0, 0, 1)",26055.28895313352,33
16,16,"(4, 0, 1, 0, 0, 0)",26133.520025400932,28
17,17,"(2, 0, 2, 0, 0, 0)",26138.3872652091,8
18,18,"(3, 0, 1, 0, 0, 0)",26163.18315041695,16
19,19,"(4, 0, 2, 0, 0, 0)",26166.962929474048,32
20,20,"(3, 0, 2, 0, 0, 1)",26220.95319978151,21
21,21,"(4, 0, 0, 1, 0, 0)",26280.78485065309,26
22,22,"(3, 0, 2, 1, 0, 0)",26284.202566633947,22
23,23,"(4, 0, 0, 0, 0, 1)",26308.353689023796,25
24,24,"(3, 0, 0, 1, 0, 0)",26311.29122372,14
25,25,"(3, 0, 0, 0, 0, 1)",26342.133501769014,13
26,26,"(2, 0, 1, 1, 0, 0)",26362.51660558969,6
27,27,"(3, 0, 2, 0, 0, 0)",26380.45568117596,20
28,28,"(2, 0, 1, 0, 0, 1)",26396.68135601738,5
29,29,"(2, 0, 0, 1, 0, 0)",26421.040518415786,2
30,30,"(4, 0, 0, 0, 0, 0)",26445.66945739396,24
31,31,"(2, 0, 0, 0, 0, 1)",26457.440503205988,1
32,32,"(3, 0, 0, 0, 0, 0)",26490.685397720204,12
33,33,"(2, 0, 1, 0, 0, 0)",26553.711427826598,4
34,34,"(2, 0, 0, 0, 0, 0)",26619.76434924625,0
