,Unnamed: 0,parameters,aic,type
0,0,"(3, 0, 0, 1, 0, 1)",27778.98786733269,15
1,1,"(4, 0, 0, 1, 0, 1)",27780.882779322128,27
2,2,"(2, 0, 0, 1, 0, 1)",27781.108153578607,3
3,3,"(3, 0, 1, 1, 0, 1)",27781.18155412228,19
4,4,"(2, 0, 1, 1, 0, 1)",27781.862044234516,7
5,5,"(4, 0, 1, 1, 0, 1)",27784.09190401008,31
6,6,"(2, 0, 2, 1, 0, 1)",27791.263230870107,11
7,7,"(3, 0, 2, 1, 0, 0)",28309.11535076964,22
8,8,"(4, 0, 2, 1, 0, 0)",28310.138672360397,34
9,9,"(2, 0, 1, 1, 0, 0)",28310.52242671553,6
10,10,"(2, 0, 2, 1, 0, 0)",28310.583735344662,10
11,11,"(3, 0, 1, 1, 0, 0)",28316.237643562148,18
12,12,"(4, 0, 1, 1, 0, 0)",28328.240820698244,30
13,13,"(2, 0, 2, 0, 0, 1)",28337.22512487453,9
14,14,"(2, 0, 1, 0, 0, 1)",28337.804703265763,5
15,15,"(3, 0, 2, 0, 0, 1)",28341.5474977904,21
16,16,"(4, 0, 2, 0, 0, 1)",28342.352807944077,33
17,17,"(3, 0, 1, 0, 0, 1)",28344.876799828187,17
18,18,"(4, 0, 1, 0, 0, 1)",28358.5948649616,29
19,19,"(3, 0, 1, 0, 0, 0)",28480.660940200985,16
20,20,"(2, 0, 2, 0, 0, 0)",28481.381264403462,8
21,21,"(4, 0, 1, 0, 0, 0)",28483.512287407248,28
22,22,"(4, 0, 2, 0, 0, 0)",28485.278679365347,32
23,23,"(3, 0, 2, 0, 0, 0)",28496.307579786826,20
24,24,"(4, 0, 0, 1, 0, 0)",28702.24772345538,26
25,25,"(3, 0, 0, 1, 0, 0)",28708.723894236336,14
26,26,"(4, 0, 0, 0, 0, 1)",28740.07725490381,25
27,27,"(3, 0, 0, 0, 0, 1)",28744.29082196709,13
28,28,"(2, 0, 0, 1, 0, 0)",28745.37242722016,2
29,29,"(2, 0, 0, 0, 0, 1)",28775.2726843866,1
30,30,"(4, 0, 0, 0, 0, 0)",28888.46951696415,24
31,31,"(3, 0, 0, 0, 0, 0)",28889.138908919627,12
32,32,"(2, 0, 0, 0, 0, 0)",28904.713124034643,0
33,33,"(2, 0, 1, 0, 0, 0)",28916.33394589016,4
34,34,"(4, 0, 2, 1, 0, 1)",30540.27605430373,35
