,Unnamed: 0,parameters,aic,type
0,0,"(2, 0, 2, 1, 0, 1)",31693.75641634112,11
1,1,"(3, 0, 2, 1, 0, 1)",31701.84435220656,23
2,2,"(4, 0, 2, 1, 0, 1)",31706.720511152544,35
3,3,"(3, 0, 1, 1, 0, 1)",31711.09217966008,19
4,4,"(4, 0, 1, 1, 0, 1)",31722.38889958605,31
5,5,"(3, 0, 0, 1, 0, 1)",31754.704149237557,15
6,6,"(4, 0, 0, 1, 0, 1)",31756.642372005717,27
7,7,"(2, 0, 1, 1, 0, 1)",31758.27208678913,7
8,8,"(2, 0, 0, 1, 0, 1)",31775.663824048668,3
9,9,"(2, 0, 2, 1, 0, 0)",32219.337816668216,10
10,10,"(4, 0, 2, 1, 0, 0)",32220.968047885937,34
11,11,"(4, 0, 1, 1, 0, 0)",32223.787216525005,30
12,12,"(3, 0, 1, 1, 0, 0)",32224.38164235845,18
13,13,"(4, 0, 2, 0, 0, 1)",32283.414390482983,33
14,14,"(2, 0, 2, 0, 0, 1)",32285.88309125063,9
15,15,"(3, 0, 2, 1, 0, 0)",32288.92890426201,22
16,16,"(3, 0, 1, 0, 0, 1)",32290.365530673487,17
17,17,"(4, 0, 1, 0, 0, 1)",32294.18545254684,29
18,18,"(3, 0, 2, 0, 0, 1)",32395.003276277694,21
19,19,"(4, 0, 2, 0, 0, 0)",32510.590714279107,32
20,20,"(2, 0, 2, 0, 0, 0)",32518.686247527723,8
21,21,"(3, 0, 1, 0, 0, 0)",32523.596981598857,16
22,22,"(3, 0, 2, 0, 0, 0)",32535.165201385953,20
23,23,"(4, 0, 0, 1, 0, 0)",32555.251609255065,26
24,24,"(3, 0, 0, 1, 0, 0)",32560.888022367657,14
25,25,"(2, 0, 1, 1, 0, 0)",32595.303433588182,6
26,26,"(2, 0, 0, 1, 0, 0)",32617.306303851557,2
27,27,"(4, 0, 0, 0, 0, 1)",32648.288166493905,25
28,28,"(3, 0, 0, 0, 0, 1)",32651.886111713688,13
29,29,"(2, 0, 1, 0, 0, 1)",32684.23099032169,5
30,30,"(2, 0, 0, 0, 0, 1)",32709.050400127686,1
31,31,"(3, 0, 0, 0, 0, 0)",32906.494866203815,12
32,32,"(4, 0, 0, 0, 0, 0)",32907.33867724459,24
33,33,"(4, 0, 1, 0, 0, 0)",32910.398791072854,28
34,34,"(2, 0, 1, 0, 0, 0)",32930.55798435247,4
35,35,"(2, 0, 0, 0, 0, 0)",32964.79155425475,0
