,Unnamed: 0,parameters,aic,type
0,0,"(3, 0, 2, 1, 0, 1)",26514.334256083283,23
1,1,"(2, 0, 2, 1, 0, 1)",26522.056409901183,11
2,2,"(4, 0, 2, 1, 0, 1)",26534.48895300977,35
3,3,"(4, 0, 1, 1, 0, 1)",26546.71002115755,31
4,4,"(3, 0, 0, 1, 0, 1)",26555.51555567628,15
5,5,"(4, 0, 0, 1, 0, 1)",26555.73333956609,27
6,6,"(3, 0, 1, 1, 0, 1)",26557.06155433732,19
7,7,"(2, 0, 1, 1, 0, 1)",26558.60960337335,7
8,8,"(2, 0, 0, 1, 0, 1)",26576.003874227466,3
9,9,"(4, 0, 1, 1, 0, 0)",26809.02061429697,30
10,10,"(2, 0, 2, 1, 0, 0)",26810.109541004244,10
11,11,"(3, 0, 2, 1, 0, 0)",26810.966078669037,22
12,12,"(4, 0, 1, 0, 0, 1)",26827.172180426816,29
13,13,"(3, 0, 1, 1, 0, 0)",26827.194126342758,18
14,14,"(2, 0, 2, 0, 0, 1)",26828.29515699121,9
15,15,"(4, 0, 2, 1, 0, 0)",26830.153706087003,34
16,16,"(3, 0, 1, 0, 0, 1)",26845.777954100464,17
17,17,"(4, 0, 2, 0, 0, 1)",26849.29803138462,33
18,18,"(3, 0, 2, 0, 0, 1)",26849.479504036764,21
19,19,"(2, 0, 2, 0, 0, 0)",26908.443982700952,8
20,20,"(4, 0, 1, 0, 0, 0)",26908.90364319797,28
21,21,"(3, 0, 2, 0, 0, 0)",26915.55975136221,20
22,22,"(3, 0, 1, 0, 0, 0)",26929.051554674374,16
23,23,"(4, 0, 2, 0, 0, 0)",26932.6213003271,32
24,24,"(4, 0, 0, 1, 0, 0)",27401.063679253682,26
25,25,"(4, 0, 0, 0, 0, 1)",27425.591177561488,25
26,26,"(3, 0, 0, 1, 0, 0)",27443.468216283847,14
27,27,"(3, 0, 0, 0, 0, 1)",27468.02951117789,13
28,28,"(4, 0, 0, 0, 0, 0)",27526.95628965072,24
29,29,"(3, 0, 0, 0, 0, 0)",27568.227445272594,12
30,30,"(2, 0, 1, 1, 0, 0)",27667.753549127177,6
31,31,"(2, 0, 0, 1, 0, 0)",27672.863257832843,2
32,32,"(2, 0, 1, 0, 0, 1)",27700.416959870814,5
33,33,"(2, 0, 0, 0, 0, 1)",27706.505401600098,1
34,34,"(2, 0, 1, 0, 0, 0)",27812.533361824,4
35,35,"(2, 0, 0, 0, 0, 0)",27827.15137295917,0
