,Unnamed: 0,parameters,aic,type
0,0,"(3, 0, 2, 1, 0, 1)",22917.86040427767,23
1,1,"(2, 0, 2, 1, 0, 1)",22924.29849554376,11
2,2,"(4, 0, 2, 1, 0, 1)",22935.296649048843,35
3,3,"(3, 0, 0, 1, 0, 1)",22937.028549688912,15
4,4,"(2, 0, 1, 1, 0, 1)",22937.656477551107,7
5,5,"(4, 0, 0, 1, 0, 1)",22939.023601055265,27
6,6,"(4, 0, 1, 1, 0, 1)",22940.04744327122,31
7,7,"(3, 0, 1, 1, 0, 1)",22941.770453497367,19
8,8,"(2, 0, 0, 1, 0, 1)",22951.19772129065,3
9,9,"(2, 0, 2, 1, 0, 0)",23139.80006214353,10
10,10,"(3, 0, 2, 1, 0, 0)",23149.90218547024,22
11,11,"(4, 0, 1, 1, 0, 0)",23151.677695128106,30
12,12,"(3, 0, 1, 1, 0, 0)",23153.49245958768,18
13,13,"(2, 0, 2, 0, 0, 1)",23154.627952706756,9
14,14,"(3, 0, 2, 0, 0, 1)",23158.295786073522,21
15,15,"(4, 0, 1, 0, 0, 1)",23158.4463896538,29
16,16,"(4, 0, 2, 1, 0, 0)",23159.89229897685,34
17,17,"(3, 0, 1, 0, 0, 1)",23163.642816628068,17
18,18,"(4, 0, 2, 0, 0, 1)",23167.24276489433,33
19,19,"(2, 0, 2, 0, 0, 0)",23236.13607360229,8
20,20,"(3, 0, 2, 0, 0, 0)",23238.302676389525,20
21,21,"(4, 0, 1, 0, 0, 0)",23239.357650364193,28
22,22,"(3, 0, 1, 0, 0, 0)",23245.38711525435,16
23,23,"(4, 0, 2, 0, 0, 0)",23252.408932002792,32
24,24,"(4, 0, 0, 1, 0, 0)",23452.61651563176,26
25,25,"(3, 0, 0, 1, 0, 0)",23466.449766243164,14
26,26,"(4, 0, 0, 0, 0, 1)",23471.92156976424,25
27,27,"(3, 0, 0, 0, 0, 1)",23485.08531244088,13
28,28,"(2, 0, 1, 1, 0, 0)",23503.546760285768,6
29,29,"(2, 0, 1, 0, 0, 1)",23521.986259800233,5
30,30,"(2, 0, 0, 1, 0, 0)",23533.30193514758,2
31,31,"(2, 0, 0, 0, 0, 1)",23552.418828965343,1
32,32,"(4, 0, 0, 0, 0, 0)",23566.79295471833,24
33,33,"(3, 0, 0, 0, 0, 0)",23577.737296086547,12
34,34,"(2, 0, 1, 0, 0, 0)",23614.509108785558,4
35,35,"(2, 0, 0, 0, 0, 0)",23648.447094803603,0
