,Unnamed: 0,parameters,aic,type
0,0,"(2, 0, 2, 1, 0, 1)",27342.559160963774,11
1,1,"(3, 0, 2, 1, 0, 1)",27346.60060824417,23
2,2,"(4, 0, 1, 1, 0, 1)",27349.859802628216,31
3,3,"(3, 0, 1, 1, 0, 1)",27370.410119650194,19
4,4,"(4, 0, 2, 1, 0, 1)",27370.69040595729,35
5,5,"(3, 0, 0, 1, 0, 1)",27376.822666941734,15
6,6,"(2, 0, 1, 1, 0, 1)",27397.64397840203,7
7,7,"(2, 0, 0, 1, 0, 1)",27433.722763930742,3
8,8,"(4, 0, 1, 1, 0, 0)",27607.52513533574,30
9,9,"(4, 0, 0, 1, 0, 1)",27612.33967847187,27
10,10,"(2, 0, 2, 1, 0, 0)",27616.85152154975,10
11,11,"(3, 0, 2, 1, 0, 0)",27618.881835158536,22
12,12,"(4, 0, 1, 0, 0, 1)",27619.638648754917,29
13,13,"(2, 0, 2, 0, 0, 1)",27631.714483653654,9
14,14,"(3, 0, 2, 0, 0, 1)",27632.83430967323,21
15,15,"(3, 0, 1, 1, 0, 0)",27647.466726913524,18
16,16,"(4, 0, 2, 1, 0, 0)",27651.818245518345,34
17,17,"(3, 0, 1, 0, 0, 1)",27662.387949409058,17
18,18,"(4, 0, 2, 0, 0, 1)",27666.82903413521,33
19,19,"(4, 0, 1, 0, 0, 0)",27701.917930064195,28
20,20,"(2, 0, 2, 0, 0, 0)",27713.307797286343,8
21,21,"(3, 0, 2, 0, 0, 0)",27714.580966064877,20
22,22,"(3, 0, 1, 0, 0, 0)",27744.999606078545,16
23,23,"(4, 0, 2, 0, 0, 0)",27750.712718147148,32
24,24,"(4, 0, 0, 1, 0, 0)",28010.779616612144,26
25,25,"(4, 0, 0, 0, 0, 1)",28030.982754351757,25
26,26,"(3, 0, 0, 1, 0, 0)",28082.23905737102,14
27,27,"(3, 0, 0, 0, 0, 1)",28103.809761513945,13
28,28,"(4, 0, 0, 0, 0, 0)",28118.988829614707,24
29,29,"(3, 0, 0, 0, 0, 0)",28193.253705751504,12
30,30,"(2, 0, 1, 1, 0, 0)",28251.186589779063,6
31,31,"(2, 0, 1, 0, 0, 1)",28275.5744183826,5
32,32,"(2, 0, 0, 1, 0, 0)",28309.73374400915,2
33,33,"(2, 0, 0, 0, 0, 1)",28335.35142872666,1
34,34,"(2, 0, 1, 0, 0, 0)",28368.305712241166,4
35,35,"(2, 0, 0, 0, 0, 0)",28432.56724097124,0
