,Unnamed: 0,parameters,aic,type
0,0,"(4, 0, 1, 1, 0, 1)",26185.510150540737,31
1,1,"(2, 0, 1, 1, 0, 1)",26188.728694449677,7
2,2,"(2, 0, 2, 1, 0, 1)",26189.348634335467,11
3,3,"(4, 0, 0, 1, 0, 1)",26189.357631200255,27
4,4,"(3, 0, 1, 1, 0, 1)",26190.67458792389,19
5,5,"(3, 0, 0, 1, 0, 1)",26191.571277979845,15
6,6,"(3, 0, 2, 1, 0, 1)",26192.6278257174,23
7,7,"(4, 0, 2, 1, 0, 1)",26194.436761697485,35
8,8,"(2, 0, 0, 1, 0, 1)",26216.57248173644,3
9,9,"(2, 0, 2, 1, 0, 0)",26699.34027847946,10
10,10,"(3, 0, 2, 1, 0, 0)",26702.445974750084,22
11,11,"(4, 0, 1, 1, 0, 0)",26747.221806194644,30
12,12,"(3, 0, 1, 1, 0, 0)",26755.00377990317,18
13,13,"(2, 0, 2, 0, 0, 1)",26894.84450624314,9
14,14,"(3, 0, 2, 0, 0, 1)",26898.27467004041,21
15,15,"(4, 0, 1, 0, 0, 1)",26921.34328016245,29
16,16,"(3, 0, 1, 0, 0, 1)",26961.213077542867,17
17,17,"(4, 0, 2, 0, 0, 1)",26965.085551187465,33
18,18,"(4, 0, 0, 1, 0, 0)",27017.37719043206,26
19,19,"(3, 0, 0, 1, 0, 0)",27018.942878377853,14
20,20,"(2, 0, 1, 1, 0, 0)",27063.89918443831,6
21,21,"(2, 0, 0, 1, 0, 0)",27153.87807338813,2
22,22,"(4, 0, 0, 0, 0, 1)",27265.120251729022,25
23,23,"(3, 0, 0, 0, 0, 1)",27265.92382177694,13
24,24,"(2, 0, 1, 0, 0, 1)",27332.44403716685,5
25,25,"(2, 0, 2, 0, 0, 0)",27425.272561819205,8
26,26,"(3, 0, 2, 0, 0, 0)",27427.440933720423,20
27,27,"(2, 0, 0, 0, 0, 1)",27455.344902228906,1
28,28,"(4, 0, 2, 0, 0, 0)",27510.87806385399,32
29,29,"(3, 0, 0, 0, 0, 0)",27832.502476271828,12
30,30,"(3, 0, 1, 0, 0, 0)",27834.074846681426,16
31,31,"(4, 0, 0, 0, 0, 0)",27834.25308088756,24
32,32,"(4, 0, 1, 0, 0, 0)",27836.502413254068,28
33,33,"(2, 0, 1, 0, 0, 0)",27917.49273514885,4
34,34,"(2, 0, 0, 0, 0, 0)",28084.359470621832,0
