,Unnamed: 0,parameters,aic,type
0,0,"(4, 0, 2, 1, 0, 1)",27627.519125301606,35
1,1,"(2, 0, 2, 1, 0, 1)",27636.42418157929,11
2,2,"(2, 0, 1, 1, 0, 1)",27640.35826995535,7
3,3,"(3, 0, 0, 1, 0, 1)",27642.06962057311,15
4,4,"(3, 0, 1, 1, 0, 1)",27642.23033998377,19
5,5,"(4, 0, 0, 1, 0, 1)",27643.29711337109,27
6,6,"(3, 0, 2, 1, 0, 1)",27644.326646001242,23
7,7,"(4, 0, 1, 1, 0, 1)",27645.716612612643,31
8,8,"(2, 0, 0, 1, 0, 1)",27649.733860121803,3
9,9,"(3, 0, 1, 1, 0, 0)",28065.801199470487,18
10,10,"(4, 0, 2, 1, 0, 0)",28066.6247544668,34
11,11,"(2, 0, 2, 1, 0, 0)",28068.2282261671,10
12,12,"(4, 0, 1, 1, 0, 0)",28069.5031108607,30
13,13,"(4, 0, 2, 0, 0, 1)",28122.777060863293,33
14,14,"(4, 0, 1, 0, 0, 1)",28123.193154370856,29
15,15,"(3, 0, 1, 0, 0, 1)",28123.49770518737,17
16,16,"(2, 0, 2, 0, 0, 1)",28130.747126113358,9
17,17,"(3, 0, 2, 0, 0, 1)",28157.531809539047,21
18,18,"(3, 0, 2, 1, 0, 0)",28212.422703286597,22
19,19,"(4, 0, 2, 0, 0, 0)",28300.35664725417,32
20,20,"(4, 0, 1, 0, 0, 0)",28302.66641738032,28
21,21,"(3, 0, 1, 0, 0, 0)",28302.8298992434,16
22,22,"(2, 0, 2, 0, 0, 0)",28307.662518424422,8
23,23,"(3, 0, 2, 0, 0, 0)",28445.737321504836,20
24,24,"(4, 0, 0, 1, 0, 0)",28513.035897132984,26
25,25,"(3, 0, 0, 1, 0, 0)",28531.10852766576,14
26,26,"(2, 0, 1, 1, 0, 0)",28575.532729464863,6
27,27,"(4, 0, 0, 0, 0, 1)",28599.285519439316,25
28,28,"(2, 0, 0, 1, 0, 0)",28614.911483106865,2
29,29,"(3, 0, 0, 0, 0, 1)",28622.4834990157,13
30,30,"(2, 0, 1, 0, 0, 1)",28673.184578816163,5
31,31,"(2, 0, 0, 0, 0, 1)",28715.45183088016,1
32,32,"(4, 0, 0, 0, 0, 0)",28818.51552474953,24
33,33,"(3, 0, 0, 0, 0, 0)",28848.21030937486,12
34,34,"(2, 0, 1, 0, 0, 0)",28905.238588738066,4
35,35,"(2, 0, 0, 0, 0, 0)",28952.72786606752,0
