,Unnamed: 0,parameters,aic,type
0,0,"(3, 0, 0, 1, 0, 1)",21212.15202375675,15
1,1,"(4, 0, 0, 1, 0, 1)",21212.74791474679,27
2,2,"(3, 0, 2, 1, 0, 1)",21214.048249451218,23
3,3,"(2, 0, 1, 1, 0, 1)",21217.68139550055,7
4,4,"(4, 0, 1, 1, 0, 1)",21217.85412957119,31
5,5,"(2, 0, 0, 1, 0, 1)",21220.25398340238,3
6,6,"(4, 0, 2, 1, 0, 1)",21222.51810540357,35
7,7,"(3, 0, 1, 1, 0, 1)",21222.74889526356,19
8,8,"(2, 0, 2, 1, 0, 1)",21223.27680172514,11
9,9,"(4, 0, 1, 1, 0, 0)",22456.84588559707,30
10,10,"(4, 0, 0, 1, 0, 0)",22461.07382952898,26
11,11,"(2, 0, 1, 1, 0, 0)",22461.396520054564,6
12,12,"(2, 0, 0, 1, 0, 0)",22461.649474930524,2
13,13,"(3, 0, 0, 1, 0, 0)",22461.762744797456,14
14,14,"(2, 0, 2, 1, 0, 0)",22462.415959567665,10
15,15,"(3, 0, 1, 1, 0, 0)",22463.355065992666,18
16,16,"(3, 0, 2, 1, 0, 0)",22464.15669583365,22
17,17,"(4, 0, 2, 1, 0, 0)",22464.18289059672,34
18,18,"(4, 0, 1, 0, 0, 1)",22546.94395341054,29
19,19,"(4, 0, 2, 0, 0, 1)",22547.187544551958,33
20,20,"(4, 0, 0, 0, 0, 1)",22556.274240308307,25
21,21,"(3, 0, 2, 0, 0, 1)",22557.964168747832,21
22,22,"(2, 0, 0, 0, 0, 1)",22561.618724472642,1
23,23,"(2, 0, 1, 0, 0, 1)",22563.519339458267,5
24,24,"(3, 0, 0, 0, 0, 1)",22563.55739902345,13
25,25,"(3, 0, 1, 0, 0, 1)",22565.11710086074,17
26,26,"(2, 0, 2, 0, 0, 1)",22567.407280466603,9
27,27,"(4, 0, 1, 0, 0, 0)",22742.33529439516,28
28,28,"(3, 0, 2, 0, 0, 0)",22757.60502682479,20
29,29,"(4, 0, 0, 0, 0, 0)",22758.429149472373,24
30,30,"(2, 0, 2, 0, 0, 0)",22759.96548190916,8
31,31,"(2, 0, 1, 0, 0, 0)",22779.283198553014,4
32,32,"(2, 0, 0, 0, 0, 0)",22780.33515523424,0
33,33,"(3, 0, 0, 0, 0, 0)",22781.156967480434,12
34,34,"(4, 0, 2, 0, 0, 0)",22784.161483422085,32
35,35,"(3, 0, 1, 0, 0, 0)",22784.332749892597,16
