,Unnamed: 0,parameters,aic,type
0,0,"(2, 0, 2, 1, 0, 1)",23398.121062916263,11
1,1,"(3, 0, 0, 1, 0, 1)",23405.331316336236,15
2,2,"(3, 0, 2, 1, 0, 1)",23406.24841868612,23
3,3,"(3, 0, 1, 1, 0, 1)",23407.32672640576,19
4,4,"(4, 0, 0, 1, 0, 1)",23407.32682790029,27
5,5,"(4, 0, 1, 1, 0, 1)",23409.305351522948,31
6,6,"(4, 0, 2, 1, 0, 1)",23411.302982262736,35
7,7,"(2, 0, 1, 1, 0, 1)",23421.93132935396,7
8,8,"(2, 0, 0, 1, 0, 1)",23473.23300033571,3
9,9,"(2, 0, 2, 1, 0, 0)",23808.693780263653,10
10,10,"(3, 0, 2, 1, 0, 0)",23814.54836283332,22
11,11,"(4, 0, 1, 1, 0, 0)",23828.97493890334,30
12,12,"(2, 0, 2, 0, 0, 1)",23863.062419316342,9
13,13,"(3, 0, 2, 0, 0, 1)",23864.84584472211,21
14,14,"(4, 0, 1, 0, 0, 1)",23866.915869545977,29
15,15,"(4, 0, 2, 1, 0, 0)",23868.221038545747,34
16,16,"(4, 0, 2, 0, 0, 1)",23920.071572313682,33
17,17,"(3, 0, 1, 1, 0, 0)",24085.086393782047,18
18,18,"(4, 0, 0, 1, 0, 0)",24092.52096434168,26
19,19,"(3, 0, 2, 0, 0, 0)",24093.978134020766,20
20,20,"(2, 0, 2, 0, 0, 0)",24094.53235966797,8
21,21,"(3, 0, 0, 1, 0, 0)",24102.1692136836,14
22,22,"(3, 0, 1, 0, 0, 1)",24152.98910101563,17
23,23,"(4, 0, 0, 0, 0, 1)",24158.020063579013,25
24,24,"(3, 0, 0, 0, 0, 1)",24166.515031773477,13
25,25,"(2, 0, 1, 1, 0, 0)",24188.660044931523,6
26,26,"(2, 0, 1, 0, 0, 1)",24257.95391447222,5
27,27,"(2, 0, 0, 1, 0, 0)",24271.456316361622,2
28,28,"(2, 0, 0, 0, 0, 1)",24348.097175847943,1
29,29,"(3, 0, 1, 0, 0, 0)",24393.45165185687,16
30,30,"(4, 0, 0, 0, 0, 0)",24395.235508962345,24
31,31,"(4, 0, 2, 0, 0, 0)",24397.36301371844,32
32,32,"(4, 0, 1, 0, 0, 0)",24398.307263228817,28
33,33,"(3, 0, 0, 0, 0, 0)",24400.508253406006,12
34,34,"(2, 0, 1, 0, 0, 0)",24501.441393998222,4
35,35,"(2, 0, 0, 0, 0, 0)",24606.754301376095,0
