,Unnamed: 0,parameters,aic,type
0,0,"(3, 0, 2, 1, 0, 1)",27882.33463961406,23
1,1,"(3, 0, 0, 1, 0, 1)",27891.56609319501,15
2,2,"(2, 0, 0, 1, 0, 1)",27891.68009383587,3
3,3,"(2, 0, 1, 1, 0, 1)",27893.167438572433,7
4,4,"(4, 0, 0, 1, 0, 1)",27896.357153481684,27
5,5,"(2, 0, 2, 1, 0, 1)",27897.840155250644,11
6,6,"(3, 0, 1, 1, 0, 1)",27902.291552228296,19
7,7,"(4, 0, 1, 1, 0, 1)",27904.866673660592,31
8,8,"(4, 0, 2, 1, 0, 1)",27905.06724781585,35
9,9,"(2, 0, 2, 1, 0, 0)",28455.552325688066,10
10,10,"(3, 0, 1, 1, 0, 0)",28458.177060709484,18
11,11,"(4, 0, 2, 1, 0, 0)",28460.133713989686,34
12,12,"(4, 0, 1, 1, 0, 0)",28479.46375018436,30
13,13,"(3, 0, 2, 1, 0, 0)",28486.366233229637,22
14,14,"(2, 0, 2, 0, 0, 1)",28496.313235815967,9
15,15,"(3, 0, 1, 0, 0, 1)",28498.45148811264,17
16,16,"(4, 0, 1, 0, 0, 1)",28501.70762545496,29
17,17,"(4, 0, 2, 0, 0, 1)",28502.72544565262,33
18,18,"(3, 0, 2, 0, 0, 1)",28525.388554163004,21
19,19,"(2, 0, 2, 0, 0, 0)",28695.67429802584,8
20,20,"(3, 0, 1, 0, 0, 0)",28696.558159258817,16
21,21,"(4, 0, 1, 0, 0, 0)",28698.965653591367,28
22,22,"(4, 0, 2, 0, 0, 0)",28702.697871278036,32
23,23,"(3, 0, 2, 0, 0, 0)",28738.85545990636,20
24,24,"(4, 0, 0, 1, 0, 0)",28931.275543686217,26
25,25,"(3, 0, 0, 1, 0, 0)",28942.83424938972,14
26,26,"(4, 0, 0, 0, 0, 1)",28986.08123474846,25
27,27,"(3, 0, 0, 0, 0, 1)",28995.261474983883,13
28,28,"(2, 0, 0, 1, 0, 0)",28999.0721458021,2
29,29,"(2, 0, 1, 1, 0, 0)",29010.985197790014,6
30,30,"(2, 0, 0, 0, 0, 1)",29053.46668746444,1
31,31,"(2, 0, 1, 0, 0, 1)",29062.799286790298,5
32,32,"(4, 0, 0, 0, 0, 0)",29205.43923874198,24
33,33,"(3, 0, 0, 0, 0, 0)",29209.072683030765,12
34,34,"(2, 0, 1, 0, 0, 0)",29274.963503754883,4
35,35,"(2, 0, 0, 0, 0, 0)",29275.36525363287,0
