,Unnamed: 0,parameters,aic,type
0,0,"(4, 0, 2, 1, 0, 1)",24279.599213737423,35
1,1,"(3, 0, 1, 1, 0, 1)",24302.784204836156,19
2,2,"(3, 0, 0, 1, 0, 1)",24303.444079496567,15
3,3,"(2, 0, 1, 1, 0, 1)",24303.497343545052,7
4,4,"(2, 0, 0, 1, 0, 1)",24305.140026913883,3
5,5,"(2, 0, 2, 1, 0, 1)",24305.31937937853,11
6,6,"(4, 0, 0, 1, 0, 1)",24305.430664617656,27
7,7,"(4, 0, 1, 1, 0, 1)",24305.44013099945,31
8,8,"(3, 0, 2, 1, 0, 1)",24307.26652586344,23
9,9,"(4, 0, 2, 1, 0, 0)",24667.38021356342,34
10,10,"(3, 0, 1, 1, 0, 0)",24667.90628963043,18
11,11,"(4, 0, 1, 1, 0, 0)",24670.5728263843,30
12,12,"(2, 0, 2, 1, 0, 0)",24672.47604708071,10
13,13,"(4, 0, 2, 0, 0, 1)",24695.853061204336,33
14,14,"(3, 0, 1, 0, 0, 1)",24698.265314357348,17
15,15,"(4, 0, 1, 0, 0, 1)",24699.57937449691,29
16,16,"(2, 0, 2, 0, 0, 1)",24700.295432520245,9
17,17,"(3, 0, 2, 0, 0, 1)",24713.81479955625,21
18,18,"(3, 0, 2, 1, 0, 0)",24799.036908891776,22
19,19,"(4, 0, 2, 0, 0, 0)",24849.76098127929,32
20,20,"(3, 0, 1, 0, 0, 0)",24855.273099697915,16
21,21,"(4, 0, 1, 0, 0, 0)",24856.89256019417,28
22,22,"(2, 0, 2, 0, 0, 0)",24860.25219540816,8
23,23,"(3, 0, 2, 0, 0, 0)",24896.557380048722,20
24,24,"(4, 0, 0, 1, 0, 0)",25084.24648174802,26
25,25,"(3, 0, 0, 1, 0, 0)",25119.15091890777,14
26,26,"(4, 0, 0, 0, 0, 1)",25130.829695236094,25
27,27,"(2, 0, 1, 1, 0, 0)",25162.50331642412,6
28,28,"(3, 0, 0, 0, 0, 1)",25169.943778130117,13
29,29,"(2, 0, 0, 1, 0, 0)",25182.330170063517,2
30,30,"(2, 0, 1, 0, 0, 1)",25216.014594197357,5
31,31,"(2, 0, 0, 0, 0, 1)",25237.097774541537,1
32,32,"(4, 0, 0, 0, 0, 0)",25315.23075717696,24
33,33,"(3, 0, 0, 0, 0, 0)",25362.373753794545,12
34,34,"(2, 0, 1, 0, 0, 0)",25411.679867662733,4
35,35,"(2, 0, 0, 0, 0, 0)",25436.61665737774,0
