sno,avg_PrecpHour,avg_no_PrecpHour,percentage
1,35.108399122807015,27.72352092352093,0.2663759130616298
2,34.6853030844775,29.97423106060606,0.1571707382366522
3,35.09734339244851,33.32900432900431,0.0530570624309143
4,37.07756245232647,31.94081872294375,0.160820665679834
5,32.17853916380626,29.64189754689754,0.08557622240261138
6,28.18731824466058,25.616590007215024,0.10035403762645616
7,33.945297602021355,27.136002886002906,0.2509321193922326
8,33.41964507055682,28.649616161616166,0.1664953862569155
9,39.216753670861934,34.62463924963927,0.13262562500981154
10,44.51018497330283,39.541559163059155,0.12565578888162568
11,40.40770404271548,33.525685425685424,0.20527600046492875
12,32.898191147025194,27.915317821067838,0.17849960935056078
13,47.17809734935165,42.27647186147185,0.11594216054596652
14,45.12368981216627,42.91652290764793,0.05142930402977755
16,34.79275850972539,31.176686147186153,0.1159864247748346
17,35.395462790808544,33.55276677489176,0.05491934624287719
18,26.626084572845166,25.10529401154399,0.06057648879164218
19,34.00284217677348,30.50937626262626,0.11450466519129343
21,31.77682661136536,29.620285894660913,0.07280620870351447
22,35.41023491132724,32.51422510822511,0.08906900882498725
23,47.70266387776504,45.60663943001442,0.04595875675003576
24,32.652651959382126,28.935843975468988,0.12844995940205325
25,45.16789426010678,41.26527633477633,0.09457389534167528
26,38.26009272501907,34.96675739538239,0.09418475074476285
27,39.378970013348614,34.28416035353534,0.14860535032143207
29,37.03921898836766,35.231808080808065,0.05130054362847615
30,34.85443685640734,31.34186994949495,0.11207266549738819
31,38.02145702231122,35.0629963924964,0.08437557922026129
32,33.69679157131961,33.23230826118324,0.013976859701885417
33,33.81810414282991,29.638943542568533,0.14100234693787628
34,35.744281440694124,30.967272366522383,0.15425992375537714
35,33.42488439168574,31.374652236652224,0.06534676909146449
36,31.775970513920672,31.16079292929291,0.019742038850669313
37,34.26099935640732,31.04474206349208,0.10360070914222488
38,31.59083416762012,29.839866522366535,0.05867880286733667
39,37.574685116323415,34.347977272727285,0.09394171359715486
40,45.641004362128164,42.44806168831166,0.07521998759947383
41,43.95069090865753,43.10638203463206,0.019586632748420863
42,36.78004231025934,33.27688726551225,0.10527291861152276
43,45.898644522311216,46.13714574314575,-0.00516939695754734
44,47.59662519069412,43.34435515873016,0.09810435560505722
45,35.71414723970253,33.75040566378069,0.05818423622769163
46,30.704697153890162,27.742687950937942,0.1067672032425423
48,45.167633247520975,38.419846681096686,0.1756328343117603
49,33.791136298627,30.647695887445888,0.10256694084688928
50,35.56672745041953,31.71343398268398,0.12150350762517563
51,33.8768598636537,31.64283910533911,0.07060114773132484
52,38.081297554347806,36.94213293650793,0.03083646035808883
53,33.691722802250204,33.32161147186147,0.011107245839573895
54,39.486403627955795,38.49428733766233,0.025773078524376075
55,34.48368421052629,33.19497132034632,0.03882253362243687
56,34.440001906941276,32.9897817460317,0.04395967733505902
57,34.07249988081617,31.51066955266955,0.08130040917932765
59,39.921503623188414,36.37631764069266,0.09745862727264899
60,34.78514337814645,33.361101010100995,0.04268571254930367
61,22.617928942601075,20.35089736652236,0.11139713081193303
62,37.43778198893973,36.89587716450217,0.014687408623501628
63,32.15915439073224,28.46847077922079,0.1296410910207825
64,34.85731311975591,33.2270202020202,0.04906527602606348
65,38.69643401983219,37.99359866522366,0.01849878346090578
66,39.080951802059495,35.70471410533911,0.09455999806522808
67,35.90626168001528,33.51219444444446,0.07143868896856727
68,38.39857205854308,38.08888510101011,0.008130638550109592
70,33.308218559305885,27.476133297258315,0.212260043978951
71,40.972655058161706,36.007220959595934,0.137901064459752
72,39.691439144736826,37.169075216450246,0.06786189631024868
73,38.719323155034324,37.1051204906205,0.04350350148632087
74,37.20132532418,34.46897546897547,0.07926983085597755
75,37.85957880434784,36.195023989898985,0.045988498720525406
76,42.67816409229595,38.92328318903321,0.09646876099909006
77,33.261276697177706,32.2543851010101,0.03121720017338272
78,28.910521905987775,27.840529581529566,0.03843290126090421
79,28.842011944755498,25.395738203957368,0.13570283774074754
80,27.24824239607172,27.191796897546915,0.002075828189563217
81,38.59392877574371,34.67442279942281,0.11303738202056388
82,38.864658895881,35.16915602453105,0.10507795150876749
83,36.99017770308922,30.379181998557012,0.2176159879764448
84,40.59099137109075,40.8165441919192,-0.005526014641707517
85,40.88536708619373,33.732600108225114,0.21204315573125768
86,35.364915737032796,33.24979797979796,0.06361295062664579
87,27.267552083333324,23.678352994228014,0.15158145036439977
88,35.31102104786421,28.680393398268393,0.23119026149746422
89,44.6379707761251,41.13574693362193,0.08513820955176724
90,40.3609992372235,38.0093484848485,0.06187032522571201
91,34.723733314263924,34.90266305916304,-0.0051265356054869945
