sno,avg_PRES,avg_no_PRES,percentage
1,29.659706152854405,35.22943146417446,-0.15809864309005456
2,30.81457069780883,35.82151869158877,-0.1397748665233342
3,34.0255589778215,34.50155763239874,-0.01379643955930439
4,33.754979987385305,35.90807632398755,-0.05996133898055465
5,30.209381908207327,32.48184190031152,-0.06996093383738812
6,26.313742886873516,28.167348130841113,-0.06580687806879622
7,28.81157647444553,34.35114875389409,-0.16126308669140457
8,30.383260465465234,32.20222741433022,-0.05648574943159148
9,36.46804094493439,37.57690809968847,-0.02950927074181691
10,41.22555386526182,43.56885514018689,-0.05378386159988082
11,35.98314105663274,38.76869158878505,-0.07185051695059304
12,30.169418397712693,30.437951713395638,-0.008822318867296309
13,43.80983537696793,46.59258177570095,-0.05972509555553929
14,43.585119268825196,44.34411790780142,-0.01711610636960473
16,32.31319392577894,34.34658878504673,-0.05920223612287967
17,34.202722133831934,34.6440713652482,-0.012739531297091997
18,25.834642251591045,25.794547872340416,0.0015543741820581518
19,31.936309148703263,32.689450934579426,-0.0230392914027038
21,31.089255102119825,30.121327570922002,0.03213429185412876
22,33.851038315022606,33.9086214953271,-0.001698187002748728
23,47.006486797802566,46.11947415329769,0.019232930574110938
24,30.925593585961803,30.39331338652482,0.017513069163198718
25,43.2866599564321,42.554478193146444,0.017205751177641743
26,36.24220045679609,37.20901479750779,-0.02598333618810181
27,37.49218594218307,35.746105169340474,0.0488467418917632
29,38.02832238705303,33.7546388888889,0.1266102568074254
30,32.91710913230972,33.15699766355141,-0.007234929219945399
31,35.9756367637497,37.70251947040499,-0.04580284635913588
32,34.43276934020194,30.811117601246107,0.11754366673182166
33,31.591681670917872,31.587819314641738,0.00012227359659308423
34,33.51542062487418,32.85052304964541,0.020240090978884673
35,33.754453225406856,30.77360815602838,0.09686368443586436
36,30.976055771357434,32.71417834890965,-0.05313055883643019
37,34.056776528700404,30.892147606382984,0.10244120812317815
38,32.21044021747232,28.81139583333332,0.11797569280577772
39,36.642589558822394,34.982894385026746,0.04744304903787561
40,43.759987829885134,44.41982476635513,-0.014854559646299488
41,43.5939948685944,43.39738190730838,0.004530525866882091
42,35.20947860921706,34.11732476635514,0.03201170813776548
43,46.46389645121675,44.85058800623053,0.035970731192244344
44,46.139858462581564,44.433919340463476,0.038392722214008836
45,34.34992868118187,35.51924065420561,-0.03292052283458057
46,30.37960545577823,27.738237522281647,0.09522479326146144
48,40.388296234657794,42.880401069518705,-0.05811757289351497
49,31.091066371583075,34.86401090342679,-0.10821888916610194
50,32.6180426114694,34.503551693404624,-0.05464681139755366
51,34.22151542249272,31.003756648936157,0.10378609308517381
52,37.51254449838187,37.43203457446806,0.002150829492146376
53,32.08788424614052,35.03569813829788,-0.08413743834991766
54,39.18310200390109,38.35278816199377,0.02164937366222908
55,34.79534687059661,32.702661790780155,0.06399127671027821
56,35.7980838047221,31.133469907407385,0.1498263415927465
57,32.66893351032793,32.80931464174456,-0.004278697465932813
59,37.339840394233626,38.79029920212767,-0.03739230781221935
60,34.098772704046084,33.94654476950354,0.0044843425325366585
61,21.76555269131808,20.454894859813074,0.06407551055566683
62,38.098755095842826,36.0197361111111,0.05771888440044414
63,29.091463199295344,33.14404984423676,-0.12227192102313651
64,34.82945415790964,32.98842592592593,0.05580830792344124
65,39.58605527731818,36.8187986111111,0.0751587985103888
66,36.51483627305513,39.337636292834894,-0.07175825204052533
67,35.69313893671096,33.366562500000015,0.0697277832174334
68,39.403065638554764,36.843039351851836,0.06948466607910984
70,29.576731268303813,31.870825545171346,-0.07198101202669048
71,36.70419546649329,42.67645638629281,-0.13994275592473385
72,38.51769505543426,38.16002881205675,0.009372798043184468
73,39.15350863183758,36.713070175438595,0.06647328716277354
74,36.47546298446912,34.94459219858157,0.04380851770105047
75,36.52548212965897,38.17106697819314,-0.04311078989419608
76,41.22809261818494,40.072790336879436,0.02883009322767985
77,32.27035406559636,33.94302959501557,-0.049278910850810924
78,29.135249560629266,27.469073581560277,0.06065643146361792
79,20.344640270400777,34.64991181657846,-0.4128516003706895
80,29.13389111851423,24.940562500000002,0.16813288066434864
81,34.81208730194222,38.51736111111113,-0.09619749905712116
82,37.77779985355273,35.84539351851853,0.05390947470100663
83,33.157031150802844,33.805704787234035,-0.019188289092441815
84,41.98739498092086,39.193967592592564,0.07127187064512036
85,35.520992392288925,41.23578271028038,-0.13858813735010586
86,36.28192348562269,31.997477836879426,0.13389948015856204
87,25.532698764649986,24.876627725856693,0.026372989378756293
