,model,name,sno,results,best_param,RMSE,time
4,XGBoost,All_Feature,7,"[7.952632089534705, 7.439324641444388, 7.404954950738919]","{'booster': 'gblinear', 'eta': 8e-20, 'max_depth': 5, 'min_child_weight': 2, 'n_estimators': 195}",6.872344277,29.26142526
0,Lasso ,All_Feature,8,"[3.723076078881783, 3.7376775016579806, 3.9236628277949355]",{'alpha': 0.024},3.711960787,1.781943321
1,Ridge ,All_Feature,8,"[3.6142611427681817, 3.581118005022135, 3.6446413869476317]",{'alpha': 20.0},3.575353035,10.20208192
2,Random Forest ,All_Feature,8,"[3.7855417783469245, 3.6873512280962486, 3.6936292781183924]","{'max_depth': 10, 'min_samples_leaf': 3, 'min_samples_split': 11, 'n_estimators': 55}",3.702848766,118.6900458
3,Adaboost ,All_Feature,8,"[5.785766030478101, 3.643482738683864, 3.6411860150780537]","{'learning_rate': 5e-05, 'loss': 'square', 'n_estimators': 195}",3.583379578,108.299036
4,XGBoost,All_Feature,8,"[4.133704412026014, 3.9326869144105636, 3.901325252640373]","{'booster': 'gblinear', 'eta': 6.0000000000000004e-18, 'max_depth': 20, 'min_child_weight': 2, 'n_estimators': 195}",3.932802335,28.87179589
0,Lasso ,All_Feature,9,"[3.725058553896535, 3.728279880038862, 4.062065108973174]",{'alpha': 0.014000000000000002},3.68643859,1.754159927
1,Ridge ,All_Feature,9,"[3.6775179919210066, 3.6753661114932026, 3.687559558112966]",{'alpha': 8.0},3.613586603,10.22380877
2,Random Forest ,All_Feature,9,"[3.8754473623953043, 3.8493408141210583, 3.8335622747421447]","{'max_depth': 50, 'min_samples_leaf': 4, 'min_samples_split': 11, 'n_estimators': 75}",3.745724536,131.6214871
3,Adaboost ,All_Feature,9,"[4.829763382451198, 3.69018957856279, 3.69018957856279]","{'learning_rate': 0.0001, 'loss': 'square', 'n_estimators': 160}",3.628878876,98.10835528
4,XGBoost,All_Feature,9,"[4.393104350415155, 3.9861904791639295, 3.989453734147492]","{'booster': 'gblinear', 'eta': 5e-18, 'max_depth': 5, 'min_child_weight': 2, 'n_estimators': 185}",3.917650091,29.23143744
0,Lasso ,All_Feature,10,"[5.49262951108075, 5.493035122267843, 5.795646375506593]",{'alpha': 0.008},5.350568753,1.711816788
1,Ridge ,All_Feature,10,"[5.426789541218357, 5.426789541218357, 5.42380947782039]",{'alpha': 10.0},5.268115919,10.06842852
2,Random Forest ,All_Feature,10,"[5.8566378460156345, 5.605008407618411, 5.600394053821681]","{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 11, 'n_estimators': 100}",5.267144624,136.5478237
