model,normalized,correlation,corr_method,corr_thr,lasso_coef,lasso_coef_thr,feature_sel,used_feature,small_rmse,mid_rmse,big_rmse,rmse,training_time,sbi,sbi_1h,sbi_2h,sbi_3h,sbi_4h,sbi_5h,sbi_6h,sbi_7h,sbi_8h,sbi_9h,sbi_10h,sbi_11h,sbi_12h,sbi_1d,sbi_2d,sbi_3d,sbi_4d,sbi_5d,sbi_6d,sbi_7d,holiday,wkdy_0,wkdy_1,wkdy_2,wkdy_3,wkdy_4,wkdy_5,wkdy_6,PrecpHour,UVI,td,HUMD,H_24R,PRES,TEMP,WDSE,comfort,WD_E,WD_ENE,WD_ESE,WD_N,WD_NE,WD_NNE,WD_NNW,WD_NW,WD_S,WD_SE,WD_SSE,WD_SSW,WD_SW,WD_W,WD_WNW,WD_WSW,hrs_0,hrs_1,hrs_2,hrs_3,hrs_4,hrs_5,hrs_6,hrs_7,hrs_8,hrs_9,hrs_10,hrs_11,hrs_12,hrs_13,hrs_14,hrs_15,hrs_16,hrs_17,hrs_18,hrs_19,hrs_20,hrs_21,hrs_22,hrs_23
Ridge,TRUE,TRUE,ALL,0.05,FALSE,,FALSE,24,0.117527096,0.104218827,0.101681856,0.106911651,22.86838555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RF,TRUE,TRUE,ALL,0.05,FALSE,,FALSE,24,0.117943388,0.104157874,0.100228727,0.106621966,1606.003612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso,TRUE,TRUE,ALL,0.1,FALSE,,FALSE,20,0.119439449,0.106425101,0.105142355,0.109358002,8.064865112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge,TRUE,TRUE,ALL,0.1,FALSE,,FALSE,20,0.117506589,0.104261932,0.101941813,0.106993066,21.35059214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RF,TRUE,TRUE,ALL,0.1,FALSE,,FALSE,20,0.117949218,0.104297063,0.100468674,0.106753004,1492.275155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso,TRUE,TRUE,ALL,0.2,FALSE,,FALSE,15,0.118950006,0.106640708,0.103928091,0.109039878,7.577438593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge,TRUE,TRUE,ALL,0.2,FALSE,,FALSE,15,0.117585603,0.104554399,0.10133478,0.107007295,19.81097674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RF,TRUE,TRUE,ALL,0.2,FALSE,,FALSE,15,0.118295661,0.104662821,0.100234948,0.106964062,1078.535674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso,TRUE,TRUE,ALL,0.3,FALSE,,FALSE,13,0.119218735,0.106643578,0.103855342,0.109090308,4.066781759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge,TRUE,TRUE,ALL,0.3,FALSE,,FALSE,13,0.117933578,0.104695278,0.101403991,0.107182031,19.81847167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RF,TRUE,TRUE,ALL,0.3,FALSE,,FALSE,13,0.118221133,0.104963414,0.10046734,0.107153825,972.2241826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso,TRUE,TRUE,ALL,0.5,FALSE,,FALSE,6,0.119809652,0.106884209,0.104414728,0.109498199,7.292849302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge,TRUE,TRUE,ALL,0.5,FALSE,,FALSE,6,0.119013204,0.104853548,0.101638672,0.107589743,17.77124619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
