,0,1
1,C0AC70,466920
2,C0AC70,466920
3,C0AC70,466920
4,C0AC70,466920
5,C0AC70,466920
6,C0AC70,466920
7,C0AC70,466920
8,C0AC70,466920
9,C0AC70,466920
10,C0AC70,466920
11,C0AC70,466920
12,C0AC70,466920
13,C0AC70,466920
14,C0AH70,466920
16,C0AC70,466920
17,C0AH70,466920
18,C0AH70,466920
19,C0AC70,466920
21,C0AH70,466920
22,C0AC70,466920
23,C0A9F0,466920
24,C0AH70,466920
25,C0AC70,466920
26,C0AC70,466920
27,C0A9F0,466920
28,C0AC70,466920
29,466920,466920
30,C0AC70,466920
31,C0AC70,466920
32,C0AC70,466920
33,C0AC70,466920
34,C0AH70,466920
35,C0AH70,466920
36,C0AC70,466920
37,C0AH70,466920
38,466920,466920
39,C0A9F0,466920
40,C0AC70,466920
41,C0A9F0,466920
42,C0AC70,466920
43,C0AC70,466920
44,C0A9F0,466920
45,C0AC70,466920
46,C0A9F0,466920
47,C0AH70,466920
48,C0A9F0,466920
49,C0AC70,466920
50,C0A9F0,466920
51,C0AH70,466920
52,C0AH70,466920
53,C0AH70,466920
54,C0AC70,466920
55,C0AH70,466920
56,466920,466920
57,C0AC70,466920
58,466920,466920
59,C0AH70,466920
60,C0AH70,466920
61,C0AC70,466920
62,466920,466920
63,C0AC70,466920
64,466920,466920
65,466920,466920
66,C0AC70,466920
67,466920,466920
68,466920,466920
69,C0AC70,466920
70,C0AC70,466920
71,C0AC70,466920
72,C0AH70,466920
73,C0A9E0,466920
74,C0AH70,466920
75,C0AC70,466920
76,C0AH70,466920
77,C0AC70,466920
78,C0AH70,466920
79,C0AH70,466920
80,466920,466920
81,466920,466920
82,466920,466920
83,C0AH70,466920
84,466920,466920
85,C0AC70,466920
86,C0AH70,466920
87,C0AC70,466920
88,C0AC70,466920
89,466920,466920
90,466920,466920
91,C0AH70,466920
92,466920,466920
93,C0AC70,466920
94,C0AC70,466920
95,466920,466920
96,C0A9F0,466920
97,C0A9E0,466920
98,C0AC70,466920
99,C0AH70,466920
100,C0AH70,466920
101,C0AH70,466920
102,466920,466920
103,466920,466920
104,C0AC70,466920
105,466920,466920
106,466920,466920
107,466920,466920
108,C0A9E0,466920
109,C0AH70,466920
110,C0A9F0,466920
111,C0AH70,466920
112,C0AI40,466930
113,C0AC70,466920
114,C0A9C0,466930
115,466920,466920
116,C0A9C0,466920
117,C0AI40,466930
118,C0AI40,466930
119,C0A9F0,466920
120,466920,466920
121,C0AH70,466920
122,C0A9F0,466920
123,C0A9C0,466930
124,C0A9C0,466930
125,466920,466920
126,C0AC70,466920
127,C0A9F0,466920
128,C0AC70,466920
129,C0A9F0,466920
130,466920,466920
131,C0A9F0,466920
132,C0AC70,466920
133,C0A9C0,466930
134,C0A9C0,466930
135,C0AI40,466930
136,C0AI40,466930
137,C0AI40,466930
138,C0AC70,466920
139,466920,466920
140,466920,466920
141,C0AC70,466920
142,C0AC70,466920
143,C0AC70,466920
144,C0AC70,466920
145,466920,466920
146,C0A9C0,466920
147,C0A9E0,466920
148,C0A9C0,466930
149,C0AI40,466930
150,C0AC70,466920
151,C0AC70,466920
152,C0A9E0,466920
153,466920,466920
154,C0A9E0,466920
155,C0A9F0,466920
156,C0A9F0,466920
157,C0A9F0,466920
158,C0A9F0,466920
159,C0A9F0,466920
161,C0AI40,466930
162,C0AH70,466920
163,C0AC70,466920
164,C0AI40,466930
165,C0AI40,466930
166,C0AC70,466920
167,C0A9E0,466920
168,466920,466920
169,466920,466920
170,C0A9F0,466920
171,C0AC70,466920
172,C0AC70,466920
173,C0AH70,466920
174,C0AH70,466920
175,C0AH70,466920
176,C0AH70,466920
177,C0A9E0,466920
178,C0A9E0,466920
179,C0AC70,466920
180,C0A9F0,466920
181,C0AC70,466920
182,466920,466920
183,466920,466920
184,C0A9F0,466920
185,C0AH70,466920
186,466920,466920
187,C0AC70,466920
188,C0A9E0,466920
189,C0A9F0,466930
190,C0A9F0,466920
191,C0A9F0,466930
192,C0A9F0,466920
193,C0AC70,466920
194,C0AH70,466920
