,parameters,aic
0,"(3, 0, 0, 1, 0, 1)",25588.91785272355
1,"(4, 0, 0, 1, 0, 1)",25591.791395395227
2,"(2, 0, 2, 1, 0, 1)",25592.749385683393
3,"(2, 0, 1, 1, 0, 1)",25592.862565038955
4,"(4, 0, 1, 1, 0, 1)",25594.31588471758
5,"(3, 0, 2, 1, 0, 1)",25595.543894271985
6,"(3, 0, 1, 1, 0, 1)",25600.372143035198
7,"(2, 0, 0, 1, 0, 1)",25613.634428645233
8,"(4, 0, 2, 1, 0, 1)",25620.904924516613
9,"(4, 0, 1, 1, 0, 0)",26962.765760455022
10,"(3, 0, 0, 1, 0, 0)",26963.869736591456
11,"(2, 0, 2, 1, 0, 0)",26964.79227123832
12,"(4, 0, 2, 1, 0, 0)",26964.824019501964
13,"(4, 0, 0, 1, 0, 0)",26964.898414125382
14,"(3, 0, 1, 1, 0, 0)",26964.917602279318
15,"(2, 0, 1, 1, 0, 0)",26966.59839591426
16,"(3, 0, 2, 1, 0, 0)",26970.593438492004
17,"(2, 0, 0, 1, 0, 0)",27006.98615668508
18,"(2, 0, 1, 0, 0, 1)",27131.098963122535
19,"(4, 0, 0, 0, 0, 1)",27131.796058073895
20,"(2, 0, 2, 0, 0, 1)",27133.037225798696
21,"(3, 0, 1, 0, 0, 1)",27133.06810243504
22,"(3, 0, 2, 0, 0, 1)",27134.276319449775
23,"(4, 0, 1, 0, 0, 1)",27135.46823108564
24,"(4, 0, 2, 0, 0, 1)",27135.53175214957
25,"(3, 0, 0, 0, 0, 1)",27136.642250485827
26,"(2, 0, 0, 0, 0, 1)",27160.803669206427
27,"(4, 0, 2, 0, 0, 0)",27315.427326553778
28,"(4, 0, 1, 0, 0, 0)",27410.121328713987
29,"(3, 0, 2, 0, 0, 0)",27425.419732682803
30,"(4, 0, 0, 0, 0, 0)",27426.178686371222
31,"(3, 0, 1, 0, 0, 0)",27434.540901108117
32,"(2, 0, 2, 0, 0, 0)",27435.321621947773
33,"(2, 0, 1, 0, 0, 0)",27436.234805833952
34,"(3, 0, 0, 0, 0, 0)",27441.739955805653
35,"(2, 0, 0, 0, 0, 0)",27447.821899967414
