,parameters,aic
0,"(2, 0, 2, 1, 0, 1)",19242.120653187907
1,"(3, 0, 2, 1, 0, 1)",19244.344702116912
2,"(4, 0, 2, 1, 0, 1)",19249.731104387378
3,"(3, 0, 1, 1, 0, 1)",19251.60582869675
4,"(4, 0, 1, 1, 0, 1)",19253.465859693435
5,"(3, 0, 0, 1, 0, 1)",19256.66197532423
6,"(4, 0, 0, 1, 0, 1)",19256.938654117792
7,"(2, 0, 1, 1, 0, 1)",19263.807908817427
8,"(2, 0, 0, 1, 0, 1)",19280.548913361315
9,"(2, 0, 2, 1, 0, 0)",19412.433231097802
10,"(4, 0, 1, 1, 0, 0)",19415.812816286045
11,"(4, 0, 1, 0, 0, 1)",19416.530415055415
12,"(2, 0, 2, 0, 0, 1)",19417.322907834176
13,"(3, 0, 2, 1, 0, 0)",19419.83829941005
14,"(3, 0, 2, 0, 0, 1)",19422.379336396894
15,"(3, 0, 1, 1, 0, 0)",19429.777047742376
16,"(3, 0, 1, 0, 0, 1)",19434.55556028898
17,"(4, 0, 2, 1, 0, 0)",19435.593374699365
18,"(4, 0, 2, 0, 0, 1)",19439.00059024939
19,"(4, 0, 1, 0, 0, 0)",19452.773376738736
20,"(2, 0, 2, 0, 0, 0)",19454.42886174481
21,"(3, 0, 2, 0, 0, 0)",19455.461392298505
22,"(3, 0, 1, 0, 0, 0)",19472.42512828746
23,"(4, 0, 2, 0, 0, 0)",19476.618203229154
24,"(4, 0, 0, 1, 0, 0)",19575.898533407864
25,"(4, 0, 0, 0, 0, 1)",19581.58826131535
26,"(3, 0, 0, 1, 0, 0)",19583.521392937982
27,"(3, 0, 0, 0, 0, 1)",19589.059785655427
28,"(2, 0, 1, 1, 0, 0)",19608.735426895477
29,"(2, 0, 1, 0, 0, 1)",19614.059435772568
30,"(4, 0, 0, 0, 0, 0)",19619.391492570136
31,"(3, 0, 0, 0, 0, 0)",19626.01687704868
32,"(2, 0, 0, 1, 0, 0)",19641.25602704696
33,"(2, 0, 0, 0, 0, 1)",19646.678122044857
34,"(2, 0, 1, 0, 0, 0)",19650.545461852897
35,"(2, 0, 0, 0, 0, 0)",19684.77572432426
