,parameters,aic
0,"(2, 0, 2, 1, 0, 1)",25554.20614190458
1,"(4, 0, 2, 1, 0, 1)",25558.896816350327
2,"(3, 0, 2, 1, 0, 1)",25559.127740790907
3,"(4, 0, 1, 1, 0, 1)",25571.867349811295
4,"(4, 0, 0, 1, 0, 1)",25572.328638086576
5,"(3, 0, 1, 1, 0, 1)",25576.198624066812
6,"(3, 0, 0, 1, 0, 1)",25577.644249716017
7,"(2, 0, 1, 1, 0, 1)",25589.34832686021
8,"(2, 0, 0, 1, 0, 1)",25612.940900150596
9,"(2, 0, 2, 1, 0, 0)",25954.44829409287
10,"(3, 0, 1, 1, 0, 0)",25969.55793814114
11,"(4, 0, 2, 1, 0, 0)",25972.448863476682
12,"(2, 0, 2, 0, 0, 1)",25984.064729277427
13,"(4, 0, 1, 1, 0, 0)",25986.60523850188
14,"(4, 0, 1, 0, 0, 1)",25989.596658996787
15,"(3, 0, 1, 0, 0, 1)",25995.782914098367
16,"(4, 0, 2, 0, 0, 1)",26001.973207721927
17,"(3, 0, 2, 0, 0, 1)",26005.178084943393
18,"(3, 0, 2, 1, 0, 0)",26059.313149140555
19,"(2, 0, 2, 0, 0, 0)",26110.165684461077
20,"(3, 0, 2, 0, 0, 0)",26111.649545096257
21,"(4, 0, 2, 0, 0, 0)",26116.71186556411
22,"(4, 0, 1, 0, 0, 0)",26117.498879524126
23,"(3, 0, 1, 0, 0, 0)",26119.741855426124
24,"(4, 0, 0, 1, 0, 0)",26269.618925240437
25,"(3, 0, 0, 1, 0, 0)",26284.13022492282
26,"(4, 0, 0, 0, 0, 1)",26306.733681111004
27,"(3, 0, 0, 0, 0, 1)",26318.219918386672
28,"(2, 0, 1, 1, 0, 0)",26319.52046897422
29,"(2, 0, 1, 0, 0, 1)",26351.07664876944
30,"(2, 0, 0, 1, 0, 0)",26357.73640437559
31,"(2, 0, 0, 0, 0, 1)",26390.872746312867
32,"(4, 0, 0, 0, 0, 0)",26441.15280800348
33,"(3, 0, 0, 0, 0, 0)",26447.778344689374
34,"(2, 0, 1, 0, 0, 0)",26473.92632045158
35,"(2, 0, 0, 0, 0, 0)",26516.07221024628
