,parameters,aic
0,"(3, 0, 2, 1, 0, 1)",24564.55315193657
1,"(3, 0, 0, 1, 0, 1)",24566.644128168093
2,"(4, 0, 0, 1, 0, 1)",24569.079555602242
3,"(2, 0, 1, 1, 0, 1)",24571.0880102825
4,"(2, 0, 2, 1, 0, 1)",24573.1424232156
5,"(4, 0, 1, 1, 0, 1)",24573.255915946516
6,"(4, 0, 2, 1, 0, 1)",24593.099054013026
7,"(3, 0, 1, 1, 0, 1)",24593.75966019549
8,"(2, 0, 0, 1, 0, 1)",25122.415652597087
9,"(2, 0, 2, 1, 0, 0)",25177.727507719366
10,"(4, 0, 1, 1, 0, 0)",25182.289786998605
11,"(3, 0, 1, 1, 0, 0)",25191.051309907405
12,"(4, 0, 2, 1, 0, 0)",25196.031938598586
13,"(2, 0, 2, 0, 0, 1)",25247.3423739582
14,"(4, 0, 1, 0, 0, 1)",25249.69582763441
15,"(3, 0, 1, 0, 0, 1)",25260.620232831716
16,"(4, 0, 2, 0, 0, 1)",25262.785350195787
17,"(3, 0, 2, 1, 0, 0)",25267.525223104298
18,"(3, 0, 2, 0, 0, 1)",25339.98391397194
19,"(2, 0, 2, 0, 0, 0)",25556.082006807665
20,"(4, 0, 1, 0, 0, 0)",25559.010798032767
21,"(3, 0, 1, 0, 0, 0)",25570.132142041817
22,"(4, 0, 2, 0, 0, 0)",25570.642035829806
23,"(4, 0, 0, 1, 0, 0)",25623.027055345898
24,"(3, 0, 0, 1, 0, 0)",25645.102828337807
25,"(3, 0, 2, 0, 0, 0)",25665.162994413662
26,"(4, 0, 0, 0, 0, 1)",25705.12573141642
27,"(3, 0, 0, 0, 0, 1)",25726.984233963427
28,"(2, 0, 1, 1, 0, 0)",25744.56051043343
29,"(2, 0, 0, 1, 0, 0)",25773.005461681263
30,"(2, 0, 1, 0, 0, 1)",25827.77957923689
31,"(2, 0, 0, 0, 0, 1)",25856.947782089952
32,"(4, 0, 0, 0, 0, 0)",26024.18896758243
33,"(3, 0, 0, 0, 0, 0)",26038.323437780098
34,"(2, 0, 1, 0, 0, 0)",26140.825492511798
35,"(2, 0, 0, 0, 0, 0)",26178.816465218755
