,parameters,aic
0,"(4, 0, 0, 1, 0, 1)",22686.011484426926
1,"(3, 0, 1, 1, 0, 1)",22686.841399808985
2,"(3, 0, 0, 1, 0, 1)",22686.91719551738
3,"(2, 0, 2, 1, 0, 1)",22687.31598841829
4,"(4, 0, 2, 1, 0, 1)",22687.623925362626
5,"(4, 0, 1, 1, 0, 1)",22689.525336838422
6,"(3, 0, 2, 1, 0, 1)",22690.30870193439
7,"(2, 0, 1, 1, 0, 1)",22691.65938249845
8,"(2, 0, 0, 1, 0, 1)",22703.186598618173
9,"(4, 0, 2, 0, 0, 1)",23084.865195304188
10,"(4, 0, 2, 0, 0, 0)",23097.831143564606
11,"(4, 0, 2, 1, 0, 0)",23108.84405534976
12,"(3, 0, 0, 1, 0, 0)",23432.984057379243
13,"(2, 0, 1, 1, 0, 0)",23433.148388413367
14,"(2, 0, 0, 1, 0, 0)",23434.44389171911
15,"(2, 0, 2, 1, 0, 0)",23434.51769742784
16,"(4, 0, 0, 1, 0, 0)",23434.942840045413
17,"(3, 0, 1, 1, 0, 0)",23434.96376639123
18,"(3, 0, 2, 1, 0, 0)",23436.501950503254
19,"(4, 0, 1, 1, 0, 0)",23436.79756159407
20,"(3, 0, 2, 0, 0, 1)",23453.62544420191
21,"(3, 0, 0, 0, 0, 1)",23460.30081384848
22,"(2, 0, 1, 0, 0, 1)",23460.322549580353
23,"(2, 0, 0, 0, 0, 1)",23460.622803649763
24,"(4, 0, 0, 0, 0, 1)",23462.294800333246
25,"(3, 0, 1, 0, 0, 1)",23462.780374779162
26,"(2, 0, 2, 0, 0, 1)",23463.029858409096
27,"(4, 0, 1, 0, 0, 1)",23464.257070891275
28,"(3, 0, 2, 0, 0, 0)",23552.934784992565
29,"(2, 0, 0, 0, 0, 0)",23553.40286389292
30,"(2, 0, 1, 0, 0, 0)",23554.238005045467
31,"(3, 0, 0, 0, 0, 0)",23554.318231506983
32,"(2, 0, 2, 0, 0, 0)",23555.722390817726
33,"(4, 0, 0, 0, 0, 0)",23555.74792735762
34,"(3, 0, 1, 0, 0, 0)",23556.199849422315
35,"(4, 0, 1, 0, 0, 0)",23558.1806618638
