,parameters,aic
0,"(2, 0, 2, 1, 0, 1)",24917.980291989283
1,"(3, 0, 2, 1, 0, 1)",24924.702857118456
2,"(4, 0, 2, 1, 0, 1)",24925.55593738424
3,"(3, 0, 0, 1, 0, 1)",24925.889342116006
4,"(2, 0, 1, 1, 0, 1)",24926.956632020923
5,"(4, 0, 0, 1, 0, 1)",24927.84817685075
6,"(3, 0, 1, 1, 0, 1)",24927.85058538352
7,"(4, 0, 1, 1, 0, 1)",24929.87036678682
8,"(2, 0, 0, 1, 0, 1)",24942.06407069625
9,"(2, 0, 2, 1, 0, 0)",25490.661988193857
10,"(3, 0, 2, 1, 0, 0)",25495.531434913424
11,"(4, 0, 1, 1, 0, 0)",25507.384412961525
12,"(3, 0, 1, 1, 0, 0)",25514.892310343963
13,"(4, 0, 2, 1, 0, 0)",25516.881178267824
14,"(2, 0, 2, 0, 0, 1)",25593.70981036793
15,"(3, 0, 2, 0, 0, 1)",25595.297580932907
16,"(4, 0, 1, 0, 0, 1)",25599.210358691955
17,"(3, 0, 1, 0, 0, 1)",25620.527140395516
18,"(4, 0, 2, 0, 0, 1)",25621.83240563201
19,"(4, 0, 0, 1, 0, 0)",25806.304912984117
20,"(3, 0, 0, 1, 0, 0)",25820.334422763925
21,"(2, 0, 1, 1, 0, 0)",25878.027755200037
22,"(2, 0, 0, 1, 0, 0)",25931.504913480087
23,"(2, 0, 2, 0, 0, 0)",25934.782872438696
24,"(4, 0, 0, 0, 0, 1)",25935.337388156047
25,"(3, 0, 2, 0, 0, 0)",25937.81419290677
26,"(4, 0, 1, 0, 0, 0)",25942.690234381043
27,"(3, 0, 0, 0, 0, 1)",25947.937663803124
28,"(3, 0, 1, 0, 0, 0)",25965.375608620277
29,"(4, 0, 2, 0, 0, 0)",25969.368259043982
30,"(2, 0, 1, 0, 0, 1)",26011.471169601893
31,"(2, 0, 0, 0, 0, 1)",26076.29972580568
32,"(4, 0, 0, 0, 0, 0)",26318.68760227666
33,"(3, 0, 0, 0, 0, 0)",26326.43146243098
34,"(2, 0, 1, 0, 0, 0)",26384.969869300017
35,"(2, 0, 0, 0, 0, 0)",26466.58982955862
