,parameters,aic
0,"(4, 0, 2, 0, 0, 0)",14.0
1,"(3, 0, 0, 1, 0, 1)",22417.324225451222
2,"(4, 0, 0, 1, 0, 1)",22419.445986490373
3,"(2, 0, 1, 1, 0, 1)",22419.90481453174
4,"(3, 0, 1, 1, 0, 1)",22420.981512430102
5,"(4, 0, 1, 1, 0, 1)",22421.418161996946
6,"(3, 0, 2, 1, 0, 1)",22426.566132822813
7,"(2, 0, 2, 1, 0, 1)",22426.657228015778
8,"(2, 0, 0, 1, 0, 1)",22445.442169935548
9,"(4, 0, 2, 1, 0, 1)",22449.093729723856
10,"(3, 0, 2, 1, 0, 0)",23420.70720975013
11,"(4, 0, 2, 1, 0, 0)",23458.648511356732
12,"(4, 0, 2, 0, 0, 1)",23475.488768817202
13,"(4, 0, 1, 1, 0, 0)",23760.569452933334
14,"(4, 0, 0, 1, 0, 0)",23762.001121432793
15,"(2, 0, 2, 1, 0, 0)",23762.261988620397
16,"(2, 0, 1, 1, 0, 0)",23762.47007613269
17,"(3, 0, 1, 1, 0, 0)",23763.694539754844
18,"(3, 0, 0, 1, 0, 0)",23764.39368701733
19,"(2, 0, 0, 1, 0, 0)",23770.5035106196
20,"(4, 0, 1, 0, 0, 1)",24024.894740365413
21,"(3, 0, 2, 0, 0, 1)",24027.842496794867
22,"(2, 0, 2, 0, 0, 1)",24027.928118754397
23,"(4, 0, 0, 0, 0, 1)",24029.625208422513
24,"(2, 0, 0, 0, 0, 1)",24040.24407712199
25,"(3, 0, 1, 0, 0, 1)",24040.967134819435
26,"(2, 0, 1, 0, 0, 1)",24042.181685646545
27,"(3, 0, 0, 0, 0, 1)",24042.203744017446
28,"(4, 0, 1, 0, 0, 0)",24492.126536034906
29,"(2, 0, 2, 0, 0, 0)",24494.724011550952
30,"(3, 0, 2, 0, 0, 0)",24494.88345588017
31,"(4, 0, 0, 0, 0, 0)",24497.10986813359
32,"(2, 0, 0, 0, 0, 0)",24515.76103485686
33,"(2, 0, 1, 0, 0, 0)",24515.833119455354
34,"(3, 0, 0, 0, 0, 0)",24516.499469468716
35,"(3, 0, 1, 0, 0, 0)",24518.237928684386
