,parameters,aic
0,"(2, 0, 2, 1, 0, 1)",27323.76292416783
1,"(4, 0, 2, 1, 0, 1)",27324.35407086772
2,"(3, 0, 2, 1, 0, 1)",27330.175892667314
3,"(3, 0, 0, 1, 0, 1)",27334.53435929608
4,"(4, 0, 0, 1, 0, 1)",27336.534469606377
5,"(3, 0, 1, 1, 0, 1)",27336.534807713593
6,"(4, 0, 1, 1, 0, 1)",27338.448811787275
7,"(2, 0, 1, 1, 0, 1)",27346.31740179876
8,"(2, 0, 0, 1, 0, 1)",27390.3016893127
9,"(2, 0, 2, 1, 0, 0)",27737.51483302519
10,"(3, 0, 2, 1, 0, 0)",27740.77334812456
11,"(3, 0, 1, 1, 0, 0)",27759.663717882777
12,"(4, 0, 2, 1, 0, 0)",27768.270316312162
13,"(4, 0, 1, 1, 0, 0)",27769.722402045
14,"(3, 0, 2, 0, 0, 1)",27776.524433069524
15,"(2, 0, 2, 0, 0, 1)",27776.539855372583
16,"(3, 0, 1, 0, 0, 1)",27793.930325168727
17,"(4, 0, 2, 0, 0, 1)",27797.617699562656
18,"(3, 0, 2, 0, 0, 0)",27953.91855410732
19,"(2, 0, 2, 0, 0, 0)",27961.175289452298
20,"(3, 0, 1, 0, 0, 0)",27973.95411984053
21,"(4, 0, 2, 0, 0, 0)",27976.08157334224
22,"(4, 0, 0, 1, 0, 0)",28067.76829429663
23,"(3, 0, 0, 1, 0, 0)",28069.485057944512
24,"(2, 0, 1, 1, 0, 0)",28100.001237708268
25,"(4, 0, 0, 0, 0, 1)",28128.412908369544
26,"(3, 0, 0, 0, 0, 1)",28129.43172884288
27,"(4, 0, 1, 0, 0, 1)",28132.08200704714
28,"(2, 0, 1, 0, 0, 1)",28158.001137389554
29,"(2, 0, 0, 1, 0, 0)",28167.211804161947
30,"(2, 0, 0, 0, 0, 1)",28227.66907913024
31,"(3, 0, 0, 0, 0, 0)",28337.959220563596
32,"(4, 0, 0, 0, 0, 0)",28338.361352711705
33,"(4, 0, 1, 0, 0, 0)",28341.592921828385
34,"(2, 0, 1, 0, 0, 0)",28363.46345664543
35,"(2, 0, 0, 0, 0, 0)",28442.823728998377
