,parameters,aic
0,"(3, 0, 2, 1, 0, 1)",26778.754314180034
1,"(4, 0, 0, 1, 0, 1)",26782.850811452885
2,"(3, 0, 0, 1, 0, 1)",26783.300856641377
3,"(4, 0, 1, 1, 0, 1)",26784.47804229514
4,"(2, 0, 2, 1, 0, 1)",26789.20667837032
5,"(4, 0, 2, 1, 0, 1)",26794.620472914135
6,"(2, 0, 1, 1, 0, 1)",26796.32411151704
7,"(3, 0, 1, 1, 0, 1)",26797.50452363104
8,"(2, 0, 0, 1, 0, 1)",26812.689059154378
9,"(4, 0, 1, 1, 0, 0)",27421.07080546668
10,"(2, 0, 2, 1, 0, 0)",27436.551753045864
11,"(3, 0, 1, 1, 0, 0)",27441.711895153716
12,"(4, 0, 2, 1, 0, 0)",27451.105204730833
13,"(3, 0, 2, 1, 0, 0)",27469.88093715669
14,"(4, 0, 1, 0, 0, 1)",27497.262751275663
15,"(2, 0, 2, 0, 0, 1)",27511.698599147447
16,"(4, 0, 2, 0, 0, 1)",27516.335227398
17,"(3, 0, 1, 0, 0, 1)",27518.049225293707
18,"(3, 0, 2, 0, 0, 1)",27539.618724934764
19,"(4, 0, 1, 0, 0, 0)",27763.20191779894
20,"(2, 0, 2, 0, 0, 0)",27778.620432656648
21,"(4, 0, 2, 0, 0, 0)",27779.95239953054
22,"(3, 0, 1, 0, 0, 0)",27785.445454967703
23,"(3, 0, 2, 0, 0, 0)",27807.206798998504
24,"(4, 0, 0, 1, 0, 0)",27838.19912604062
25,"(3, 0, 0, 1, 0, 0)",27861.361592893765
26,"(4, 0, 0, 0, 0, 1)",27926.387741650204
27,"(3, 0, 0, 0, 0, 1)",27945.43301463612
28,"(2, 0, 0, 1, 0, 0)",28019.46102478018
29,"(2, 0, 1, 1, 0, 0)",28022.46521173483
30,"(2, 0, 0, 0, 0, 1)",28102.053557861578
31,"(2, 0, 1, 0, 0, 1)",28104.420997887257
32,"(4, 0, 0, 0, 0, 0)",28200.98256440158
33,"(3, 0, 0, 0, 0, 0)",28213.957278320988
34,"(2, 0, 1, 0, 0, 0)",28365.6877873994
35,"(2, 0, 0, 0, 0, 0)",28369.142082951785
