,parameters,aic
0,"(3, 0, 1, 1, 0, 1)",33166.91637812365
1,"(4, 0, 0, 1, 0, 1)",33167.927393193866
2,"(4, 0, 1, 1, 0, 1)",33168.95143851713
3,"(3, 0, 0, 1, 0, 1)",33170.077003086204
4,"(4, 0, 2, 1, 0, 1)",33175.38283149071
5,"(2, 0, 2, 1, 0, 1)",33179.490805792375
6,"(3, 0, 2, 1, 0, 1)",33182.59128539548
7,"(2, 0, 1, 1, 0, 1)",33195.754021986664
8,"(2, 0, 0, 1, 0, 1)",33252.19650817817
9,"(2, 0, 2, 1, 0, 0)",33987.94848071613
10,"(2, 0, 2, 0, 0, 1)",34197.221691256585
11,"(4, 0, 2, 1, 0, 0)",34206.00961874533
12,"(3, 0, 1, 1, 0, 0)",34218.335294807825
13,"(3, 0, 2, 1, 0, 0)",34220.08902930348
14,"(4, 0, 1, 1, 0, 0)",34220.12937317249
15,"(4, 0, 0, 1, 0, 0)",34231.16858845744
16,"(3, 0, 0, 1, 0, 0)",34264.35810887585
17,"(2, 0, 1, 1, 0, 0)",34381.62770077987
18,"(4, 0, 2, 0, 0, 1)",34462.519952059025
19,"(3, 0, 1, 0, 0, 1)",34464.15304364522
20,"(3, 0, 2, 0, 0, 1)",34465.71180314162
21,"(4, 0, 1, 0, 0, 1)",34465.891285269616
22,"(4, 0, 0, 0, 0, 1)",34469.68870049786
23,"(2, 0, 0, 1, 0, 0)",34475.59099835674
24,"(3, 0, 0, 0, 0, 1)",34501.518335983514
25,"(2, 0, 1, 0, 0, 1)",34646.65325114068
26,"(2, 0, 2, 0, 0, 0)",34703.46873471722
27,"(2, 0, 0, 0, 0, 1)",34770.13522499529
28,"(4, 0, 0, 0, 0, 0)",34990.628513502976
29,"(3, 0, 1, 0, 0, 0)",34990.63505420654
30,"(3, 0, 2, 0, 0, 0)",34991.08917338407
31,"(4, 0, 1, 0, 0, 0)",34991.78519832319
32,"(4, 0, 2, 0, 0, 0)",34993.94534157674
33,"(3, 0, 0, 0, 0, 0)",35012.714389270426
34,"(2, 0, 1, 0, 0, 0)",35187.21509579222
35,"(2, 0, 0, 0, 0, 0)",35361.61411205134
