,parameters,aic
0,"(3, 0, 0, 1, 0, 1)",26748.641205150838
1,"(2, 0, 2, 1, 0, 1)",26749.659718936276
2,"(3, 0, 1, 1, 0, 1)",26750.64030984006
3,"(4, 0, 0, 1, 0, 1)",26750.64045489667
4,"(3, 0, 2, 1, 0, 1)",26751.71938885625
5,"(2, 0, 1, 1, 0, 1)",26752.530724993827
6,"(4, 0, 1, 1, 0, 1)",26752.62021923879
7,"(4, 0, 2, 1, 0, 1)",26753.65244308548
8,"(2, 0, 0, 1, 0, 1)",26781.02182369996
9,"(4, 0, 1, 1, 0, 0)",27149.139692553123
10,"(3, 0, 1, 1, 0, 0)",27149.53455045998
11,"(4, 0, 2, 1, 0, 0)",27154.20008575242
12,"(4, 0, 1, 0, 0, 1)",27166.1565966168
13,"(2, 0, 2, 1, 0, 0)",27166.79977651141
14,"(3, 0, 2, 0, 0, 1)",27168.773015364743
15,"(3, 0, 1, 0, 0, 1)",27173.958989178438
16,"(4, 0, 2, 0, 0, 1)",27175.187206770966
17,"(3, 0, 2, 1, 0, 0)",27181.476208345463
18,"(2, 0, 2, 0, 0, 1)",27200.44627921364
19,"(4, 0, 1, 0, 0, 0)",27290.498810028355
20,"(4, 0, 2, 0, 0, 0)",27298.587629330195
21,"(3, 0, 2, 0, 0, 0)",27299.19464480917
22,"(3, 0, 1, 0, 0, 0)",27302.886734230484
23,"(4, 0, 0, 1, 0, 0)",27335.28460625882
24,"(2, 0, 2, 0, 0, 0)",27337.945612494525
25,"(3, 0, 0, 1, 0, 0)",27339.793706456556
26,"(2, 0, 1, 1, 0, 0)",27357.988929423514
27,"(4, 0, 0, 0, 0, 1)",27369.017457924874
28,"(3, 0, 0, 0, 0, 1)",27373.793367628823
29,"(2, 0, 1, 0, 0, 1)",27392.27959811232
30,"(2, 0, 0, 1, 0, 0)",27397.380374212386
31,"(2, 0, 0, 0, 0, 1)",27432.86600730306
32,"(4, 0, 0, 0, 0, 0)",27513.840035048084
33,"(3, 0, 0, 0, 0, 0)",27517.979016697056
34,"(2, 0, 1, 0, 0, 0)",27536.754993400085
35,"(2, 0, 0, 0, 0, 0)",27582.45746702618
