,parameters,aic
0,"(3, 0, 2, 1, 0, 1)",27444.280996764483
1,"(2, 0, 2, 1, 0, 1)",27453.661013233937
2,"(3, 0, 0, 1, 0, 1)",27457.241593912724
3,"(3, 0, 1, 1, 0, 1)",27458.997626796798
4,"(2, 0, 1, 1, 0, 1)",27459.132651625812
5,"(4, 0, 0, 1, 0, 1)",27459.17889473698
6,"(4, 0, 1, 1, 0, 1)",27460.978470557882
7,"(4, 0, 2, 1, 0, 1)",27476.987761211407
8,"(2, 0, 0, 1, 0, 1)",27490.743908097593
9,"(2, 0, 2, 1, 0, 0)",27836.70259075455
10,"(3, 0, 2, 1, 0, 0)",27850.457801444893
11,"(3, 0, 1, 1, 0, 0)",27852.511250242693
12,"(4, 0, 2, 1, 0, 0)",27854.689061578218
13,"(4, 0, 1, 1, 0, 0)",27860.056181862077
14,"(2, 0, 2, 0, 0, 1)",27868.37152826668
15,"(3, 0, 2, 0, 0, 1)",27872.669765433802
16,"(3, 0, 1, 0, 0, 1)",27883.969192863213
17,"(4, 0, 2, 0, 0, 1)",27885.012924701954
18,"(4, 0, 1, 0, 0, 1)",27898.253969233498
19,"(2, 0, 2, 0, 0, 0)",27989.357874486865
20,"(3, 0, 2, 0, 0, 0)",27991.39353198697
21,"(4, 0, 2, 0, 0, 0)",27996.570224059302
22,"(3, 0, 1, 0, 0, 0)",28000.551849995347
23,"(4, 0, 0, 1, 0, 0)",28134.637815488135
24,"(3, 0, 0, 1, 0, 0)",28136.13756537334
25,"(2, 0, 1, 1, 0, 0)",28152.235824510914
26,"(4, 0, 0, 0, 0, 1)",28175.56143665301
27,"(3, 0, 0, 0, 0, 1)",28176.485852367077
28,"(2, 0, 1, 0, 0, 1)",28191.982405231323
29,"(2, 0, 0, 1, 0, 0)",28193.95531100638
30,"(2, 0, 0, 0, 0, 1)",28233.898074496545
31,"(3, 0, 0, 0, 0, 0)",28310.666635344558
32,"(4, 0, 0, 0, 0, 0)",28310.793347538453
33,"(4, 0, 1, 0, 0, 0)",28314.648629818188
34,"(2, 0, 1, 0, 0, 0)",28326.011416104844
35,"(2, 0, 0, 0, 0, 0)",28369.253103929626
