,parameters,aic
0,"(3, 0, 2, 1, 0, 1)",22341.486665476
1,"(2, 0, 2, 1, 0, 1)",22343.19711488018
2,"(4, 0, 2, 1, 0, 1)",22343.958091335462
3,"(3, 0, 0, 1, 0, 1)",22359.443974383576
4,"(3, 0, 1, 1, 0, 1)",22359.90597494074
5,"(2, 0, 1, 1, 0, 1)",22361.589656188633
6,"(4, 0, 1, 1, 0, 1)",22361.621916362463
7,"(4, 0, 0, 1, 0, 1)",22413.568482179053
8,"(2, 0, 0, 1, 0, 1)",22414.923802440277
9,"(3, 0, 2, 1, 0, 0)",22779.12803234086
10,"(2, 0, 2, 1, 0, 0)",22788.100042662285
11,"(3, 0, 2, 0, 0, 1)",22827.486344314184
12,"(2, 0, 2, 0, 0, 1)",22836.50561137486
13,"(4, 0, 2, 0, 0, 1)",22897.036097570737
14,"(4, 0, 2, 1, 0, 0)",22907.786485343695
15,"(3, 0, 0, 1, 0, 0)",22910.20655259446
16,"(3, 0, 1, 1, 0, 0)",22912.137845920777
17,"(4, 0, 0, 1, 0, 0)",22912.168813112214
18,"(4, 0, 1, 1, 0, 0)",22913.66857633776
19,"(2, 0, 1, 1, 0, 0)",22934.150326066174
20,"(3, 0, 0, 0, 0, 1)",22958.809628938034
21,"(3, 0, 1, 0, 0, 1)",22960.67304654656
22,"(4, 0, 0, 0, 0, 1)",22960.728423005545
23,"(4, 0, 1, 0, 0, 1)",22962.10507597006
24,"(2, 0, 1, 0, 0, 1)",22985.343596965125
25,"(2, 0, 0, 1, 0, 0)",23017.745154701344
26,"(3, 0, 2, 0, 0, 0)",23037.11298895262
27,"(2, 0, 2, 0, 0, 0)",23046.076019052984
28,"(2, 0, 0, 0, 0, 1)",23074.814927279553
29,"(3, 0, 0, 0, 0, 0)",23161.197471981617
30,"(3, 0, 1, 0, 0, 0)",23162.54984748368
31,"(4, 0, 0, 0, 0, 0)",23162.72235658814
32,"(4, 0, 1, 0, 0, 0)",23163.9688759993
33,"(4, 0, 2, 0, 0, 0)",23164.25045150352
34,"(2, 0, 1, 0, 0, 0)",23194.154850877847
35,"(2, 0, 0, 0, 0, 0)",23302.114510957417
