,parameters,aic
0,"(3, 0, 1, 1, 0, 1)",29743.336668640994
1,"(4, 0, 0, 1, 0, 1)",29743.949008754276
2,"(4, 0, 1, 1, 0, 1)",29745.306578442232
3,"(3, 0, 0, 1, 0, 1)",29745.415664423454
4,"(4, 0, 2, 1, 0, 1)",29747.943952578295
5,"(2, 0, 2, 1, 0, 1)",29750.68919043486
6,"(3, 0, 2, 1, 0, 1)",29750.8142751479
7,"(2, 0, 1, 1, 0, 1)",29756.079829950664
8,"(2, 0, 0, 1, 0, 1)",29778.02506613831
9,"(2, 0, 2, 1, 0, 0)",30294.44045051014
10,"(4, 0, 1, 1, 0, 0)",30309.026589930483
11,"(3, 0, 2, 1, 0, 0)",30312.85029973096
12,"(3, 0, 1, 1, 0, 0)",30317.968735642535
13,"(4, 0, 2, 1, 0, 0)",30321.74297382382
14,"(2, 0, 2, 0, 0, 1)",30345.844658887563
15,"(3, 0, 2, 0, 0, 1)",30350.45260405453
16,"(4, 0, 1, 0, 0, 1)",30361.40748203475
17,"(3, 0, 1, 0, 0, 1)",30371.19563801584
18,"(4, 0, 2, 0, 0, 1)",30373.390928253175
19,"(2, 0, 2, 0, 0, 0)",30550.607721892633
20,"(4, 0, 0, 1, 0, 0)",30572.870594914853
21,"(4, 0, 2, 0, 0, 0)",30582.77381705431
22,"(3, 0, 0, 1, 0, 0)",30591.827069483053
23,"(4, 0, 0, 0, 0, 1)",30641.957674207504
24,"(3, 0, 0, 0, 0, 1)",30661.10320218666
25,"(2, 0, 1, 1, 0, 0)",30664.22455667095
26,"(2, 0, 0, 1, 0, 0)",30709.11661189713
27,"(2, 0, 1, 0, 0, 1)",30739.18656033152
28,"(2, 0, 0, 0, 0, 1)",30787.411198802427
29,"(3, 0, 2, 0, 0, 0)",30867.60902647906
30,"(4, 0, 0, 0, 0, 0)",30869.7702435274
31,"(3, 0, 1, 0, 0, 0)",30870.8933388438
32,"(4, 0, 1, 0, 0, 0)",30871.743023037376
33,"(3, 0, 0, 0, 0, 0)",30887.128949454815
34,"(2, 0, 1, 0, 0, 0)",30972.42665737538
35,"(2, 0, 0, 0, 0, 0)",31030.752835457362
