,parameters,aic
0,"(2, 0, 2, 1, 0, 1)",31621.41111526543
1,"(3, 0, 1, 1, 0, 1)",31621.90987354156
2,"(4, 0, 1, 1, 0, 1)",31624.306907510592
3,"(4, 0, 0, 1, 0, 1)",31624.7759278218
4,"(3, 0, 0, 1, 0, 1)",31625.266580810126
5,"(4, 0, 2, 1, 0, 1)",31626.364382937016
6,"(3, 0, 2, 1, 0, 1)",31626.462968481897
7,"(2, 0, 1, 1, 0, 1)",31631.320207933066
8,"(2, 0, 0, 1, 0, 1)",31635.777776189076
9,"(4, 0, 2, 1, 0, 0)",32039.700041261505
10,"(2, 0, 2, 1, 0, 0)",32043.226533184337
11,"(3, 0, 1, 1, 0, 0)",32060.46947801798
12,"(4, 0, 1, 1, 0, 0)",32067.416571664555
13,"(2, 0, 2, 0, 0, 1)",32083.748075861207
14,"(3, 0, 1, 0, 0, 1)",32083.898703258026
15,"(4, 0, 2, 0, 0, 1)",32089.30966059752
16,"(3, 0, 0, 1, 0, 0)",32235.078930100477
17,"(4, 0, 0, 1, 0, 0)",32236.21233327939
18,"(3, 0, 2, 1, 0, 0)",32238.048067177955
19,"(2, 0, 1, 1, 0, 0)",32240.589123964142
20,"(2, 0, 0, 1, 0, 0)",32247.509643136458
21,"(3, 0, 2, 0, 0, 1)",32288.483796036075
22,"(3, 0, 0, 0, 0, 1)",32292.03635657472
23,"(4, 0, 0, 0, 0, 1)",32293.74645372996
24,"(2, 0, 1, 0, 0, 1)",32295.342277661533
25,"(4, 0, 1, 0, 0, 1)",32296.034639803773
26,"(2, 0, 0, 0, 0, 1)",32302.45861374131
27,"(2, 0, 1, 0, 0, 0)",32521.28509629885
28,"(3, 0, 0, 0, 0, 0)",32521.366513564506
29,"(2, 0, 2, 0, 0, 0)",32522.917587281383
30,"(3, 0, 1, 0, 0, 0)",32522.96987866679
31,"(4, 0, 0, 0, 0, 0)",32523.29727196837
32,"(4, 0, 1, 0, 0, 0)",32524.64380425752
33,"(3, 0, 2, 0, 0, 0)",32525.148453170557
34,"(4, 0, 2, 0, 0, 0)",32526.458871797953
35,"(2, 0, 0, 0, 0, 0)",32527.64800370644
