,parameters,aic
0,"(3, 0, 0, 1, 0, 1)",23462.430906609596
1,"(4, 0, 0, 1, 0, 1)",23463.349313604645
2,"(3, 0, 1, 1, 0, 1)",23464.266215822554
3,"(2, 0, 2, 1, 0, 1)",23466.054220853912
4,"(4, 0, 1, 1, 0, 1)",23466.069156637794
5,"(2, 0, 1, 1, 0, 1)",23466.628255689662
6,"(3, 0, 2, 1, 0, 1)",23466.912730645832
7,"(4, 0, 2, 1, 0, 1)",23480.910749017887
8,"(2, 0, 0, 1, 0, 1)",23481.009062815967
9,"(2, 0, 2, 1, 0, 0)",23995.62776532942
10,"(4, 0, 2, 1, 0, 0)",24000.90813242697
11,"(3, 0, 2, 1, 0, 0)",24005.224557319234
12,"(4, 0, 1, 1, 0, 0)",24011.328033601952
13,"(2, 0, 2, 0, 0, 1)",24025.504073853077
14,"(4, 0, 2, 0, 0, 1)",24036.86802035443
15,"(3, 0, 2, 0, 0, 1)",24058.279480798592
16,"(2, 0, 2, 0, 0, 0)",24161.644113050126
17,"(3, 0, 1, 1, 0, 0)",24326.6821705344
18,"(3, 0, 0, 1, 0, 0)",24326.833731749673
19,"(4, 0, 0, 1, 0, 0)",24327.5929179541
20,"(2, 0, 1, 1, 0, 0)",24338.7411487687
21,"(3, 0, 0, 0, 0, 1)",24363.641498496472
22,"(3, 0, 1, 0, 0, 1)",24364.91518361792
23,"(4, 0, 0, 0, 0, 1)",24365.140144158086
24,"(4, 0, 1, 0, 0, 1)",24367.517343612406
25,"(2, 0, 0, 1, 0, 0)",24372.67989839384
26,"(2, 0, 1, 0, 0, 1)",24373.12594008836
27,"(2, 0, 0, 0, 0, 1)",24406.648559909
28,"(3, 0, 0, 0, 0, 0)",24510.83947643043
29,"(3, 0, 1, 0, 0, 0)",24512.72308926732
30,"(4, 0, 0, 0, 0, 0)",24512.728207485452
31,"(3, 0, 2, 0, 0, 0)",24514.703156404317
32,"(4, 0, 1, 0, 0, 0)",24514.735845429164
33,"(2, 0, 1, 0, 0, 0)",24515.363434620504
34,"(4, 0, 2, 0, 0, 0)",24516.717947752608
35,"(2, 0, 0, 0, 0, 0)",24548.989653066026
