,parameters,aic
0,"(4, 0, 1, 1, 0, 1)",26964.57156660936
1,"(4, 0, 0, 1, 0, 1)",26966.79033859313
2,"(2, 0, 1, 1, 0, 1)",26967.000949192352
3,"(3, 0, 1, 1, 0, 1)",26968.187026643194
4,"(4, 0, 2, 1, 0, 1)",26968.316764176878
5,"(3, 0, 0, 1, 0, 1)",26968.86278209488
6,"(3, 0, 2, 1, 0, 1)",26969.929666396853
7,"(2, 0, 2, 1, 0, 1)",26971.0152950921
8,"(2, 0, 0, 1, 0, 1)",26983.211062046852
9,"(2, 0, 2, 1, 0, 0)",27417.026187219468
10,"(3, 0, 1, 1, 0, 0)",27428.53984232884
11,"(4, 0, 2, 1, 0, 0)",27436.262834294597
12,"(4, 0, 1, 1, 0, 0)",27442.11362321117
13,"(4, 0, 2, 0, 0, 1)",27461.52814989421
14,"(2, 0, 2, 0, 0, 1)",27463.535130616612
15,"(3, 0, 1, 0, 0, 1)",27474.63531896481
16,"(4, 0, 1, 0, 0, 1)",27487.51513823587
17,"(3, 0, 2, 1, 0, 0)",27538.495904452877
18,"(3, 0, 2, 0, 0, 1)",27540.971240576506
19,"(4, 0, 2, 0, 0, 0)",27650.208055273743
20,"(2, 0, 2, 0, 0, 0)",27658.71446950367
21,"(4, 0, 1, 0, 0, 0)",27663.683215242076
22,"(3, 0, 1, 0, 0, 0)",27669.889763495616
23,"(3, 0, 2, 0, 0, 0)",27692.30959976167
24,"(4, 0, 0, 1, 0, 0)",27719.66940770248
25,"(3, 0, 0, 1, 0, 0)",27724.179154854606
26,"(2, 0, 1, 1, 0, 0)",27754.411972536574
27,"(2, 0, 0, 1, 0, 0)",27787.298818830353
28,"(4, 0, 0, 0, 0, 1)",27788.54499633602
29,"(3, 0, 0, 0, 0, 1)",27795.582221761586
30,"(2, 0, 1, 0, 0, 1)",27829.309299033044
31,"(2, 0, 0, 0, 0, 1)",27864.43851356097
32,"(4, 0, 0, 0, 0, 0)",28019.323002830406
33,"(3, 0, 0, 0, 0, 0)",28029.624862844586
34,"(2, 0, 1, 0, 0, 0)",28068.967568675766
35,"(2, 0, 0, 0, 0, 0)",28109.265935332416
