,parameters,aic
0,"(3, 0, 1, 1, 0, 1)",16928.042923555928
1,"(4, 0, 1, 1, 0, 1)",16929.504041723732
2,"(3, 0, 2, 1, 0, 1)",16930.95755945147
3,"(4, 0, 2, 1, 0, 1)",16931.11830847711
4,"(3, 0, 0, 1, 0, 1)",16931.7727571071
5,"(2, 0, 1, 1, 0, 1)",16933.779103866826
6,"(2, 0, 2, 1, 0, 1)",16937.600391827396
7,"(4, 0, 0, 1, 0, 1)",16961.22650571442
8,"(3, 0, 2, 0, 0, 0)",16968.829977905913
9,"(3, 0, 2, 0, 0, 1)",16971.93140339561
10,"(2, 0, 2, 0, 0, 0)",16973.213174059932
11,"(2, 0, 2, 1, 0, 0)",16973.291273542625
12,"(2, 0, 0, 1, 0, 1)",16979.33843295722
13,"(2, 0, 2, 0, 0, 1)",16979.74811079073
14,"(3, 0, 2, 1, 0, 0)",16988.28120326379
15,"(4, 0, 2, 0, 0, 0)",17013.364909776228
16,"(4, 0, 2, 0, 0, 1)",17013.74830188994
17,"(4, 0, 2, 1, 0, 0)",17025.766349170954
18,"(3, 0, 1, 1, 0, 0)",17071.204481417426
19,"(3, 0, 1, 0, 0, 1)",17071.45981880622
20,"(3, 0, 1, 0, 0, 0)",17072.28848981137
21,"(3, 0, 0, 1, 0, 0)",17073.132835869677
22,"(3, 0, 0, 0, 0, 1)",17073.39121617052
23,"(4, 0, 0, 1, 0, 0)",17073.73569449288
24,"(4, 0, 0, 0, 0, 1)",17073.979301881896
25,"(3, 0, 0, 0, 0, 0)",17074.772158853033
26,"(4, 0, 0, 0, 0, 0)",17075.164717625914
27,"(4, 0, 1, 0, 0, 1)",17076.89354579027
28,"(4, 0, 1, 1, 0, 0)",17077.022245018274
29,"(4, 0, 1, 0, 0, 0)",17078.72019008068
30,"(2, 0, 1, 1, 0, 0)",17090.033767923658
31,"(2, 0, 1, 0, 0, 1)",17090.43146592135
32,"(2, 0, 1, 0, 0, 0)",17092.868836066693
33,"(2, 0, 0, 1, 0, 0)",17147.691607686134
34,"(2, 0, 0, 0, 0, 1)",17148.135618543038
35,"(2, 0, 0, 0, 0, 0)",17151.235653147065
